NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
LONG ISLAND CITY         ,02 TWO FAMILY HOMES                        ,35,$250000.00,$730271.00,$685000.00,$1625000.00
LONG ISLAND CITY         ,03 THREE FAMILY HOMES                      ,15,$670000.00,$833800.00,$807500.00,$1200000.00
MASPETH                  ,01 ONE FAMILY HOMES                        ,137,$180000.00,$513440.00,$500000.00,$1600000.00
MASPETH                  ,02 TWO FAMILY HOMES                        ,154,$200000.00,$624884.00,$625000.00,$1250000.00
MASPETH                  ,03 THREE FAMILY HOMES                      ,22,$249500.00,$749314.00,$770000.00,$999000.00
MIDDLE VILLAGE           ,01 ONE FAMILY HOMES                        ,159,$170000.00,$540212.00,$530000.00,$1315000.00
MIDDLE VILLAGE           ,02 TWO FAMILY HOMES                        ,79,$175000.00,$622330.00,$610000.00,$987702.00
MIDDLE VILLAGE           ,03 THREE FAMILY HOMES                      ,28,$315000.00,$753609.00,$760000.00,$1141000.00
NEPONSIT                 ,01 ONE FAMILY HOMES                        ,18,$225000.00,$1044933.00,$837500.00,$3700000.00
NEPONSIT                 ,02 TWO FAMILY HOMES                        ,2,$650000.00,$865000.00,$865000.00,$1080000.00
OAKLAND GARDENS          ,01 ONE FAMILY HOMES                        ,57,$400000.00,$719538.00,$699000.00,$1800000.00
OAKLAND GARDENS          ,02 TWO FAMILY HOMES                        ,13,$200000.00,$882871.00,$960000.00,$1130000.00
OAKLAND GARDENS          ,03 THREE FAMILY HOMES                      ,2,$840000.00,$852500.00,$852500.00,$865000.00
OZONE PARK               ,01 ONE FAMILY HOMES                        ,212,$150000.00,$439442.00,$439950.00,$850000.00
OZONE PARK               ,02 TWO FAMILY HOMES                        ,280,$150000.00,$572625.00,$584000.00,$1080000.00
OZONE PARK               ,03 THREE FAMILY HOMES                      ,29,$330000.00,$634011.00,$650000.00,$857000.00
QUEENS VILLAGE           ,01 ONE FAMILY HOMES                        ,473,$150000.00,$449115.00,$450000.00,$860000.00
QUEENS VILLAGE           ,02 TWO FAMILY HOMES                        ,127,$250000.00,$556937.00,$565000.00,$812000.00
QUEENS VILLAGE           ,03 THREE FAMILY HOMES                      ,6,$399990.00,$623915.00,$630000.00,$768500.00
REGO PARK                ,01 ONE FAMILY HOMES                        ,77,$300000.00,$635596.00,$593000.00,$999900.00
REGO PARK                ,02 TWO FAMILY HOMES                        ,31,$250000.00,$776838.00,$670000.00,$2300000.00
REGO PARK                ,03 THREE FAMILY HOMES                      ,11,$400000.00,$776300.00,$860000.00,$1200000.00
RICHMOND HILL            ,01 ONE FAMILY HOMES                        ,392,$200000.00,$488260.00,$475250.00,$1250000.00
RICHMOND HILL            ,02 TWO FAMILY HOMES                        ,404,$166650.00,$609306.00,$620000.00,$2500000.00
RICHMOND HILL            ,03 THREE FAMILY HOMES                      ,80,$445000.00,$723667.00,$735000.00,$921516.00
RIDGEWOOD                ,01 ONE FAMILY HOMES                        ,27,$155000.00,$429711.00,$442000.00,$735000.00
RIDGEWOOD                ,02 TWO FAMILY HOMES                        ,156,$177000.00,$595582.00,$607350.00,$980000.00
RIDGEWOOD                ,03 THREE FAMILY HOMES                      ,39,$405000.00,$686800.00,$680000.00,$1100000.00
ROCKAWAY PARK            ,01 ONE FAMILY HOMES                        ,8,$240000.00,$446188.00,$396000.00,$767500.00
ROCKAWAY PARK            ,02 TWO FAMILY HOMES                        ,20,$350000.00,$599770.00,$594300.00,$940000.00
ROCKAWAY PARK            ,03 THREE FAMILY HOMES                      ,15,$150000.00,$565533.00,$660000.00,$750000.00
ROSEDALE                 ,01 ONE FAMILY HOMES                        ,322,$160000.00,$454084.00,$445000.00,$790000.00
ROSEDALE                 ,02 TWO FAMILY HOMES                        ,233,$300000.00,$588396.00,$610000.00,$815000.00
ROSEDALE                 ,03 THREE FAMILY HOMES                      ,13,$320000.00,$528871.00,$530000.00,$680000.00
SO. JAMAICA-BAISLEY PARK ,01 ONE FAMILY HOMES                        ,598,$150000.00,$384426.00,$375000.00,$785000.00
SO. JAMAICA-BAISLEY PARK ,02 TWO FAMILY HOMES                        ,270,$150000.00,$539358.00,$566750.00,$890000.00
SO. JAMAICA-BAISLEY PARK ,03 THREE FAMILY HOMES                      ,2,$357000.00,$451000.00,$451000.00,$545000.00
SOUTH JAMAICA            ,01 ONE FAMILY HOMES                        ,423,$150000.00,$400398.00,$390000.00,$840000.00
SOUTH JAMAICA            ,02 TWO FAMILY HOMES                        ,395,$153000.00,$520177.00,$550000.00,$795000.00
SOUTH JAMAICA            ,03 THREE FAMILY HOMES                      ,41,$300000.00,$563950.00,$590000.00,$835000.00
SOUTH OZONE PARK         ,01 ONE FAMILY HOMES                        ,405,$165000.00,$461170.00,$450500.00,$985000.00
SOUTH OZONE PARK         ,02 TWO FAMILY HOMES                        ,293,$230000.00,$597374.00,$605000.00,$845000.00
SOUTH OZONE PARK         ,03 THREE FAMILY HOMES                      ,13,$375000.00,$590669.00,$604000.00,$750000.00
SPRINGFIELD GARDENS      ,01 ONE FAMILY HOMES                        ,392,$150000.00,$424567.00,$411000.00,$1275000.00
SPRINGFIELD GARDENS      ,02 TWO FAMILY HOMES                        ,288,$170000.00,$555555.00,$584000.00,$715000.00
SPRINGFIELD GARDENS      ,03 THREE FAMILY HOMES                      ,1,$650000.00,$650000.00,$650000.00,$650000.00
ST. ALBANS               ,01 ONE FAMILY HOMES                        ,513,$150000.00,$419816.00,$416000.00,$990000.00
ST. ALBANS               ,02 TWO FAMILY HOMES                        ,193,$250000.00,$514794.00,$535000.00,$700000.00
ST. ALBANS               ,03 THREE FAMILY HOMES                      ,9,$520000.00,$672349.00,$665000.00,$790500.00
SUNNYSIDE                ,01 ONE FAMILY HOMES                        ,24,$330000.00,$606229.00,$600000.00,$821000.00
SUNNYSIDE                ,02 TWO FAMILY HOMES                        ,49,$200000.00,$708742.00,$705000.00,$960000.00
SUNNYSIDE                ,03 THREE FAMILY HOMES                      ,9,$617500.00,$794333.00,$799000.00,$900500.00
WHITESTONE               ,01 ONE FAMILY HOMES                        ,163,$154000.00,$785225.00,$670000.00,$2404000.00
WHITESTONE               ,02 TWO FAMILY HOMES                        ,58,$260000.00,$734300.00,$745000.00,$1330000.00
WHITESTONE               ,03 THREE FAMILY HOMES                      ,8,$650000.00,$807500.00,$850000.00,$930000.00
WOODHAVEN                ,01 ONE FAMILY HOMES                        ,211,$185000.00,$453032.00,$440000.00,$875000.00
WOODHAVEN                ,02 TWO FAMILY HOMES                        ,210,$219000.00,$611606.00,$610000.00,$850000.00
WOODHAVEN                ,03 THREE FAMILY HOMES                      ,47,$189100.00,$673903.00,$689000.00,$850000.00
WOODSIDE                 ,01 ONE FAMILY HOMES                        ,40,$250000.00,$614678.00,$590000.00,$1300000.00
WOODSIDE                 ,02 TWO FAMILY HOMES                        ,85,$300000.00,$727612.00,$750000.00,$990000.00
WOODSIDE                 ,03 THREE FAMILY HOMES                      ,32,$170423.00,$831220.00,$862000.00,$1250000.00
