Brooklyn Open Article 7 Petitions 
300032001700002008401287236 PLYMOUTH LLC         018PODELL ROTHMAN           010
300032001700002009400750236 PLYMOUTH LLC         018PODELL ROTHMAN           010
300032005500001999031991255 WATER ST. ASSOC. LLC 018PODELL ROTHMAN           510
300032005500002000034560255 WATER ST. ASSOC. LLC 018PODELL ROTHMAN           510
300032005500002001035411255 WATER ST. ASSOC. LLC 018PODELL ROTHMAN           510
300032005500002002039862255 WATER ST. ASSOC. LLC 018PODELL ROTHMAN           510
300032005500002003040805255 WATER ST. ASSOC. LLC 018PODELL ROTHMAN           510
300032005500002004400116255 WATER ST. ASSOC. LLC 018PODELL ROTHMAN           510
300032005500002005400778255 WATER ST. ASSOC. LLC 018PODELL ROTHMAN           510
300032005500002006400764255 WATER ST. ASSOC. LLC 018PODELL ROTHMAN           010
300032005500002007403357255 WATER ST. ASSOC. LLC 018PODELL ROTHMAN           010
300032005500002008400182255 WATER ST. ASSOC. LLC 018PODELL ROTHMAN           010
300032005500002009400098255 WATER ST. ASSOC. LLC 018PODELL ROTHMAN           000
"30003500070000200940340511 13 15 OLD FULTON D, LL115LAWRENCE J BERGER, P.C.  000"
"30003500080000200940340511 13 15 OLD FULTON D, LL115LAWRENCE J BERGER, P.C.  000"
"30003500090000200940340511 13 15 OLD FULTON D, LL115LAWRENCE J BERGER, P.C.  000"
300035001200001996035528UNDERBRIDGE LIMITED PARTN014GOLDBERG WEPRIN & USTIN  510
300035001200001997037158UNDERBRIDGE LIMITED PARTN014GOLDBERG WEPRIN & USTIN  510
300035001200001999040145DUMBO LLC                014GOLDBERG WEPRIN & USTIN  510
300035001200002000038852DUMBO LLC                014GOLDBERG WEPRIN & USTIN  510
300035001200002001042260DUMBO LLC                014GOLDBERG WEPRIN & USTIN  510
300035001200002002044964DUMBO LLC                014GOLDBERG WEPRIN & USTIN  510
300035001200002003035599DUMBO LLC                014GOLDBERG WEPRIN & USTIN  510
300035001200002004401302DUMBO LLC                014GOLDBERG WEPRIN & USTIN  510
300035001200002005400647DUMBO LLC                014GOLDBERG WEPRIN & USTIN  510
300035001200002006401921DUMBO LLC                014GOLDBERG WEPRIN & USTIN  000
300035001200002007403581DUMBO LLC                014GOLDBERG WEPRIN & USTIN  000
300035001200002008400460DUMBO LLC                014GOLDBERG WEPRIN & USTIN  000
300035001200002009402037DUMBO LLC                014GOLDBERG WEPRIN FINKEL   000
300036000100001996033163THE WASHINGTON GROUP LLC 014GOLDBERG WEPRIN & USTIN  510
300036000100001997037092THE WASHINGTON GROUP LLC 014GOLDBERG WEPRIN & USTIN  510
300036000100001998036755THE WASHINGTON GROUP LLC 014GOLDBERG WEPRIN & USTIN  510
300036000100001999040146THE WASHINGTON GROUP LLC 014GOLDBERG WEPRIN & USTIN  510
300036000100002000038848DUMBO FRONT LLC          014GOLDBERG WEPRIN & USTIN  510
300036000100002002044965DUMBO FRONT LLC          014GOLDBERG WEPRIN & USTIN  510
300036000100002003035600DUMBO FRONT LLC          014GOLDBERG WEPRIN & USTIN  510
300036000100002004401303DUMBO FRONT LLC          014GOLDBERG WEPRIN & USTIN  510
300036000100002005400648DUMBO FRONT LLC          014GOLDBERG WEPRIN & USTIN  510
300036000100002006401922DUMBO FRONT LLC          014GOLDBERG WEPRIN & USTIN  010
300036000100002007403582DUMBO FRONT LLC          014GOLDBERG WEPRIN & USTIN  010
300036000100002008400461DUMBO FRONT LLC          014GOLDBERG WEPRIN & USTIN  010
300036000100002009402038DUMBO FRONT LLC          014GOLDBERG WEPRIN FINKEL   000
300036000300001993037446MANHATTAN MILLING & DRYIN014GOLDBERG WEPRIN & USTIN  510
