DBN,DISTRICT,SCHOOL,PRINCIPAL,2008-09 SCHOOL SUPPORT ORGANIZATION,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,OVERALL GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,ENVIRONMENT GRADE,PERFORMANCE CATEGORY SCORE,PERFORMANCE GRADE,PROGRESS CATEGORY SCORE,PROGRESS GRADE,ADDITIONAL CREDIT,2007-08 PROGRESS REPORT GRADE,MOST RECENT QUALITY REVIEW SCORE,2008-09 STATE ACCOUNTABILITY STATUS
,,,,,,,,,,,,,,,,1,F,Proficient (2007-08),Restructuring (Advanced) -  Comprehensive
02M442,2,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",John Treadwell,CLSO,ESMS,K-8,33.42,A,78.8,11.6,A,22.6,A,44.6,A,0,B,Well Developed (2007-08),In Good Standing
02M449,2,VANGUARD HIGH SCHOOL,Louis Delgado,ESO,HS,High School,2.03,A,70.6,11.9,A,21.3,A,30.4,C,7,A,Well Developed (2007-08),In Good Standing
02M459,2,MANHATTAN INTERNATIONAL HIGH SCHOOL,Alan Krull,ESO,HS,High School,2.53,A,73.5,12.1,A,12.6,C,42.8,A,6,B,Proficient (2007-08),In Good Standing
02M460,2,WASHINGTON IRVING HIGH SCHOOL,Bernardo Ascona,ESO,HS,High School,2.05,C,46.3,5.9,D,7.2,F,30.2,C,3,F,Proficient (2008-09),Restructuring (Advanced) -  Comprehensive
02M475,2,STUYVESANT HIGH SCHOOL,Stanley Teitel,ICI,HS,High School,4.05,A,76.7,8.9,B,21.6,A,46.2,A,0,A,Well Developed (2007-08),In Good Standing
02M489,2,HIGH SCHOOL OF ECONOMICS AND FINANCE,MICHAEL STANZIONE,CLSO,HS,High School,2.73,B,54.5,6.7,C,12.2,C,34.6,B,1,B,Well Developed (2007-08),In Good Standing
02M500,2,UNITY CENTER FOR URBAN TECHNOLOGIES,FAUSTO DE LA ROSA,CLSO,HS,High School,1.85,A,70.6,9.2,B,10.9,D,45.5,A,5,B,Proficient (2008-09),Improvement (year 1) -  Comprehensive
02M519,2,TALENT UNLIMITED HIGH SCHOOL,Linda Hamil,ESO,HS,High School,3.08,A,79.3,10.9,A,19.3,A,48.1,A,1,A,Well Developed (2007-08),In Good Standing
02M520,2,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,Barbara A. Esmilla,CLSO,HS,High School,2.4,D,37.9,5.8,D,12.5,C,19.6,F,0,C,Proficient (2008-09),Restructuring (year 2) -  Focused
