DBN,DISTRICT,SCHOOL,SCHOOL SUPPORT ORGANIZATION/NETWORK,PROGRESS REPORT TYPE,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE
27Q226,27,JHS 226 VIRGIL I GRISSOM,KNLSO2,ESMS,Middle School, 3.13 ,D,38.78,0.194,0.59,0.316,0.75,Proficient
27Q232,27,PS 232 LINDENWOOD,KNLSO1,ESMS,Elementary School, 39.38 ,B,53.32,0.56,0.636,0.456,0.75,Well-Developed
27Q253,27,PS 253,KNLSO1,ESMS,Elementary School, 72.98 ,B,50.19,0.466,0.591,0.463,0,Proficient
27Q254,27,PS 254,KNLSO5,ESMS,Elementary School, 59.24 ,C,46.82,0.726,0.864,0.182,0,Proficient
27Q262,27,CHANNEL VIEW SCHOOL FOR RESEARCH,KNLSO3,ESMS,Middle School, 3.40 ,C,49.95,0.661,0.688,0.298,3,Proficient
27Q323,27,THE SCHOLARS' ACADEMY,KNLSO4,ESMS,Middle School, 3.98 ,B,59.92,0.851,0.934,0.347,0,Well-Developed
27Q400,27,AUGUST MARTIN HIGH SCHOOL,KNLSO3,HS,High School, 2.47 ,D,31.29,0.319,0.294,0.295,1.5,Well-Developed
27Q410,27,BEACH CHANNEL HIGH SCHOOL,KNLSO3,HS,High School, 2.48 ,C,43.8,0.236,0.515,0.451,0,Proficient
27Q465,27,FAR ROCKAWAY HIGH SCHOOL,ESO4,HS,High School, 2.31 ,D,31.69,0.311,0.28,0.311,1.5,Undeveloped
27Q475,27,RICHMOND HILL HIGH SCHOOL,ICI2,HS,High School, 2.53 ,C,40.13,0.288,0.332,0.47,0,Proficient
27Q480,27,JOHN ADAMS HIGH SCHOOL,KNLSO3,HS,High School, 2.52 ,C,35.94,0.222,0.386,0.382,0,Well-Developed
28Q008,28,JHS 008 RICHARD S GROSSLEY,CEIPEA1,ESMS,Middle School, 3.02 ,D,32.39,0.203,0.412,0.282,1.5,Well-Developed
28Q030,28,PS 030 QUEENS,ICI18,ESMS,Elementary School, 64.58 ,D,31.77,0.314,0.278,0.34,0,Proficient
28Q040,28,PS 040 SAMUEL HUNTINGTON,CLSO5,ESMS,Elementary School, 75.32 ,B,63.17,0.355,0.33,0.79,4.5,Undeveloped
28Q048,28,PS 048 WILLIAM WORDSWORTH,ICI8,ESMS,Elementary School, 67.54 ,C,43.3,0.297,0.54,0.398,0.75,Undeveloped
28Q050,28,PS 050 TALFOURD LAWN ELEMENTARY SCHOOL,ICI6,ESMS,Elementary School, 70.37 ,B,57.28,0.39,0.668,0.543,1.5,Proficient
28Q054,28,PS 054 HILLSIDE,ICI18,ESMS,Elementary School, 54.51 ,C,47.72,0.329,0.398,0.561,0,Undeveloped
28Q055,28,PS 055 MAURE,ICI19,ESMS,Elementary School, 45.99 ,A,79.94,0.551,0.356,0.945,9,Proficient
