Program Code,Program Name,DBN,Printed School Name,Interest Area,Selection Method,Selection Method Abbreviated,Directory Page #,Borough,URLS
Q15J,Math/Science Enrichment,30Q445,William Cullen Bryant High School,Science & Math,Screened,S,485,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q445
Q15Z,Zoned,30Q445,William Cullen Bryant High School,Zoned,Unscreened,Z,485,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q445
Q85A,World Journalism Preparatory,25Q285,World Journalism Preparatory: A College Board School,Communications,Limited Unscreened,L,487,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q285
Q43A,York Early College Academy,28Q284,York Early College Academy,Humanities & Interdisciplinary,Screened,S,488,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q284
Q56A,"The Young Women's Leadership School, Astoria",30Q286,"The Young Women's Leadership School, Astoria",Humanities & Interdisciplinary,Screened,S,489,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q286
Q89A,"The Young Women's Leadership School, Queens",28Q896,"The Young Women's Leadership School, Queens",Humanities & Interdisciplinary,Screened,S,490,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q896
R01R,CSI High School for International Studies,31R047,CSI High School for International Studies,Humanities & Interdisciplinary,Limited Unscreened,L,491,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R047
R19A,Computer Business Institute,31R450,Curtis High School,Computer Science & Technology,Unscreened,U,492,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R450
R19B,Legal Studies & Law Enforcement,31R450,Curtis High School,Law & Government,Unscreened,U,492,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R450
R19C,International Baccalaureate/Scholarship Honors Program,31R450,Curtis High School,Humanities & Interdisciplinary,Screened,S,492,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R450
R19D,Journalism Institute,31R450,Curtis High School,Communications,Unscreened,U,492,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R450
R19E,Naval Junior Reserve Officers' Training Corps,31R450,Curtis High School,JROTC,Ed. Opt.,E,492,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R450
R19F,Practical Nursing/Nursing Assistant/Medical Technology,31R450,Curtis High School,Health Professions,Screened,S,492,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R450
R19G,Performing Arts,31R450,Curtis High School,Performing Arts,Unscreened,U,492,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R450
R19H,School for International Services,31R450,Curtis High School,Humanities & Interdisciplinary,Screened,S,492,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R450
R19J,Visual Arts,31R450,Curtis High School,Visual Art & Design,Unscreened,U,492,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R450
R19Z,Zoned,31R450,Curtis High School,Zoned,Unscreened,Z,492,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R450
R55A,Gaynor McCown Expeditionary Learning School,31R064,Gaynor McCown Expeditionary Learning School,Humanities & Interdisciplinary,Limited Unscreened,L,494,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R064
R15J,Comprehensive Academic for New Students,31R080,The Michael J. Petrides School,Humanities & Interdisciplinary,Ed. Opt.,E,495,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R080
R15K,Comprehensive Academic for Current Students,31R080,The Michael J. Petrides School,Humanities & Interdisciplinary,For Continuing 8th Graders,8,495,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R080
R20A,Future Teachers Academy,31R440,New Dorp High School,Teaching,Ed. Opt.,E,496,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R440
R20C,"Law, History & Human Rights Institute sponsored by Gilder Lehrman Institute of American History",31R440,New Dorp High School,Law & Government,Screened,S,496,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R440
R20E,Corporate Center for Business and Technology,31R440,New Dorp High School,Business,Ed. Opt.,E,496,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R440
R20F,Allied Health Academy,31R440,New Dorp High School,Health Professions,Ed. Opt.,E,496,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R440
R20M,Academy of Communication and Media Arts,31R440,New Dorp High School,Communications,Ed. Opt.,E,496,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R440
R20P,Academy of Fine and Dramatic Arts,31R440,New Dorp High School,Performing Arts/Visual Art & Design,Ed. Opt.,E,496,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R440
R20S,Math & Science Health Careers Institute,31R440,New Dorp High School,Science & Math,Screened,S,496,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R440
R20T,Institute of Forensic Science and Criminology,31R440,New Dorp High School,Science & Math,Ed. Opt.,E,496,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R440
R20Z,Zoned,31R440,New Dorp High School,Zoned,Unscreened,Z,496,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R440
R10A,The Gateway Academy for Health,31R445,Port Richmond High School,Science & Math,Limited Unscreened,L,498,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R445
R10C,Culinary Arts,31R445,Port Richmond High School,Culinary Arts,Limited Unscreened,L,498,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R445
R10D,Junior Reserve Officers' Training Corps,31R445,Port Richmond High School,JROTC,Ed. Opt.,E,498,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R445
R10E,Performing & Visual Arts,31R445,Port Richmond High School,Visual Art & Design,Ed. Opt.,E,498,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R445
R10K,Institute of Business Technology & Entrepreneurship,31R445,Port Richmond High School,Business,Ed. Opt.,E,498,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R445
R10L,"Television, Broadcasting and Media Arts",31R445,Port Richmond High School,Communications,Ed. Opt.,E,498,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R445
R10M,Medical Technology,31R445,Port Richmond High School,Health Professions,Limited Unscreened,L,498,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R445
R10N,Institute for Civic Leadership,31R445,Port Richmond High School,Law & Government,Ed. Opt.,E,498,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R445
R10Z,Zoned,31R445,Port Richmond High School,Zoned,Unscreened,Z,498,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R445
R60H,Information Technology,31R600,Ralph R. McKee Career and Technical Education High School,Computer Science & Technology,Screened,S,500,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R600
R60I,Visual Arts and Graphic Design,31R600,Ralph R. McKee Career and Technical Education High School,Visual Art & Design,Screened,S,500,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R600
R60K,Pre-Engineering/Computer Aided Drafting,31R600,Ralph R. McKee Career and Technical Education High School,Engineering,Screened,S,500,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R600
R60P,Automotive Service Center Specialist,31R600,Ralph R. McKee Career and Technical Education High School,Computer Science & Technology,Ed. Opt.,E,500,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R600
R60Q,Cosmetology/Salon Management,31R600,Ralph R. McKee Career and Technical Education High School,Cosmetology,Ed. Opt.,E,500,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R600
R60R,Construction Trades and Management,31R600,Ralph R. McKee Career and Technical Education High School,Architecture,Ed. Opt.,E,500,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R600
NO CODE,Engineering,31R605,Staten Island Technical High School,Engineering,Test,T,502,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R605
R17A,Academy of Finance,31R460,Susan E. Wagner High School,Business,Screened,S,504,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R460
R17B,Academy of Hospitality & Tourism,31R460,Susan E. Wagner High School,Communications,Ed. Opt.,E,504,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R460
R17C,Air Force Junior Reserve Officers' Training Corps,31R460,Susan E. Wagner High School,JROTC,Ed. Opt.,E,504,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R460
R17D,Law & Politics Institute,31R460,Susan E. Wagner High School,Law & Government,Screened,S,504,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R460
R17F,Scholars’ Academy,31R460,Susan E. Wagner High School,Humanities & Interdisciplinary,Screened,S,504,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R460
R17G,Music,31R460,Susan E. Wagner High School,Performing Arts,Audition,A,504,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R460
R17H,Visual Arts,31R460,Susan E. Wagner High School,Visual Art & Design,Audition,A,504,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R460
R17J,Theater,31R460,Susan E. Wagner High School,Performing Arts,Audition,A,504,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R460
R17Z,Zoned,31R460,Susan E. Wagner High School,Zoned,Unscreened,Z,504,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R460
R30A,Medical Technology,31R455,Tottenville High School,Health Professions,Limited Unscreened,L,506,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R455
R30B,Marine Corps Junior Reserve Officers' Training Corps,31R455,Tottenville High School,JROTC,Ed. Opt.,E,506,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R455
R30C,Classics Institute,31R455,Tottenville High School,Humanities & Interdisciplinary,Screened,S,506,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R455
R30S,Science Institute,31R455,Tottenville High School,Science & Math,Screened,S,506,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R455
R30Z,Zoned,31R455,Tottenville High School,Zoned,Unscreened,Z,506,Staten Island,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=R455
