Energy Type,-,_,FY 2009Jul-2008,Aug-2008,Sep-2008,Oct-2008,Nov-2008,Dec-2008,Jan-2009,Feb-2009,Mar-2009,Apr-2009,May-2009,Jun-2009,FY 2010Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010,FY 2011Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011,Jun-2011,FY 2012Jul-2011,Aug-2011,Sep-2011,Oct-2011,Nov-2011,Dec-2011,Jan-2012,Feb-2012,Mar-2012,Apr-2012,May-2012,Jun-2012,Location 1
Total Usage (mmBTUs),5606.18,5489.72,4919.28,4815.98,6191.47,7443.02,7985.9,6676.53,6008.03,4545.69,4597.72,4705.74,5683.78,5544.63,4929.9,5257.5,4718.94,8081.16,8011.16,8174.85,6288.46,4369.44,4304.68,5113.25,5583.12,5958.75,5738.87,4320.86,5822.12,5258.64,8135.79,8753.83,7323.96,5162.25,4167.43,5361.08,5599.92,4860.88,5110.98,4176.5,6461.9,7094.99,8884.29,8564.55,6028.96,4698.23,3942.07,4850.68,,,
Electricity Demand (KW),1350,1346,1310,1063,855,807,829,824,897,1246,1278,1226,989,1530,1379,1080,906,905,837,812,894,1157,1286,1563,1633,1594,1592,1232,1136,905,837,819,881,975,1171,1340.16,1710.72,1533.12,1352.16,1278.24,838.08,836.64,758.88,828.96,988.8,1194.72,1119.84,1517.76,,,
Electricity Usage (KWH),487200,501200,446000,356000,350800,354400,367600,353200,354400,345200,386800,415600,519600,547600,458400,398800,350400,390000,353200,370000,351600,360000,394400,525600,519600,547600,616400,418000,352400,353200,353200,366400,325200,335200,361200,518400,584000,511200,477600,394400,355200,336000,326400,345600,343200,344800,371200,500000,,,
Steam (mlbs),64,67,104,562,2220,4101,4840,3569,3316,1470,202,91,78,77,88,763,1480,3830,4155,4065,2493,278,108,81,68,79,99,182,2053,3802,4311,3017,2633,1155,135,0,65,76,79,173,1652,2684,3194,2557,1517,852,59,57,,,
Total Usage (mmBTUs),1734.3,1785.43,1638.37,1842.87,3677.41,5791.11,6661.76,5192.68,4914.13,2820.41,1545.81,1520.09,1860.52,1954.97,1662.82,2213.5,2849.33,5609.86,5847.34,5804.14,3985.13,1539.25,1466.73,1884.35,1849.35,1957.2,2214.36,1629.95,3496.3,5452.98,6021.62,4621.04,4051.43,2434.37,1383.58,1769.28,2065.79,1829.62,1718.29,1539.35,3057.87,4145.27,4682.27,4036.15,2866.09,2128.63,1332.81,1770.16,,,
Electricity Demand (KW),2144,2160,2076,1932,1772,1416,1416,1412,1412,1832,1876,1940,2020,2052,1996,1684,1224,1232,1236,1184,1192,1640,1900,2008,2048,2124,2024,1928,1748,1148,1168,1160,1168,1192,1596,1880,1932,1880,1786.4,1786.4,1435.2,1429.6,1157.6,1136.8,1140.8,1513.6,1589.6,1817.6,,,
Electricity Usage (KWH),1293600,1216800,1293600,981600,904800,988800,916800,849600,782400,715200,859200,943200,1118400,1128000,996000,1272000,681600,756000,218400,669600,633600,662400,765600,1005600,1202400,1058400,981600,825600,616800,691200,631200,705600,640800,607200,672000,979200,1048800,996000,831200,774400,583200,658400,587200,610400,584000,586400,645600,865600,,,
Gas (Therms),15584,16926,17274,16794,23904,30617,25663,27055,24569,21701,16280,19,14791,11461,16575,16749,18411,32474,29259,29821,24377,10601,17228,14633,13849,14435,16292,15261,18439,36033,32182,27602,30072,18201,20207,20150,18937,18327,11810,12293,17877,21334,25733,19989,14921,17387,8067,16257,,,
Total Usage (mmBTUs),5973.42,5845.5,6142.42,5029.57,5478.46,6436.44,5695.31,5605.16,5127.21,4611.06,4560.42,3221.01,5296.17,4995.93,5056.82,6016.2,4167.38,5827.61,3671.29,5267.42,4600.16,3320.85,4335.77,4895.38,5488.66,5055.79,4979.37,4343.85,3949.02,5962.34,5372.47,5168.39,5194.23,3892.46,4314.22,5356.98,5473.22,5232.02,4017.86,3872.3,3778.14,4380.5,4577.4,4082.18,3485.27,3740.07,3010.11,4579.97,,,
Electricity Demand (KW),428,416,368,368,252,244,228,232,232,300,324,368,368,428,396,244,244,220,216,216,216,304,304,400,432,388,404,284,252,224,224,224,212,232,252,380,440,368,304,364,208,248,224,244,244,252,304,424,,,
