Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Current Source Energy Intensity (kBtu/Sq. Ft.),2010 Current Total GHG Emissions (MtCO2e) â ,2011 Rating * ,2011 Source Energy Intensity (kBtu/Sq. Ft.) ,2011 Total GHG Emissions (MtCO2e) † ,Address ,City ,State ,Zip ,Gross Sq.Ft. ,Year Built 
3,3043,1,3070967,United Community of Williamsburg Day Care Center,ACS,N/A,121.3,57.9,N/A,119.8,57.3,152 Manhattan Ave,Brooklyn,NY,11206,17000,1963
2,3217,60,2014731,University Heights Day Care Center,ACS,N/A,66.1,25.1,N/A,62,23.5,2167 University Ave,Bronx,NY,10453,13500,1926
3,4039,1,3089620,Urban Strategies Day Care Center,ACS,N/A,206.4,188.1,N/A,184.7,168.4,1091 Sutter Ave,Brooklyn,NY,11208,32427,1974
3,3805,26,3084628,Urban Strategies Inc. #2,ACS,N/A,172.4,111.6,N/A,163.8,106.2,452 Pennsylvania Ave,Brooklyn,NY,11207,22720,1963
3,5712,1,3141065,Vincent T. J. Caristo Day Care Center,ACS,N/A,205,272.3,N/A,166.4,220.9,5901 13th Ave,Brooklyn,NY,11219,46400,1973
3,391,56,3006144,Warren Street Center for C&F,ACS,N/A,125.8,107.4,N/A,133,113.3,343 Warren St,Brooklyn,NY,11201,29742,1974
2,4078,10,2044137,Westchester-Tremont Day Care Center,ACS,N/A,158.5,94.7,N/A,73.7,43.8,2547 East Tremont Ave,Bronx,NY,10461,20911,1931
2,4651,44,2057523,Williamsbridge NAACP Early EEC,ACS,N/A,154.8,132.7,N/A,144.8,124.5,670-80 East 219th St,Bronx,NY,10467,29200,1970
3,2014,26,3057638,Young Minds Day Care Center,ACS,N/A,414.8,273.4,N/A,397.3,261.1,972 Fulton St,Brooklyn,NY,11238,22960,1972
3,3923,52,3087001,Arlington Branch Library,BPL,N/A,195,104.7,N/A,187.7,103.6,203 Arlington Ave,Brooklyn,NY,11207,16385,1906
3,5907,1,3147279,Bay Ridge Branch Library,BPL,N/A,241.4,123.7,N/A,223.6,115.2,7223 Ridge Blvd,Brooklyn,NY,11209,16506,1960
3,1997,32,3057384,Bedford Branch Library & Learning Center,BPL,N/A,193.7,107.5,N/A,174.7,89.4,496 Franklin Ave,Brooklyn,NY,11238,17184,1905
3,5598,48,3135907,Borough Park Branch Library,BPL,N/A,131.7,72.5,N/A,121,66.7,1265 43rd St,Brooklyn,NY,11219,19594,1955
3,239,16,3001939,Brooklyn Heights Branch & Business Library,BPL,N/A,187.1,364.4,N/A,177.2,363.5,280 Cadman Plz West,Brooklyn,NY,11201,62917,1962
3,3489,150,3080669,Brownsville Branch Library,BPL,N/A,213.3,73.5,N/A,192.9,64.9,61 Glenmore Ave,Brooklyn,NY,11212,10838,1908
3,3098,19,3071470,Bushwick Branch Library,BPL,N/A,200.3,68.2,N/A,179.6,65.8,340 Bushwick Ave,Brooklyn,NY,11206,10757,1908
3,1183,2,3029665,Central Library & Learning Center,BPL,N/A,197.4,2152.1,N/A,190.8,2089.4,10 Grand Army Plz,Brooklyn,NY,11238,350000,1938
3,7019,43,3189001,Coney Island Branch Library & Learning Center,BPL,N/A,234.6,91.9,N/A,239.5,98.4,1901 Mermaid Ave,Brooklyn,NY,11224,12087,1954
3,3241,18,3073751,DeKalb Branch Library,BPL,N/A,194.7,82.3,N/A,193.7,84.2,790 Bushwick Ave,Brooklyn,NY,11221,12584,1905
3,6302,36,3164019,Dyker Branch Library,BPL,N/A,233.7,81.9,N/A,200.1,72.4,8202 13th Ave,Brooklyn,NY,11228,10521,1974
3,4717,38,3103597,East Flatbush Branch Library,BPL,N/A,215.8,81.1,N/A,197.6,73.7,9612 Church Ave,Brooklyn,NY,11212,12329,1991
3,1396,6,3037543,Eastern Parkway Branch Library & Learning Center,BPL,N/A,251,137.8,N/A,246.8,134.8,1044 Eastern Pkwy,Brooklyn,NY,11213,16024,1914
3,5086,15,3116706,Flatbush Branch Library & Learning Center,BPL,N/A,256.3,190.9,N/A,227.9,164.1,22 Linden Blvd,Brooklyn,NY,11226,21790,1905
3,7868,39,3219626,Flatlands Branch Library,BPL,N/A,250.4,93.8,N/A,230.3,87,2065 Flatbush Ave,Brooklyn,NY,11234,11903,1955
3,8923,920,3343823,Gerritsen Branch Library,BPL,N/A,218,99.9,N/A,202.1,91.9,2808 Gerritsen Ave,Brooklyn,NY,11229,14500,1995
3,7405,920,3202630,Kings Bay Branch Library,BPL,N/A,279.5,121.8,N/A,293.6,130,3650 Nostrand Ave,Brooklyn,NY,11229,14885,1951
3,6783,68,3182576,Kings Highway Branch Library,BPL,N/A,228.5,187.7,N/A,229.8,190.1,2115 Ocean Ave,Brooklyn,NY,11229,25785,1954
3,1665,1,3046408,Macon Branch Library,BPL,N/A,244.7,88.6,N/A,242.6,84.1,361 Lewis Ave,Brooklyn,NY,11233,10540,1907
3,5518,4,3132091,Mapleton Branch Library,BPL,N/A,223.5,137.3,N/A,229.6,143,1702 60th St,Brooklyn,NY,11204,19821,1955
3,6709,54,3179706,Midwood Branch Library,BPL,N/A,276.5,126.3,N/A,242,110.7,975 East 16th St,Brooklyn,NY,11230,15210,1955
3,8363,9,3235910,Mill Basin Branch Library,BPL,N/A,178.3,81.5,N/A,177.5,80.2,2385 Ralph Ave,Brooklyn,NY,11234,14600,1974
3,4090,1,3090726,New Lots Branch Library,BPL,N/A,162.6,131.6,N/A,181.5,150.2,655 New Lots Ave,Brooklyn,NY,11207,24558,1956
3,6343,64,3165745,New Utrecht Branch Library,BPL,N/A,250.6,170.7,N/A,268.6,189.9,1743 86th St,Brooklyn,NY,11214,22557,1957
3,928,6,3018376,Pacific Branch Library,BPL,N/A,195.3,99.5,N/A,169.6,93.7,25 4th Ave,Brooklyn,NY,11217,15758,1903
3,1006,1,3022144,Park Slope Branch Library,BPL,N/A,95.9,54.4,N/A,68.6,54,431 6th Ave,Brooklyn,NY,11215,15868,1906
3,1498,35,3040218,Saratoga Branch Library,BPL,N/A,246.4,77.5,N/A,260.7,91.4,8 Thomas S. Boyland St,Brooklyn,NY,11233,10040,1908
3,3794,18,3084596,Stone Avenue Branch Library,BPL,N/A,161.9,73.3,N/A,201.9,104.6,581 Mother Gaston Blvd,Brooklyn,NY,11212,14258,1914
3,798,34,3013507,Sunset Park Branch Library,BPL,N/A,253.3,99.5,N/A,241.7,94.2,5108 4th Ave,Brooklyn,NY,11220,12174,1972
3,2189,1,3060090,Williamsburg Branch Library,BPL,N/A,158.3,132.5,N/A,160.6,136.1,240 Division Ave,Brooklyn,NY,11211,24118,1905
2,3338,52,2018094,Bronx County Historical Society Campus: BCHS Archives,BXHS,N/A,57.1,32.4,N/A,68.4,40.9,3313 Bainbridge Ave,Bronx,NY,10467,5271,1930
2,3343,500,2018252,Bronx County Historical Society Campus: BCHS Valentine Varian House,BXHS,N/A,57.1,32.4,N/A,68.4,40.9,3266 Bainbridge Ave,Bronx,NY,10467,3121,1758
2,3338,54,2018096,Bronx County Historical Society Campus: Historical Society,BXHS,N/A,57.1,32.4,N/A,68.4,40.9,3309 Bainbridge Ave,Bronx,NY,10467,4671,1925
3,4812,1,3831514,Chief Medical Examiner,CME,12,358.6,412.7,12,352.7,405.9,599 Winthrop St,Brooklyn,NY,11203,40950,2005
4,6858,1,4442431,Chief Medical Examiner,CME,23,301.3,346.9,13,344.5,396.6,82-68 164th St,Queens,NY,11432,40950,2005
1,962,100,1087242,OCME DNA Lab,CME,N/A,112.2,9016.5,N/A,108.5,8373.1,421 East 26th St,New York,NY,10016,2124441,2006
1,878,20,1086544,Baruch College Campus: Administrative Building,CUNY,N/A,262.9,14615.7,N/A,279.5,16023.9,133 East 22nd St,New York,NY,10010,84879,1939
