NEIGHBORHOOD,TYPE OF HOME,TOTAL NO. OF PROPERTIES,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
JAMAICA HILLS            ,02 TWO FAMILY HOMES                        ,630,22,$295000.00,$516777.00,$505000.00,$750000.00
JAMAICA HILLS            ,03 THREE FAMILY HOMES                      ,138,1,$645000.00,$645000.00,$645000.00,$645000.00
KEW GARDENS              ,01 ONE FAMILY HOMES                        ,844,13,$170000.00,$747500.00,$720000.00,$1425000.00
KEW GARDENS              ,02 TWO FAMILY HOMES                        ,341,15,$319410.00,$505474.00,$409000.00,$915000.00
KEW GARDENS              ,03 THREE FAMILY HOMES                      ,188,5,$470000.00,$576000.00,$570000.00,$765000.00
LAURELTON                ,01 ONE FAMILY HOMES                        ,5026,123,$150000.00,$328841.00,$339000.00,$570000.00
LAURELTON                ,02 TWO FAMILY HOMES                        ,1041,46,$200000.00,$389841.00,$373000.00,$620000.00
LAURELTON                ,03 THREE FAMILY HOMES                      ,47,1,$370000.00,$370000.00,$370000.00,$370000.00
LITTLE NECK              ,01 ONE FAMILY HOMES                        ,2445,75,$221500.00,$756943.00,$650000.00,$3650000.00
LITTLE NECK              ,02 TWO FAMILY HOMES                        ,294,14,$600000.00,$950348.00,$905000.00,$1750000.00
LITTLE NECK              ,03 THREE FAMILY HOMES                      ,59,1,$412500.00,$412500.00,$412500.00,$412500.00
LONG ISLAND CITY         ,01 ONE FAMILY HOMES                        ,202,6,$395000.00,$516667.00,$510000.00,$680000.00
LONG ISLAND CITY         ,02 TWO FAMILY HOMES                        ,716,18,$300000.00,$611963.00,$602500.00,$1100000.00
LONG ISLAND CITY         ,03 THREE FAMILY HOMES                      ,342,4,$329550.00,$560388.00,$606000.00,$700000.00
MASPETH                  ,01 ONE FAMILY HOMES                        ,2399,63,$162500.00,$426141.00,$432000.00,$770000.00
MASPETH                  ,02 TWO FAMILY HOMES                        ,3120,86,$233083.00,$525983.00,$496333.00,$920000.00
MASPETH                  ,03 THREE FAMILY HOMES                      ,678,18,$334620.00,$743740.00,$757500.00,$1148586.00
MIDDLE VILLAGE           ,01 ONE FAMILY HOMES                        ,4758,115,$150000.00,$503523.00,$499000.00,$1200000.00
MIDDLE VILLAGE           ,02 TWO FAMILY HOMES                        ,2990,79,$235000.00,$546110.00,$535000.00,$925000.00
MIDDLE VILLAGE           ,03 THREE FAMILY HOMES                      ,875,18,$375000.00,$692190.00,$651500.00,$963537.00
NEPONSIT                 ,01 ONE FAMILY HOMES                        ,616,16,$319588.00,$958787.00,$705000.00,$3150000.00
OAKLAND GARDENS          ,01 ONE FAMILY HOMES                        ,1641,48,$400000.00,$619877.00,$623750.00,$997885.00
OAKLAND GARDENS          ,02 TWO FAMILY HOMES                        ,311,15,$150000.00,$920675.00,$958668.00,$1481553.00
OAKLAND GARDENS          ,03 THREE FAMILY HOMES                      ,81,5,$768000.00,$805100.00,$820000.00,$835000.00
OZONE PARK               ,01 ONE FAMILY HOMES                        ,2869,101,$170000.00,$355934.00,$360000.00,$747027.00
OZONE PARK               ,02 TWO FAMILY HOMES                        ,3834,169,$153000.00,$428385.00,$425000.00,$831992.00
OZONE PARK               ,03 THREE FAMILY HOMES                      ,606,30,$236262.00,$550270.00,$593769.00,$743322.00
QUEENS VILLAGE           ,01 ONE FAMILY HOMES                        ,8227,246,$150000.00,$354908.00,$360000.00,$805000.00
QUEENS VILLAGE           ,02 TWO FAMILY HOMES                        ,2216,73,$171500.00,$436629.00,$436800.00,$706762.00
QUEENS VILLAGE           ,03 THREE FAMILY HOMES                      ,144,2,$350000.00,$424750.00,$424750.00,$499500.00
REGO PARK                ,01 ONE FAMILY HOMES                        ,1943,40,$200000.00,$595632.00,$565000.00,$1050000.00
REGO PARK                ,02 TWO FAMILY HOMES                        ,852,28,$150214.00,$650665.00,$614700.00,$1183000.00
REGO PARK                ,03 THREE FAMILY HOMES                      ,224,6,$600767.00,$786263.00,$687500.00,$1140311.00
RICHMOND HILL            ,01 ONE FAMILY HOMES                        ,5400,158,$152500.00,$340080.00,$327816.00,$690000.00
RICHMOND HILL            ,02 TWO FAMILY HOMES                        ,5978,190,$182000.00,$415784.00,$394946.00,$775000.00
RICHMOND HILL            ,03 THREE FAMILY HOMES                      ,987,22,$150000.00,$519284.00,$542500.00,$745000.00
RIDGEWOOD                ,01 ONE FAMILY HOMES                        ,577,23,$180000.00,$385307.00,$380000.00,$700000.00
RIDGEWOOD                ,02 TWO FAMILY HOMES                        ,3281,63,$170000.00,$469830.00,$499900.00,$799000.00
RIDGEWOOD                ,03 THREE FAMILY HOMES                      ,1157,13,$301000.00,$578640.00,$610000.00,$722957.00
ROCKAWAY PARK            ,01 ONE FAMILY HOMES                        ,244,1,$330000.00,$330000.00,$330000.00,$330000.00
ROCKAWAY PARK            ,02 TWO FAMILY HOMES                        ,386,12,$225000.00,$465484.00,$493363.00,$647000.00
ROCKAWAY PARK            ,03 THREE FAMILY HOMES                      ,166,4,$300000.00,$406500.00,$363000.00,$600000.00
ROSEDALE                 ,01 ONE FAMILY HOMES                        ,4106,117,$155000.00,$349033.00,$350000.00,$645000.00
ROSEDALE                 ,02 TWO FAMILY HOMES                        ,3026,135,$200850.00,$473370.00,$478723.00,$3500000.00
ROSEDALE                 ,03 THREE FAMILY HOMES                      ,242,7,$313326.00,$463539.00,$470503.00,$580000.00
SO. JAMAICA-BAISLEY PARK ,01 ONE FAMILY HOMES                        ,5221,245,$150000.00,$283111.00,$288076.00,$507000.00
SO. JAMAICA-BAISLEY PARK ,02 TWO FAMILY HOMES                        ,2552,165,$158400.00,$390151.00,$380000.00,$808977.00
SOUTH JAMAICA            ,01 ONE FAMILY HOMES                        ,3397,181,$150000.00,$297812.00,$301809.00,$718149.00
SOUTH JAMAICA            ,02 TWO FAMILY HOMES                        ,2922,245,$150000.00,$378640.00,$381000.00,$1061248.00
SOUTH JAMAICA            ,03 THREE FAMILY HOMES                      ,327,17,$162240.00,$405119.00,$377500.00,$686134.00
SOUTH OZONE PARK         ,01 ONE FAMILY HOMES                        ,4797,162,$150000.00,$348008.00,$330000.00,$1200000.00
SOUTH OZONE PARK         ,02 TWO FAMILY HOMES                        ,3441,170,$166666.00,$402237.00,$390000.00,$760162.00
SOUTH OZONE PARK         ,03 THREE FAMILY HOMES                      ,176,5,$380000.00,$529957.00,$515000.00,$799787.00
SPRINGFIELD GARDENS      ,01 ONE FAMILY HOMES                        ,4751,178,$160000.00,$320845.00,$319705.00,$645000.00
SPRINGFIELD GARDENS      ,02 TWO FAMILY HOMES                        ,2858,145,$152826.00,$432123.00,$438761.00,$625854.00
SPRINGFIELD GARDENS      ,03 THREE FAMILY HOMES                      ,47,5,$350000.00,$552431.00,$590217.00,$661937.00
ST. ALBANS               ,01 ONE FAMILY HOMES                        ,7039,265,$160000.00,$322736.00,$327000.00,$588300.00
ST. ALBANS               ,02 TWO FAMILY HOMES                        ,2309,94,$150000.00,$363793.00,$352700.00,$649712.00
ST. ALBANS               ,03 THREE FAMILY HOMES                      ,66,1,$549491.00,$549491.00,$549491.00,$549491.00
SUNNYSIDE                ,01 ONE FAMILY HOMES                        ,569,15,$225000.00,$488055.00,$519000.00,$610000.00
SUNNYSIDE                ,02 TWO FAMILY HOMES                        ,1009,21,$350000.00,$592373.00,$620000.00,$769000.00
SUNNYSIDE                ,03 THREE FAMILY HOMES                      ,288,6,$400000.00,$557250.00,$552500.00,$700000.00
WHITESTONE               ,01 ONE FAMILY HOMES                        ,3996,103,$295000.00,$645986.00,$600000.00,$2000000.00
WHITESTONE               ,02 TWO FAMILY HOMES                        ,1647,45,$235000.00,$688051.00,$690000.00,$1200000.00
WOODHAVEN                ,01 ONE FAMILY HOMES                        ,2634,90,$189000.00,$338319.00,$326757.00,$731477.00
WOODHAVEN                ,02 TWO FAMILY HOMES                        ,2904,114,$195000.00,$399444.00,$388760.00,$802500.00
WOODHAVEN                ,03 THREE FAMILY HOMES                      ,493,28,$242500.00,$473199.00,$466000.00,$738030.00
WOODSIDE                 ,01 ONE FAMILY HOMES                        ,776,24,$253500.00,$461782.00,$485000.00,$747907.00
WOODSIDE                 ,02 TWO FAMILY HOMES                        ,1390,42,$210000.00,$608420.00,$597500.00,$1100000.00
WOODSIDE                 ,03 THREE FAMILY HOMES                      ,852,18,$230000.00,$730487.00,$805900.00,$1240000.00
