Zip Code,Building type (service class, Consumption (therms) , Consumption (GJ) ,Utility/Data Source
"11226
(40.64650500230408, -73.9571900991437)",Large residential,19482081,2055469,National Grid
"11226
(40.64650500230408, -73.9571900991437)",Small residential,6406707,675943,National Grid
"11228
(40.61654071408276, -74.0132778473947)",Commercial,881038,92954,National Grid
"11228
(40.61654071408276, -74.0132778473947)",Industrial,543497,57342,National Grid
"11228
(40.61654071408276, -74.0132778473947)",Institutional,278441,29377,National Grid
"11228
(40.61654071408276, -74.0132778473947)",Large residential,761559,80349,National Grid
"11228
(40.61654071408276, -74.0132778473947)",Small residential,9926950,1047349,National Grid
"11229
(40.60123350732056, -73.94436854117521)",Commercial,1993920,210370,National Grid
"11229
(40.60123350732056, -73.94436854117521)",Industrial,141426,14921,National Grid
"11229
(40.60123350732056, -73.94436854117521)",Institutional,447194,47181,National Grid
"11229
(40.60123350732056, -73.94436854117521)",Large residential,13147358,1387120,National Grid
"11229
(40.60123350732056, -73.94436854117521)",Small residential,12866878,1357528,National Grid
"11230
(40.62192951023877, -73.96551106018723)",Commercial,2318028,244565,National Grid
"11230
(40.62192951023877, -73.96551106018723)",Industrial,101877,10749,National Grid
"11230
(40.62192951023877, -73.96551106018723)",Institutional,3604096,380252,National Grid
"11230
(40.62192951023877, -73.96551106018723)",Large residential,12513612,1320256,National Grid
"11230
(40.62192951023877, -73.96551106018723)",Small residential,11665262,1230750,National Grid
"11231
(40.6775543117821, -74.00467670436637)",Commercial,3743947,395007,National Grid
"11231
(40.6775543117821, -74.00467670436637)",Industrial,352339,37174,National Grid
"11231
(40.6775543117821, -74.00467670436637)",Institutional,346781,36587,National Grid
"11231
(40.6775543117821, -74.00467670436637)",Large residential,8892620,938221,National Grid
"11231
(40.6775543117821, -74.00467670436637)",Small residential,5330545,562402,National Grid
"11232
(40.65451161701759, -74.00003392912248)",Commercial,3285406,346629,National Grid
"11232
(40.65451161701759, -74.00003392912248)",Industrial,13048581,1376698,National Grid
"11232
(40.65451161701759, -74.00003392912248)",Institutional,1847474,194919,National Grid
"11232
(40.65451161701759, -74.00003392912248)",Large residential,2048639,216143,National Grid
"11232
(40.65451161701759, -74.00003392912248)",Small residential,2619957,276420,National Grid
"11233
(40.67813043816926, -73.91977647550391)",Commercial,1223131,129047,National Grid
"11233
(40.67813043816926, -73.91977647550391)",Industrial,88898,9379,National Grid
"11233
(40.67813043816926, -73.91977647550391)",Institutional,1165816,123000,National Grid
"11233
(40.67813043816926, -73.91977647550391)",Large residential,10673659,1126131,National Grid
"11233
(40.67813043816926, -73.91977647550391)",Small residential,8291426,874792,National Grid
"11234
(40.61636866748006, -73.92773224974349)",Commercial,6157277,649627,National Grid
"11234
(40.61636866748006, -73.92773224974349)",Industrial,657191,69337,National Grid
"11234
(40.61636866748006, -73.92773224974349)",Institutional,1812535,191233,National Grid
"11234
(40.61636866748006, -73.92773224974349)",Large residential,5240504,552903,National Grid
"11234
(40.61636866748006, -73.92773224974349)",Small residential,22219097,2344239,National Grid
"11235
(40.57841410882412, -73.94026000009887)",Commercial,3818158,402837,National Grid
"11235
(40.57841410882412, -73.94026000009887)",Industrial,44596,4705,National Grid
"11235
(40.57841410882412, -73.94026000009887)",Institutional,2091533,220668,National Grid
"11235
(40.57841410882412, -73.94026000009887)",Large residential,15358828,1620442,National Grid
"11235
(40.57841410882412, -73.94026000009887)",Small residential,9977961,1052731,National Grid
"11236
(40.64002149379695, -73.90112193992553)",Commercial,3108542,327969,National Grid
"11236
(40.64002149379695, -73.90112193992553)",Industrial,805099,84942,National Grid
"11236
(40.64002149379695, -73.90112193992553)",Institutional,839695,88593,National Grid
"11236
(40.64002149379695, -73.90112193992553)",Large residential,11489554,1212212,National Grid
"11236
(40.64002149379695, -73.90112193992553)",Small residential,19201617,2025878,National Grid
"11237
(40.704095739826585, -73.92099423399668)",Commercial,2600827,274402,National Grid
"11237
(40.704095739826585, -73.92099423399668)",Industrial,2133783,225126,National Grid
"11237
(40.704095739826585, -73.92099423399668)",Institutional,809265,85382,National Grid
"11237
(40.704095739826585, -73.92099423399668)",Large residential,4718001,497776,National Grid
"11237
(40.704095739826585, -73.92099423399668)",Small residential,3804248,401369,National Grid
"11238
(40.67886241346963, -73.9638204696389)",Commercial,2045915,215855,National Grid
"11238
(40.67886241346963, -73.9638204696389)",Industrial,228912,24151,National Grid
"11238
(40.67886241346963, -73.9638204696389)",Institutional,1006041,106143,National Grid
"11238
(40.67886241346963, -73.9638204696389)",Large residential,9649474,1018074,National Grid
"11238
(40.67886241346963, -73.9638204696389)",Small residential,5094432,537491,National Grid
"11239
(40.64949607998017, -73.8655249998788)",Commercial,487427,51426,National Grid
"11239
(40.64949607998017, -73.8655249998788)",Industrial,11771,1242,National Grid
"11239
(40.64949607998017, -73.8655249998788)",Institutional,274144,28924,National Grid
"11239
(40.64949607998017, -73.8655249998788)",Large residential,33558083,3540566,National Grid
"11239
(40.64949607998017, -73.8655249998788)",Small residential,187050,19735,National Grid
"11241
(40.69328899958771, -73.99062699983614)",Commercial,184,19,National Grid
"11241
(40.69328899958771, -73.99062699983614)",Small residential,947,100,National Grid
"11242
(40.69315000037227, -73.99102900038804)",Commercial,147434,15555,National Grid
"11243
(40.685030000034544, -73.97807500016108)",Commercial,558,59,National Grid
"11243
(40.685030000034544, -73.97807500016108)",Large residential,201530,21263,National Grid
"11252
(40.60793409418318, -74.02694266727025)",Commercial,38852,4099,National Grid
"11252
(40.60793409418318, -74.02694266727025)",Institutional,301262,31785,National Grid
"11254
",Small residential,1896,200,National Grid
"11256
(40.662351000098624, -73.86011500040689)",Institutional,277857,29315,National Grid
"11274
",Commercial,8364,882,National Grid
"11279
",Commercial,2579,272,National Grid
"11279
",Large residential,301,32,National Grid
"11303
",Commercial,13039,1376,National Grid
"11303
",Small residential,3009,317,National Grid
"11313
",Small residential,3488,368,National Grid
"11314
",Small residential,6011,634,National Grid
"11315
",Commercial,8520,899,National Grid
"11315
",Institutional,339,36,National Grid
"11315
",Large residential,335091,35354,National Grid
"11315
",Small residential,4458,470,National Grid
"11323
",Commercial,3637,384,National Grid
"11332
",Commercial,3795,400,National Grid
"11335
",Large residential, -   , -   ,National Grid
"11337
",Commercial,4928,520,National Grid
"11343
",Small residential,2454,259,National Grid
"11350
",Commercial,10048,1060,National Grid
"11354
(40.76862022064671, -73.82719028070687)",Small residential,2080,219,National Grid
"11357
(40.78628404147537, -73.81123206101074)",Small residential,589,62,National Grid
"11362
(40.759074216601846, -73.73430017711144)",Small residential,336,35,National Grid
"11364
(40.745924680379744, -73.75790275560763)",Small residential,1463,154,National Grid
"11365
(40.73987184371066, -73.79462153515567)",Commercial,963,102,National Grid
"11365
(40.73987184371066, -73.79462153515567)",Large residential,4277,451,National Grid
"11365
(40.73987184371066, -73.79462153515567)",Small residential,3378,356,National Grid
"11366
(40.72816440726166, -73.79226817393703)",Small residential,6521,688,National Grid
"11367
(40.730323085042414, -73.82610630716033)",Small residential,1753,185,National Grid
"11368
(40.749678220373596, -73.85304068857687)",Commercial,4130867,435830,National Grid
"11368
(40.749678220373596, -73.85304068857687)",Industrial,508926,53695,National Grid
"11368
(40.749678220373596, -73.85304068857687)",Institutional,1001098,105621,National Grid
"11368
(40.749678220373596, -73.85304068857687)",Large residential,6347326,669678,National Grid
"11368
(40.749678220373596, -73.85304068857687)",Small residential,11110386,1172208,National Grid
"11369
(40.76341327370369, -73.8723788986672)",Commercial,1994597,210441,National Grid
"11369
(40.76341327370369, -73.8723788986672)",Industrial,8824,931,National Grid
"11369
(40.76341327370369, -73.8723788986672)",Institutional,168544,17782,National Grid
"11369
(40.76341327370369, -73.8723788986672)",Large residential,1688743,178172,National Grid
"11369
(40.76341327370369, -73.8723788986672)",Small residential,5658707,597025,National Grid
"11370
(40.75935377085989, -73.89184400040028)",Commercial,1119225,118085,National Grid
"11370
(40.75935377085989, -73.89184400040028)",Industrial,37449,3951,National Grid
"11370
(40.75935377085989, -73.89184400040028)",Institutional,1231730,129954,National Grid
"11370
(40.75935377085989, -73.89184400040028)",Large residential,1074379,113353,National Grid
"11370
(40.75935377085989, -73.89184400040028)",Small residential,5080675,536040,National Grid
"11371
(40.775567374634704, -73.87086549974299)",Commercial,1381802,145788,National Grid
"11371
(40.775567374634704, -73.87086549974299)",Industrial,1707,180,National Grid
"11371
(40.775567374634704, -73.87086549974299)",Institutional,1065320,112397,National Grid
"11372
(40.75163073936716, -73.88361254528269)",Commercial,3234761,341285,National Grid
"11372
(40.75163073936716, -73.88361254528269)",Industrial,48106,5075,National Grid
"11372
(40.75163073936716, -73.88361254528269)",Institutional,367432,38766,National Grid
"11372
(40.75163073936716, -73.88361254528269)",Large residential,14227014,1501030,National Grid
"11372
(40.75163073936716, -73.88361254528269)",Small residential,3273710,345395,National Grid
"11373
(40.73871040256307, -73.87835115518163)",Commercial,3054489,322266,National Grid
"11373
(40.73871040256307, -73.87835115518163)",Industrial,159820,16862,National Grid
"11373
(40.73871040256307, -73.87835115518163)",Institutional,2030783,214259,National Grid
"11373
(40.73871040256307, -73.87835115518163)",Large residential,9562956,1008945,National Grid
"11373
(40.73871040256307, -73.87835115518163)",Small residential,10736218,1132731,National Grid
"11374
(40.72646491702238, -73.86148084756303)",Commercial,1938527,204525,National Grid
"11374
(40.72646491702238, -73.86148084756303)",Industrial,3834,405,National Grid
"11374
(40.72646491702238, -73.86148084756303)",Institutional,328460,34654,National Grid
"11374
(40.72646491702238, -73.86148084756303)",Large residential,9176417,968163,National Grid
"11374
(40.72646491702238, -73.86148084756303)",Small residential,3149947,332337,National Grid
"11375
(40.720707263029794, -73.84628429608335)",Commercial,2724624,287463,National Grid
"11375
(40.720707263029794, -73.84628429608335)",Industrial,483373,50999,National Grid
"11375
(40.720707263029794, -73.84628429608335)",Institutional,283731,29935,National Grid
"11375
(40.720707263029794, -73.84628429608335)",Large residential,15937171,1681461,National Grid
"11375
(40.720707263029794, -73.84628429608335)",Small residential,7403805,781143,National Grid
"11377
(40.74519376448069, -73.9048471440804)",Commercial,3893626,410799,National Grid
"11377
(40.74519376448069, -73.9048471440804)",Industrial,705930,74480,National Grid
"11377
(40.74519376448069, -73.9048471440804)",Institutional,811937,85664,National Grid
"11377
(40.74519376448069, -73.9048471440804)",Large residential,9466158,998733,National Grid
"11377
(40.74519376448069, -73.9048471440804)",Small residential,7978253,841750,National Grid
"11378
(40.72145310497689, -73.90854350068196)",Commercial,3345377,352956,National Grid
"11378
(40.72145310497689, -73.90854350068196)",Industrial,2809327,296400,National Grid
"11378
(40.72145310497689, -73.90854350068196)",Institutional,3127131,329930,National Grid
"11378
(40.72145310497689, -73.90854350068196)",Large residential,618419,65247,National Grid
"11378
(40.72145310497689, -73.90854350068196)",Small residential,7366479,777205,National Grid
"11379
(40.71679766547993, -73.87933421310339)",Commercial,1248717,131747,National Grid
"11379
(40.71679766547993, -73.87933421310339)",Industrial,168135,17739,National Grid
"11379
(40.71679766547993, -73.87933421310339)",Institutional,337862,35646,National Grid
"11379
(40.71679766547993, -73.87933421310339)",Large residential,659949,69628,National Grid
"11379
(40.71679766547993, -73.87933421310339)",Small residential,6789947,716377,National Grid
"11385
(40.70122489161548, -73.88334858436963)",Commercial,3526058,372019,National Grid
"11385
(40.70122489161548, -73.88334858436963)",Industrial,1048061,110576,National Grid
"11385
(40.70122489161548, -73.88334858436963)",Institutional,1245917,131451,National Grid
"11385
(40.70122489161548, -73.88334858436963)",Large residential,5367560,566308,National Grid
"11385
(40.70122489161548, -73.88334858436963)",Small residential,15255284,1609518,National Grid
"11388
",Commercial,823,87,National Grid
"11400
",Commercial,21866,2307,National Grid
"11400
",Industrial,275,29,National Grid
"11400
",Institutional,93140,9827,National Grid
"11400
",Large residential,280,30,National Grid
"11400
",Small residential,51072,5388,National Grid
"11402
",Commercial,65,7,National Grid
"11403
",Small residential,1127,119,National Grid
"11411
(40.694293339066405, -73.73568329125084)",Commercial,262173,27661,National Grid
"11411
(40.694293339066405, -73.73568329125084)",Industrial,4193,442,National Grid
"11411
(40.694293339066405, -73.73568329125084)",Institutional,316866,33431,National Grid
"11411
(40.694293339066405, -73.73568329125084)",Large residential,45368,4787,National Grid
"11411
(40.694293339066405, -73.73568329125084)",Small residential,5417452,571572,National Grid
"11412
(40.69812711747255, -73.75923519834566)",Commercial,522819,55160,National Grid
"11412
(40.69812711747255, -73.75923519834566)",Industrial,164379,17343,National Grid
"11412
(40.69812711747255, -73.75923519834566)",Institutional,1496825,157923,National Grid
"11412
(40.69812711747255, -73.75923519834566)",Large residential,151333,15966,National Grid
"11412
(40.69812711747255, -73.75923519834566)",Small residential,9127477,963000,National Grid
"11413
(40.66971118122609, -73.75087393328533)",Commercial,639059,67424,National Grid
"11413
(40.66971118122609, -73.75087393328533)",Industrial,387601,40894,National Grid
"11413
(40.66971118122609, -73.75087393328533)",Institutional,394872,41661,National Grid
"11413
(40.66971118122609, -73.75087393328533)",Large residential,112283,11846,National Grid
"11413
(40.66971118122609, -73.75087393328533)",Small residential,10114455,1067132,National Grid
"11414
(40.65817022817356, -73.84496263981396)",Commercial,1151068,121444,National Grid
"11414
(40.65817022817356, -73.84496263981396)",Industrial,4334,457,National Grid
"11414
(40.65817022817356, -73.84496263981396)",Institutional,116362,12277,National Grid
"11414
(40.65817022817356, -73.84496263981396)",Large residential,2790928,294459,National Grid
"11414
(40.65817022817356, -73.84496263981396)",Small residential,6266456,661146,National Grid
"11415
(40.708286075142325, -73.82855612156771)",Commercial,586484,61877,National Grid
"11415
(40.708286075142325, -73.82855612156771)",Institutional,580482,61244,National Grid
"11415
(40.708286075142325, -73.82855612156771)",Large residential,3021274,318761,National Grid
"11415
(40.708286075142325, -73.82855612156771)",Small residential,1700526,179415,National Grid
"11416
(40.68457809700163, -73.8496016684822)",Commercial,736110,77664,National Grid
"11416
(40.68457809700163, -73.8496016684822)",Industrial,141055,14882,National Grid
"11416
(40.68457809700163, -73.8496016684822)",Institutional,277779,29307,National Grid
"11416
(40.68457809700163, -73.8496016684822)",Large residential,138988,14664,National Grid
"11416
(40.68457809700163, -73.8496016684822)",Small residential,5019507,529586,National Grid
"11417
(40.6763637308016, -73.84454275534387)",Commercial,777807,82063,National Grid
"11417
(40.6763637308016, -73.84454275534387)",Industrial,47683,5031,National Grid
"11417
(40.6763637308016, -73.84454275534387)",Institutional,196503,20732,National Grid
"11417
(40.6763637308016, -73.84454275534387)",Large residential,287216,30303,National Grid
"11417
(40.6763637308016, -73.84454275534387)",Small residential,6605848,696954,National Grid
"11418
(40.69637041236467, -73.84031024991805)",Commercial,1462567,154309,National Grid
"11418
(40.69637041236467, -73.84031024991805)",Industrial,1146988,121014,National Grid
"11418
(40.69637041236467, -73.84031024991805)",Institutional,726983,76701,National Grid
"11418
(40.69637041236467, -73.84031024991805)",Large residential,1398053,147502,National Grid
"11418
(40.69637041236467, -73.84031024991805)",Small residential,6229973,657297,National Grid
"11419
(40.68871379040917, -73.82288833053201)",Commercial,1174701,123938,National Grid
"11419
(40.68871379040917, -73.82288833053201)",Industrial,95925,10121,National Grid
"11419
(40.68871379040917, -73.82288833053201)",Institutional,150090,15835,National Grid
"11419
(40.68871379040917, -73.82288833053201)",Large residential,221654,23386,National Grid
"11419
(40.68871379040917, -73.82288833053201)",Small residential,8591091,906408,National Grid
"11420
(40.67334524268887, -73.81770717164864)",Commercial,8380985,884241,National Grid
"11420
(40.67334524268887, -73.81770717164864)",Industrial,8901,939,National Grid
"11420
(40.67334524268887, -73.81770717164864)",Institutional,2004714,211509,National Grid
"11420
(40.67334524268887, -73.81770717164864)",Large residential,108873,11487,National Grid
"11420
(40.67334524268887, -73.81770717164864)",Small residential,9694601,1022835,National Grid
"11421
(40.69176458756573, -73.85702228584978)",Commercial,743600,78454,National Grid
"11421
(40.69176458756573, -73.85702228584978)",Industrial,22617,2386,National Grid
"11421
(40.69176458756573, -73.85702228584978)",Institutional,154578,16309,National Grid
"11421
(40.69176458756573, -73.85702228584978)",Large residential,1299205,137073,National Grid
"11421
(40.69176458756573, -73.85702228584978)",Small residential,7298987,770084,National Grid
"11422
(40.66161349396765, -73.736051726406)",Commercial,519522,54812,National Grid
"11422
(40.66161349396765, -73.736051726406)",Industrial,13360,1410,National Grid
"11422
(40.66161349396765, -73.736051726406)",Institutional,240378,25361,National Grid
"11422
(40.66161349396765, -73.736051726406)",Large residential,149873,15812,National Grid
"11422
(40.66161349396765, -73.736051726406)",Small residential,7114276,750596,National Grid
"11423
(40.71722229567246, -73.7671414999802)",Commercial,660047,69639,National Grid
"11423
(40.71722229567246, -73.7671414999802)",Industrial,194292,20499,National Grid
"11423
(40.71722229567246, -73.7671414999802)",Institutional,508795,53681,National Grid
"11423
(40.71722229567246, -73.7671414999802)",Large residential,1922380,202822,National Grid
"11423
(40.71722229567246, -73.7671414999802)",Small residential,5458466,575899,National Grid
"11426
(40.73704138495202, -73.72415699894628)",Commercial,1380,146,National Grid
"11426
(40.73704138495202, -73.72415699894628)",Small residential,2754,291,National Grid
"11427
(40.72931057432362, -73.75067602128132)",Commercial,141057,14882,National Grid
"11427
(40.72931057432362, -73.75067602128132)",Industrial,14014,1479,National Grid
"11427
(40.72931057432362, -73.75067602128132)",Institutional,219049,23111,National Grid
"11427
(40.72931057432362, -73.75067602128132)",Large residential,2347279,247651,National Grid
"11427
(40.72931057432362, -73.75067602128132)",Small residential,2286768,241267,National Grid
"11428
(40.721396964798146, -73.74193729726841)",Commercial,596996,62986,National Grid
"11428
(40.721396964798146, -73.74193729726841)",Industrial,1772,187,National Grid
"11428
(40.721396964798146, -73.74193729726841)",Institutional,196563,20738,National Grid
"11428
(40.721396964798146, -73.74193729726841)",Large residential,172865,18238,National Grid
"11428
(40.721396964798146, -73.74193729726841)",Small residential,3960945,417902,National Grid
"11429
(40.70991312049415, -73.73864031609764)",Commercial,717488,75699,National Grid
"11429
(40.70991312049415, -73.73864031609764)",Industrial,150862,15917,National Grid
"11429
(40.70991312049415, -73.73864031609764)",Institutional,1416594,149459,National Grid
"11429
(40.70991312049415, -73.73864031609764)",Large residential,47307,4991,National Grid
"11429
(40.70991312049415, -73.73864031609764)",Small residential,5893890,621838,National Grid
"11430
(40.64722932617252, -73.78637495254196)",Commercial,7251275,765050,National Grid
"11430
(40.64722932617252, -73.78637495254196)",Industrial,563052,59405,National Grid
"11430
(40.64722932617252, -73.78637495254196)",Institutional,2611959,275576,National Grid
"11430
(40.64722932617252, -73.78637495254196)",Small residential,9195,970,National Grid
"11432
(40.71311535449007, -73.79282099978928)",Commercial,2979507,314355,National Grid
"11432
(40.71311535449007, -73.79282099978928)",Industrial,106054,11189,National Grid
"11432
(40.71311535449007, -73.79282099978928)",Institutional,1307797,137980,National Grid
"11432
(40.71311535449007, -73.79282099978928)",Large residential,6817221,719255,National Grid
"11432
(40.71311535449007, -73.79282099978928)",Small residential,5707516,602175,National Grid
"11433
(40.698104881734935, -73.7875740339145)",Commercial,1531565,161589,National Grid
"11433
(40.698104881734935, -73.7875740339145)",Industrial,2449515,258438,National Grid
"11433
(40.698104881734935, -73.7875740339145)",Institutional,1519465,160312,National Grid
"11433
(40.698104881734935, -73.7875740339145)",Large residential,5080122,535981,National Grid
"11433
(40.698104881734935, -73.7875740339145)",Small residential,5792993,611193,National Grid
"11434
(40.6769452621142, -73.77530690169215)",Commercial,2955224,311793,National Grid
"11434
(40.6769452621142, -73.77530690169215)",Industrial,284067,29971,National Grid
"11434
(40.6769452621142, -73.77530690169215)",Institutional,2215716,233770,National Grid
"11434
(40.6769452621142, -73.77530690169215)",Large residential,38846378,4098510,National Grid
"11434
(40.6769452621142, -73.77530690169215)",Small residential,10076855,1063165,National Grid
"11435
(40.70119264912154, -73.80979665579099)",Commercial,2935798,309743,National Grid
"11435
(40.70119264912154, -73.80979665579099)",Industrial,85671,9039,National Grid
"11435
(40.70119264912154, -73.80979665579099)",Institutional,865115,91274,National Grid
"11435
(40.70119264912154, -73.80979665579099)",Large residential,4902151,517204,National Grid
"11435
(40.70119264912154, -73.80979665579099)",Small residential,6630439,699548,National Grid
"11436
(40.67571820912809, -73.79646501494847)",Commercial,275889,29108,National Grid
"11436
(40.67571820912809, -73.79646501494847)",Institutional,220564,23271,National Grid
"11436
(40.67571820912809, -73.79646501494847)",Large residential,225350,23776,National Grid
"11436
(40.67571820912809, -73.79646501494847)",Small residential,4012282,423318,National Grid
"11438
",Institutional,1770,187,National Grid
"11441
",Small residential,1126,119,National Grid
"11446
",Small residential,604,64,National Grid
"11450
",Commercial,455,48,National Grid
"11468
",Institutional,49184,5189,National Grid
"11468
",Small residential,1601,169,National Grid
"11469
",Commercial,151,16,National Grid
"11469
",Institutional,41819,4412,National Grid
"11472
",Institutional,7869,830,National Grid
"11473
",Institutional,40595,4283,National Grid
"11473
",Small residential,7335,774,National Grid
"11474
",Large residential,2223970,234641,National Grid
"11475
",Institutional,8503,897,National Grid
"11477
",Institutional,22660,2391,National Grid
"11477
",Large residential,493904,52110,National Grid
"11478
",Institutional,19018,2007,National Grid
"11479
",Institutional,21169,2233,National Grid
"11485
",Institutional,10790,1138,National Grid
"11691
(40.600614338480966, -73.76256777468302)",Commercial,7506142,791940,National Grid
"11691
(40.600614338480966, -73.76256777468302)",Large residential,7229588,762762,National Grid
"11691
(40.600614338480966, -73.76256777468302)",Small residential,7887704,832197,National Grid
"11692
(40.593133885620375, -73.79540208463845)",Commercial,777179,81997,National Grid
"11692
(40.593133885620375, -73.79540208463845)",Large residential,983881,103805,National Grid
"11692
(40.593133885620375, -73.79540208463845)",Small residential,2194609,231544,National Grid
"11693
(40.6183036047276, -73.82495531523557)",Commercial,948937,100118,National Grid
"11693
(40.6183036047276, -73.82495531523557)",Large residential,2505401,264334,National Grid
"11693
(40.6183036047276, -73.82495531523557)",Small residential,948328,100054,National Grid
"11694
(40.57657830564432, -73.85077700055808)",Commercial,2058660,217200,National Grid
"11694
(40.57657830564432, -73.85077700055808)",Large residential,1573127,165974,National Grid
"11694
(40.57657830564432, -73.85077700055808)",Small residential,4716368,497603,National Grid
"11695
(40.59760800020911, -73.820967000027)",Commercial,29091,3069,National Grid
"11695
(40.59760800020911, -73.820967000027)",Small residential,6691,706,National Grid
"11696
",Small residential,5218,551,National Grid
"11697
(40.55962437096798, -73.91006299970763)",Commercial,95842,10112,National Grid
