Neighborhood,Total Sq Ft,Address 1,Address 2,Zip,Location
Long Island City,60000,45-20 33rd Street,,11101,"45-20 33rd Street
NY 11101
(40.74354041780961, -73.93198417600975)"
Crown Heights/Bedsty,2210,1344-1346 Bergen Street,,11213,"1344-1346 Bergen Street
NY 11213
(40.67080999988178, -73.93597000011528)"
Crown Heights/Bedsty,3012,869 Eastern Pkwy,,11213,"869 Eastern Pkwy
NY 11213
(40.6694760891948, -73.93959272479987)"
Crown Heights/Bedsty,2016,732 Franklin Ave,,11238,"732 Franklin Ave
NY 11238
(40.67353203154693, -73.95694963996539)"
Crown Heights/Bedsty,2016,734 Franklin Ave,,11238,"734 Franklin Ave
NY 11238
(40.6734600857846, -73.95698561284655)"
Prospect Heights,2048,451 Prospect Pl,,11238,"451 Prospect Pl
NY 11238
(40.67610409255076, -73.96137430434953)"
East New York,2438,171 Milford Street,,11208,"171 Milford Street
NY 11208
(40.675366648486715, -73.87725172172878)"
Crown Heights/Bedsty,1175,1600 Pacific Ave,,11213,"1600 Pacific Ave
NY 11213
(40.67683205268053, -73.93608653409203)"
Crown Heights/Bedsty,2145,319 Albany Avenue,,11213,"319 Albany Avenue
NY 11213
(40.66970991292243, -73.93934990785198)"
Crown Heights/Bedsty,2875,1445 Pacific Street,,11216,"1445 Pacific Street
NY 11216
(40.6773361637309, -73.94372061291438)"
East New York,1374,581 Ashford St,,11207,"581 Ashford St
NY 11207
(40.66775567556737, -73.8834850422672)"
East New York,1200,950 Dumont Ave,,11207,"950 Dumont Ave
NY 11207
(40.66789328242322, -73.88337610474832)"
East New York,1200,954 Dumont Ave,,11207,"954 Dumont Ave
NY 11207
(40.667911268863804, -73.88328617254541)"
East New York,1300,956 Dumont Ave,,11207,"956 Dumont Ave
NY 11207
(40.667920262084124, -73.8831962403425)"
East New York,1300,960 Dumont Ave,,11207,"960 Dumont Ave
NY 11207
(40.667938248524706, -73.88310630813953)"
East New York,2126,676 Cleveland Street,,11208,"676 Cleveland Street
NY 11208
(40.66781472130171, -73.88277865213513)"
Bushwick,1500,811 Knickerbocker Ave,,11207,"811 Knickerbocker Ave
NY 11207
(40.69243578060281, -73.90712719954217)"
Bushwick,2000,309 Eldert,,11237,"309 Eldert
NY 11237
(40.692995456743006, -73.907000501427)"
East New York,2333,436 Logan,,11208,"436 Logan
NY 11208
(40.67552484160415, -73.87644572158008)"
East New York,2340,781 Belmont,,11208,"781 Belmont
NY 11208
(40.67284665179027, -73.88082779307607)"
Manhattan,17096,102 Bradhurst Ave,The Sutton,10039,"102 Bradhurst Ave
NY 10039
(40.82460285240711, -73.94183304764995)"
Long Island City,3100,33-38 10th Street,Noguchi Workshop,11106,"33-38 10th Street
NY 11106
(40.766378037851894, -73.93774012141955)"
Kingsbridge Heights,1008,103 East 196th Street,,10468,"103 East 196th Street
NY 10468
(40.86841254284488, -73.8940720389584)"
Harlem,16600,4-20 E. 117th Street,Milbank Frawley,10035,"4-20 E. 117th Street
NY 10035
(40.79625351566523, -73.93398095533706)"
Mott Haven,4100,413-415 East 146th Street,Betances,10455,"413-415 East 146th Street
NY 10455
(40.81513999981132, -73.90785000017723)"
Mott Haven,4100,409-411 East 146th Street,Betances,10455,"409-411 East 146th Street
NY 10455
(40.81513999981132, -73.90785000017723)"
Mott Haven,6000,455 East 146th Street,Betances,10455,"455 East 146th Street
NY 10455
(40.81331365456106, -73.91703772830505)"
Mott Haven,12126,480-490 East 143th Street,Betances,10454,"480-490 East 143th Street
NY 10454
(40.80758000011707, -73.91848000025163)"
Mott Haven,4500,521-525 East 145th Street,Betances,10454,"521-525 East 145th Street
NY 10454
(40.80758000011707, -73.91848000025163)"
Fort Greene,11000,177 Myrtle Avenue,Ingersol Community Center,11201,"177 Myrtle Avenue
NY 11201
(40.69365514626378, -73.98226779339535)"
Brownsville,7375,1142 Lenox Rd,Lenox Road-Rockaway Parkway,11212,"1142 Lenox Rd
NY 11212
(40.65940910323689, -73.91826673062647)"
Brownsville,5888,1145 Lenox Rd,Lenox Road-Rockaway Parkway,11212,"1145 Lenox Rd
NY 11212
(40.65965549263484, -73.91806295541846)"
Bronx,3500,411 east 136th Street,Betances 1,10454,"411 east 136th Street
NY 10454
(40.80769095267218, -73.92338321472675)"
Bronx,10700,416 east 137th street,Betances 2,10454,"416 east 137th street
NY 10454
(40.80807960035054, -73.92260453166642)"
Bronx,3375,520 144th Street,Betances 3,10454,"520 144th Street
NY 10454
(40.81151883415267, -73.91659692426408)"
Bronx,3375,530 144th Street,Betances 3,10454,"530 144th Street
NY 10454
(40.81144870745212, -73.91638462288296)"
Bronx,3375,540 144th Street,Betances 3,10454,"540 144th Street
NY 10454
(40.81137858075157, -73.91617232150185)"
Bronx,3000,550 144th Street,Betances 3,10454,"550 144th Street
NY 10454
(40.8113084540981, -73.91596002026327)"
Bronx,3000,560 144th Street,Betances 3,10454,"560 144th Street
NY 10454
(40.811238327421094, -73.91574771895341)"
Bronx,1700,445 146th Street,Betances 3,10455,"445 146th Street
NY 10455
(40.81366078515765, -73.91789977879006)"
Bronx,8650,510/512 E 146th Street,Betances 3,10455,"510/512 E 146th Street
NY 10455
(40.81513999981132, -73.90785000017723)"
Bronx,8300,511/513 E 146th Street,Betances 4,10455,"511/513 E 146th Street
NY 10455
(40.81513999981132, -73.90785000017723)"
Bronx,3800,521 E 146th Street,Betances 3,10455,"521 E 146th Street
NY 10455
(40.81269697812961, -73.9151146750621)"
Bronx,3800,525 E 146th Street,Betances 3,10455,"525 E 146th Street
NY 10455
(40.8126796866144, -73.91506241626058)"
Bronx,8300,530/528 E 146th Street,Betances 3,10455,"530/528 E 146th Street
NY 10455
(40.81513999981132, -73.90785000017723)"
Bronx,7400,537/545 E 146th Street,Betances 4,10455,"537/545 E 146th Street
NY 10455
(40.81513999981132, -73.90785000017723)"
Bronx,10000,505/509/511/517 144th Street,Betances 2,10454,"505/509/511/517 144th Street
NY 10454
(40.81158869951133, -73.91644625864961)"
Long Island City,7000,34-16 Astoria Blvd S,114th Precinct,11103,"34-16 Astoria Blvd S
NY 11103
(40.76955264461532, -73.91538297577114)"
Harlem,18032,50 West 139th st,,10037,"50 West 139th st
NY 10037
(40.81593662841418, -73.93736140065377)"
Harlem,15352,560 Lenox Avenue,Harlen Housing,10037,"560 Lenox Avenue
NY 10037
(40.816173498614205, -73.93920601632726)"
Bedford Stuyvesant,4896,218 Gates Avenue,,11216,"218 Gates Avenue
NY 11216
(40.685482351308295, -73.95647796804599)"
Bedford Stuyvesant,6645,210 Kosciusko Avenue,,11216,"210 Kosciusko Avenue
NY 11216
(40.691134691496735, -73.94637886298253)"
Bedford Stuyvesant,6645,686 Lafayette Avenue,,11216,"686 Lafayette Avenue
NY 11216
(40.690411239054455, -73.94625415043247)"
East New York,3226,1900 Sterling Place,,11233,"1900 Sterling Place
NY 11233
(40.67059124851113, -73.91536498933056)"
Hollis,7000,204-01 Hollis Avenue,South Hollis Library,11412,"204-01 Hollis Avenue
NY 11412
(40.70680694663105, -73.75373883422475)"
East Corona,8600,100-01 Northern Blvd,Langston Hughes Library,11369,"100-01 Northern Blvd
NY 11369
(40.761930000269444, -73.87413000009929)"
East Flushing,7400,196-36 Northern Blvd,East Flushing Library,11358,"196-36 Northern Blvd
NY 11358
(40.75777425512925, -73.7841995833971)"
Bayside,8000,214-20 Northern Blvd,Bayside Library,11361,"214-20 Northern Blvd
NY 11361
(40.760352580255585, -73.76846073584437)"
Astoria,2600,40-20 Broadway,Broadway Library,11103,"40-20 Broadway
NY 11103
(40.758697827721676, -73.91844067067075)"
