QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Address,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Total Units,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Year Built,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
4-00170-0001,"47 45 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,93,1964,75024,1035331,13.8,443392,5.91,591939,3904000,52.04,4-00168-0036,"45 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,46,1928,41574,575732,13.85,314793,7.57,260939,1720000,41.37,0.16,4-00196-0012,"47 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,58,1937,64758,893554,13.8,382540,5.91,511014,3370000,52.04,0.2,4-00198-0005,47 40 STREET,SUNNYSIDE,D1-ELEVATOR,60,1939,"58,800","750,317",12.76,"265,298",4.51,"485,019","2,970,000",50.51,0.25
4-00175-0001,"42 48 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,54,1942,53400,681384,12.76,240834,4.51,440550,2497000,46.76,4-00198-0005,"47 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1939,58800,750317,12.76,265298,4.51,485019,2970000,50.51,0.1,4-00198-0001,"47 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D7-ELEVATOR,63,1938,70540,880005,12.48,384903,5.46,495102,2728000,38.67,0.1,4-00199-0052,47 40 STREET,SUNNYSIDE,D1-ELEVATOR,55,1939,"50,400","728,280",14.45,"393,120",7.80,"335,160","2,319,000",46.01,0.15
4-00177-0001,"43 50 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,493,1931,409538,5758104,14.06,2879052,7.03,2879052,18930000,46.22,4-00207-0001,"39 GREENPOINT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,140,1958,114486,1735835,15.16,787596,6.88,948239,6325000,55.25,0.25,4-00168-0001,"43 47 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D7-ELEVATOR,110,1928,89781,1463070,16.3,786375,8.76,676695,4604000,51.28,0.26,4-00196-0012,47 41 STREET,SUNNYSIDE,D1-ELEVATOR,58,1937,"64,758","893,554",13.80,"382,540",5.91,"511,014","3,370,000",52.04,0.17
4-00178-0025,"48 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,262,1937,235000,3304100,14.06,1652050,7.03,1652050,10862000,46.22,4-00207-0001,"39 GREENPOINT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,140,1958,114486,1735835,15.16,787596,6.88,948239,6325000,55.25,0.2,4-02288-0007,"48 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,66,1941,63000,929681,14.76,308829,4.9,620852,3960000,62.86,0.1,4-00196-0012,47 41 STREET,SUNNYSIDE,D1-ELEVATOR,58,1937,"64,758","893,554",13.80,"382,540",5.91,"511,014","3,370,000",52.04,0.15
4-00184-0001,"41 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,96,1936,74664,1004977,13.46,444251,5.95,560726,3487000,46.7,4-00184-0023,"41 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1937,64505,775763,12.03,320355,4.97,455408,2899000,44.94,0,4-00184-0009,"41 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,548986,13.46,242681,5.95,306305,1826000,44.75,0,4-00158-0038,41 44 STREET,SUNNYSIDE,D1-ELEVATOR,94,1930,"71,490","1,040,180",14.55,"551,188",7.71,"488,992","3,379,000",47.27,0.10
4-00184-0037,"41 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,94,1931,74664,1004977,13.46,444251,5.95,560726,3487000,46.7,4-00184-0023,"41 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1937,64505,775763,12.03,320355,4.97,455408,2899000,44.94,0,4-00184-0009,"41 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,548986,13.46,242681,5.95,306305,1826000,44.75,0,4-00158-0038,41 44 STREET,SUNNYSIDE,D1-ELEVATOR,94,1930,"71,490","1,040,180",14.55,"551,188",7.71,"488,992","3,379,000",47.27,0.10
4-00185-0027,"41 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,83,1941,79000,1063340,13.46,470050,5.95,593290,3696000,46.78,4-00184-0023,"41 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1937,64505,775763,12.03,320355,4.97,455408,2899000,44.94,0.05,4-00184-0029,"41 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1937,61770,910053,14.73,441249,7.14,468804,3047000,49.33,0.05,4-00184-0009,41 41 STREET,SUNNYSIDE,D1-ELEVATOR,50,1937,"40,800","548,986",13.46,"242,681",5.95,"306,305","1,826,000",44.75,0.05
4-00189-0025,"43 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,52,1937,53500,684265,12.79,314045,5.87,370220,2473000,46.22,4-00163-0031,"43 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1942,61320,784306,12.79,359869,5.87,424437,2354000,38.39,0.1,4-00184-0029,"41 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1937,61770,910053,14.73,441249,7.14,468804,3047000,49.33,0.12,4-00184-0023,41 42 STREET,SUNNYSIDE,D1-ELEVATOR,60,1937,"64,505","775,763",12.03,"320,355",4.97,"455,408","2,899,000",44.94,0.12
4-00194-0023,"45 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C6-WALK-UP,124,1922,121714,1711299,14.06,855649,7.03,855650,5626000,46.22,4-00194-0022,"45 39 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C1-WALK-UP,26,1917,26600,407752,15.33,192140,7.22,215612,1216000,45.71,0,4-00195-0001,"39 47 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C7-WALK-UP,44,1927,30000,484744,16.16,219245,7.31,265499,1210000,40.33,0.05,4-00195-0007,45 39 STREET,SUNNYSIDE,C1-WALK-UP,25,1931,"21,200","280,672",13.24,"148,639",7.01,"132,033","877,000",41.37,0.05
4-00196-0027,"41 47 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,48,1937,42232,318222,7.54,150178,3.56,168044,995000,23.56,4-00196-0012,"47 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,58,1937,64758,893554,13.8,382540,5.91,511014,3370000,52.04,0,4-00198-0005,"47 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1939,58800,750317,12.76,265298,4.51,485019,2970000,50.51,0.05,4-00193-0055,45 41 STREET,SUNNYSIDE,D9-ELEVATOR,50,1936,"44,600","673,055",15.09,"269,850",6.05,"403,205","2,773,000",62.17,0.13
4-00198-0019,"47 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,54,1939,48000,674880,14.06,337440,7.03,337440,2219000,46.23,4-00198-0005,"47 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1939,58800,750317,12.76,265298,4.51,485019,2970000,50.51,0,4-00199-0052,"47 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,55,1939,50400,728280,14.45,393120,7.8,335160,2319000,46.01,0.05,4-00198-0001,47 41 STREET,SUNNYSIDE,D7-ELEVATOR,63,1938,"70,540","880,005",12.48,"384,903",5.46,"495,102","2,728,000",38.67,0.00
4-00202-0023,"48 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,60,1955,49660,706165,14.22,423103,8.52,283062,1962000,39.51,4-00205-0024,"48 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D9-ELEVATOR,77,1958,61484,930754,15.14,500449,8.14,430305,2958000,48.11,0.05,4-00199-0052,"47 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,55,1939,50400,728280,14.45,393120,7.8,335160,2319000,46.01,0.14,4-00232-0018,48 38 STREET,LONG ISLAND CITY,D1-ELEVATOR,82,1960,"68,281","970,956",14.22,"524,398",7.68,"446,558","3,096,000",45.34,0.20
4-00206-0101,"39 GREENPOINT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C6-WALK-UP,17,1940,14000,196840,14.06,98420,7.03,98420,647000,46.21,4-00161-0017,"43 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C1-WALK-UP,23,1931,14732,245330,16.65,102787,6.98,142543,880000,59.73,0.48,4-00192-0040,"45 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C1-WALK-UP,20,1929,14340,212604,14.83,120135,8.38,92469,638000,44.49,0.28,, , , , , , , , , , , , , , 
4-00209-0025,"50 39 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,51,1961,29725,422690,14.22,253257,8.52,169433,1174000,39.5,4-00205-0024,"48 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D9-ELEVATOR,77,1958,61484,930754,15.14,500449,8.14,430305,2958000,48.11,0.11,4-00232-0018,"48 38 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D1-ELEVATOR,82,1960,68281,970956,14.22,524398,7.68,446558,3096000,45.34,0.18,4-00198-0001,47 41 STREET,SUNNYSIDE,D7-ELEVATOR,63,1938,"70,540","880,005",12.48,"384,903",5.46,"495,102","2,728,000",38.67,0.26
4-00209-0042,"50 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,51,1961,29754,450476,15.14,242198,8.14,208278,1386000,46.58,4-00205-0024,"48 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D9-ELEVATOR,77,1958,61484,930754,15.14,500449,8.14,430305,2958000,48.11,0.11,4-00232-0018,"48 38 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D1-ELEVATOR,82,1960,68281,970956,14.22,524398,7.68,446558,3096000,45.34,0.18,4-00207-0001,39 GREENPOINT AVENUE,SUNNYSIDE,D1-ELEVATOR,140,1958,"114,486","1,735,835",15.16,"787,596",6.88,"948,239","6,325,000",55.25,0.10
4-00210-0022,"50 39 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,51,1960,38864,546428,14.06,273214,7.03,273214,1796000,46.21,4-00205-0024,"48 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D9-ELEVATOR,77,1958,61484,930754,15.14,500449,8.14,430305,2958000,48.11,0.12,4-00232-0018,"48 38 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D1-ELEVATOR,82,1960,68281,970956,14.22,524398,7.68,446558,3096000,45.34,0.15,4-00236-0066,48 37 STREET,LONG ISLAND CITY,D1-ELEVATOR,120,1961,"97,528","1,482,558",15.20,"760,870",7.80,"721,688","4,959,000",50.85,0.17
4-00341-0001,"35 29 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D4-ELEVATOR,61,1929,47000,703590,14.97,393860,8.38,309730,2133000,45.38,4-00341-0021,"35 29 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D1-ELEVATOR,48,1940,35568,581826,16.36,237510,6.68,344316,2341000,65.82,0,4-00342-0024,"36 30 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D7-ELEVATOR,66,1929,61000,879120,14.41,343478,5.63,535642,3708000,60.79,0.13,4-00339-0165,35 28 STREET,LONG ISLAND CITY,D1-ELEVATOR,26,1971,"21,668","243,566",11.24,"87,348",4.03,"156,218","1,006,000",46.43,0.11
4-00528-0050,"33 14 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,364,1958,444115,6244257,14.06,3122128,7.03,3122129,20528000,46.22,4-00583-0011,"34 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,120,1964,103850,1472357,14.18,646861,6.23,825496,4994000,48.09,0.32,4-00581-0033,"33 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,73,1959,76956,1113553,14.47,601026,7.81,512527,3546000,46.08,0.29,4-00579-0082,31 29 STREET,ASTORIA,D1-ELEVATOR,91,1940,"85,422","1,317,623",15.42,"500,633",5.86,"816,990","4,730,000",55.37,0.37
4-00534-0015,"14 31 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,48,1914,28704,409032,14.25,177391,6.18,231641,1342000,46.75,4-00571-0001,"30 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,79,1963,82637,1177942,14.25,510299,6.18,667643,4627000,55.99,0.2,4-00568-0001,"23 31 DRIVE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,53,1931,46140,634568,13.75,294873,6.39,339695,2242000,48.59,0.25,4-00577-0023,25 30 ROAD,ASTORIA,D1-ELEVATOR,120,1935,"114,000","1,663,851",14.60,"638,606",5.60,"1,025,245","7,082,000",62.12,0.31
4-00557-0003,"33 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,727,1950,563800,8056702,14.29,3766184,6.68,4290518,20350000,36.09,4-00577-0023,"25 30 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,120,1935,114000,1663851,14.6,638606,5.6,1025245,7082000,62.12,0.47,4-00583-0011,"34 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,120,1964,103850,1472357,14.18,646861,6.23,825496,4994000,48.09,0.17,, , , , , , , , , , , , , , 
4-00569-0056,"31 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C6-WALK-UP,59,1926,33138,462938,13.97,237599,7.17,225339,1483000,44.75,4-00569-0001,"31 31 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C1-WALK-UP,24,1927,15461,250244,16.19,130444,8.44,119800,816000,52.78,0,4-00569-0038,"23 31 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C1-WALK-UP,12,1926,9500,132759,13.97,68095,7.17,64664,426000,44.84,0,4-00579-0074,31 29 STREET,ASTORIA,C1-WALK-UP,21,1922,"18,800","215,216",11.45,"85,931",4.57,"129,285","665,000",35.37,0.12
4-00579-0018,"31 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,116,1960,92250,1305338,14.15,583943,6.33,721395,4301000,46.62,4-00588-0014,"31 29 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,48,1928,39549,565693,14.3,279066,7.06,286627,1986000,50.22,0.07,4-00568-0001,"23 31 DRIVE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,53,1931,46140,634568,13.75,294873,6.39,339695,2242000,48.59,0.1,, , , , , , , , , , , , , , 
4-00579-0042,"31 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,26,1971,16800,240240,14.3,118608,7.06,121632,816000,48.57,4-00588-0009,"31 29 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,48,1928,39549,598740,15.14,283856,7.18,314884,1793000,45.34,0.07,4-00588-0014,"31 29 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,48,1928,39549,565693,14.3,279066,7.06,286627,1986000,50.22,0.07,4-00581-0033,33 CRESCENT STREET,ASTORIA,D1-ELEVATOR,73,1959,"76,956","1,113,553",14.47,"601,026",7.81,"512,527","3,546,000",46.08,0.21
4-00579-0055,"25 31 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,121,1939,100000,1410000,14.1,574000,5.74,836000,4675000,46.75,4-00579-0036,"31 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,122,1961,100400,1415640,14.1,765048,7.62,650592,4514000,44.96,0,4-00568-0001,"23 31 DRIVE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,53,1931,46140,634568,13.75,294873,6.39,339695,2242000,48.59,0.1,4-00581-0033,33 CRESCENT STREET,ASTORIA,D1-ELEVATOR,73,1959,"76,956","1,113,553",14.47,"601,026",7.81,"512,527","3,546,000",46.08,0.21
4-00709-0028,"44 NEWTOWN ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,110,1930,80382,648800,8.07,406973,5.06,241827,1426000,17.74,4-00677-0030,"32 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,60,1931,45920,619002,13.48,321899,7.01,297103,1968000,42.86,0.22,4-00704-0027,"34 45 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,48,1932,46000,540489,11.75,238989,5.2,301500,1507000,32.76,0.3,4-01131-0001,53 32 AVENUE,WOODSIDE,D3-ELEVATOR,113,1941,"108,384","1,546,453",14.27,"659,245",6.08,"887,208","5,115,000",47.19,0.40
4-00890-0001,"19 24 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,193,1920,217710,3164953,14.54,1616535,7.43,1548418,10701000,49.15,4-00903-0007,"26 9 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,108,1972,131250,2237176,17.05,1053495,8.03,1183681,8557000,65.2,0.48,4-00568-0012,"31 23 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D9-ELEVATOR,241,1979,202800,3372323,16.63,1379351,6.8,1992972,14423000,71.12,0.92,, , , , , , , , , , , , , , 
4-01111-0001,"55 31 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D4-ELEVATOR,970,1935,743160,10887294,14.65,6859367,9.23,4027927,27610000,37.15,4-00117-0001,"50 39 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D1-ELEVATOR,472,1931,378186,5538796,14.65,3488774,9.23,2050022,14156000,37.43,0.71,4-01131-0001,"53 32 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D3-ELEVATOR,113,1941,108384,1546453,14.27,659245,6.08,887208,5115000,47.19,0.18,4-01138-0030,31 68 STREET,JACKSON HEIGHTS,D1-ELEVATOR,74,1964,"65,810","1,001,959",15.23,"360,948",5.48,"641,011","3,190,000",48.47,0.36
4-01132-0036,"31 54 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D4-ELEVATOR,59,1941,58280,855550,14.68,369495,6.34,486055,2068000,35.48,4-01165-0027,"32 70 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,72,1964,65810,970225,14.74,414197,6.29,556028,3146000,47.8,0.51,4-01165-0017,"32 70 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,74,1964,65810,962423,14.62,420789,6.39,541634,3168000,48.14,0.51,, , , , , , , , , , , , , , 
4-01132-0044,"31 54 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D4-ELEVATOR,59,1941,58280,855550,14.68,369495,6.34,486055,2068000,35.48,4-01165-0027,"32 70 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,72,1964,65810,970225,14.74,414197,6.29,556028,3146000,47.8,0.51,4-01165-0017,"32 70 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,74,1964,65810,962423,14.62,420789,6.39,541634,3168000,48.14,0.51,, , , , , , , , , , , , , , 
4-01177-0001,"32 81 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C6-WALK-UP,46,1927,39600,668844,16.89,300980,7.6,367864,2660000,67.17,4-01291-0020,"37 81 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C1-WALK-UP,32,1927,27200,441087,16.22,208333,7.66,232754,1585000,58.27,0.56,4-01401-0031,"89 32 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C1-WALK-UP,39,1931,26692,450828,16.89,230085,8.62,220743,1551000,58.11,0.41,4-01444-0001,83 34 AVENUE,JACKSON HEIGHTS,C1-WALK-UP,40,1928,"27,192","478,875",17.61,"221,181",8.13,"257,694","1,859,000",68.37,0.29
4-01188-0055,"60 BROADWAY
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D4-ELEVATOR,130,1962,131412,1937013,14.74,783216,5.96,1153797,7700000,58.59,4-01165-0017,"32 70 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,74,1964,65810,962423,14.62,420789,6.39,541634,3168000,48.14,0.35,4-01165-0027,"32 70 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,72,1964,65810,970225,14.74,414197,6.29,556028,3146000,47.8,0.35,4-01165-0058,32 69 STREET,JACKSON HEIGHTS,D1-ELEVATOR,74,1965,"65,815","983,741",14.95,"414,089",6.29,"569,652","3,168,000",48.13,0.35
4-01199-0020,"34 60 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D4-ELEVATOR,83,1962,81128,972725,11.99,313154,3.86,659571,4201000,51.78,4-01165-0045,"69 NORTHERN BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D7-ELEVATOR,84,1962,79338,1423324,17.94,711662,8.97,711662,5082000,64.06,0.43,4-01230-0045,"39 60 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D1-ELEVATOR,105,1931,86988,1022572,11.76,436114,5.01,586458,3388000,38.95,0.32,4-01336-0001,61 43 AVENUE,WOODSIDE,D1-ELEVATOR,88,1962,"85,568","1,026,159",11.99,"415,530",4.86,"610,629","2,541,000",29.70,0.46
4-01219-0006,"37 64 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,C6-WALK-UP,49,1917,37525,526476,14.03,271306,7.23,255170,1463000,38.99,4-01218-0006,"37 63 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,C7-WALK-UP,48,1928,44000,613604,13.95,148208,3.37,465396,3064000,69.64,0.05,4-01216-0083,"37 62 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,C1-WALK-UP,39,1930,31000,434896,14.03,224142,7.23,210754,1386000,44.71,0.15,4-01299-0010,40 67 STREET,WOODSIDE,C1-WALK-UP,40,1925,"28,250","498,330",17.64,"249,165",8.82,"249,165","1,797,000",63.61,0.16
