Date,H.S. of E.F (100 Trinity Place),P.S. 234 (282 Grennwich St.),Stuyvesant H.S. (345 Chambers St.),I.S./P.S. 89 (201 Warren St.)
3/7/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/6/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/5/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/4/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/3/02,14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/2/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/1/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/28/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/27/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/26/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/25/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/24/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/23/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/22/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/21/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/20/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/19/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/18/02,14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/17/02,< 14.3 s/sqmm,< 14.3 s/sqmm,14.3 s/sqmm,< 14.3 s/sqmm
2/16/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/15/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/14/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/13/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/12/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/11/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/10/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/9/02,14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/8/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/7/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/6/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/5/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/4/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/3/02,< 14.3 s/sqmm,28.6 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/2/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
2/1/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/31/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/30/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/29/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/28/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/27/02,14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/26/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/25/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/24/02,< 14.3 s/sqmm,  14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/23/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/22/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/21/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/20/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/19/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/18/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/17/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/16/02,< 14.3 s/sqmm,  14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/15/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/14/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/13/02,< 14.3 s/sqmm,< 14.3 s/sqmm,  14.3 s/sqmm,  28.6 s/sqmm
1/12/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/11/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/10/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
1/9/02,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
1/8/02,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
1/7/02,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
1/6/02,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
1/5/02,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
1/4/02,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
1/3/02,  26.67 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,  26.67 s/sqmm
1/2/02,  13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
1/1/02,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/31/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/30/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/29/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
12/28/01,< 16.00 s/sqmm,< 16.00 s/sqmm,< 16.00 s/sqmm,< 16.00 s/sqmm
12/27/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
