BN,SCHOOL NAME,PROGRESS REPORT TYPE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
K036,P.S. 36,D75,A,C,None,None,None
K053,P.S. K053,D75,A,B,None,None,None
K140,P.S. K140,D75,F,D,None,None,None
K141,P.S. K141,D75,C,B,None,None,None
K231,P.S. K231,D75,B,C,None,None,None
K368,P.S. 368,D75,B,D,None,None,None
K369,P.S. K369 - Coy L. Cox School,D75,B,B,None,None,None
K372,P.S. 372 -The Children's School,D75,A,A,None,None,None
K771,P.S. K771,D75,B,A,None,None,None
M094,P.S. M094,D75,D,C,None,None,None
M138,P.S. 138,D75,None,A,None,None,None
M169,P.S. M169 - Robert F. Kennedy,D75,B,D,None,None,None
M811,P.S. M811 - Mickey Mantle School,D75,C,F,None,None,None
Q004,P.S. Q004,D75,A,A,None,None,None
Q009,P.S. 009,D75,A,B,None,None,None
Q023,P.S. Q023 @ Queens Children Center,D75,B,B,None,None,None
Q075,Robert E. Peary School,D75,A,C,None,None,None
Q224,P.S. Q224,D75,B,B,None,None,None
Q256,P.S. Q256,D75,A,A,None,None,None
R025,South Richmond High School I.S./P.S. 25,D75,C,B,None,None,None
R373,P.S. R373,D75,A,B,None,None,None
X010,P.S. X010,D75,B,A,None,None,None
X017,P.S. X017,D75,A,A,None,None,None
X168,P.S. 168,D75,C,D,None,None,None
X186,P186X Walter J. Damrosch School,D75,C,F,None,None,None
X188,P.S. X188,D75,D,C,None,None,None
X352,The Vida Bogart School for All Children,D75,C,B,None,None,None
X723,X723,D75,B,C,None,None,None
K249,P.S. 249 The Caton,EC,A,A,None,None,None
K361,P.S. 361 East Flatbush Early Childhood School,EC,C,C,None,None,None
K626,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,EC,B,None,None,None,None
K627,Brighter Choice Community School,EC,None,D,None,None,None
K628,Brooklyn Brownstone School,EC,None,None,None,None,None
K649,La Cima Charter School,EC,D,None,None,None,None
K651,PAVE Academy Charter School,EC,C,None,None,None,None
K652,Brooklyn Ascend Charter School,EC,None,B,None,None,None
K676,RED HOOK NEIGHBORHOOD SCHOOL,EC,None,None,None,None,None
K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,EC,None,None,None,None,None
K742,Explore Empower Charter School,EC,B,None,None,None,None
K782,Bedford Stuyvesant New Beginnings Charter School,EC,None,None,None,None,None
K791,Brooklyn Dreams Charter School,EC,None,None,None,None,None
M036,P.S. 036 Margaret Douglas,EC,None,B,None,None,None
M112,P.S. 112 Jose Celso Barbosa,EC,A,B,None,None,None
M178,Professor Juan Bosch Public School,EC,B,B,None,None,None
M185,P.S. 185 John M. Langston,EC,C,C,None,None,None
M382,DREAM Charter School,EC,C,None,None,None,None
M384,Harlem Success Academy 2 Charter School,EC,A,None,None,None,None
M385,Harlem Success Academy 3 Charter School,EC,A,None,None,None,None
M386,Harlem Success Academy 4 Charter School,EC,A,None,None,None,None
Q007,P.S. 007 Louis F. Simeone,EC,B,B,None,None,None
Q028,P.S. 28 - The Thomas Emanuel Early Childhood Cente,EC,B,A,None,None,None
Q130,P.S. 130,EC,A,A,None,None,None
Q182,P.S. 182 Samantha Smith,EC,C,D,None,None,None
Q222,P.S. Q222 - Fire Fighter Christopher A. Santora Sc,EC,B,A,None,None,None
Q228,P.S. 228 Early Childhood Magnet School of the Arts,EC,A,A,None,None,None
Q242,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,EC,A,A,None,None,None
Q244,The Active Learning Elementary School,EC,None,None,None,None,None
Q251,P.S. 251 Queens,EC,B,C,None,None,None
Q304,VOICE Charter School of New York,EC,B,None,None,None,None
Q305,Learners and Leaders,EC,C,None,None,None,None
Q306,New York City Academy for Discovery,EC,A,None,None,None,None
Q307,Pioneer Academy,EC,B,None,None,None,None
Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,EC,None,None,None,None,None
Q341,Riverton Street Charter School,EC,None,None,None,None,None
R065,P.S. 65 The Academy of Innovative Learning,EC,B,None,None,None,None
X023,P.S. 023 The New Children's School,EC,B,C,None,None,None
X088,P.S. X088 - S. Silverstein Little Sparrow School,EC,B,B,None,None,None
X170,P.S. 170,EC,B,B,None,None,None
X207,P.S. 207,EC,C,C,None,None,None
X209,P.S. 209,EC,B,A,None,None,None
X236,P.S. 236 Langston Hughes,EC,C,B,None,None,None
X333,P.S. 333 - The Museum School,EC,None,C,None,None,None
X382,"Elementary School for Math, Science, and Technolog",EC,None,C,None,None,None
X386,School for Environmental Citizenship,EC,None,F,None,None,None
X389,Bronx Global Learning Institute for Girls Charter,EC,C,None,None,None,None
X394,Mott Haven Academy Charter School,EC,D,None,None,None,None
X398,Bronx Community Charter School,EC,C,None,None,None,None
X419,Bronx Academy of Promise Charter School,EC,None,B,None,None,None
X422,CARL C. ICAHN SOUTH BRONX CHARTER SCHOOL,EC,None,A,None,None,None
X443,THE FAMILY SCHOOL,EC,D,None,None,None,None
X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,EC,C,None,None,None,None
X463,URBAN SCHOLARS COMMUNITY SCHOOL,EC,F,None,None,None,None
X496,Icahn Charter School 4,EC,A,None,None,None,None
K001,P.S. 001 The Bergen,EMS,B,C,A,B,B
K002,M.S. 002,EMS,B,B,A,A,B
K003,P.S. 003 The Bedford Village,EMS,C,C,A,A,C
K005,P.S. 005 Dr. Ronald Mcnair,EMS,C,B,A,A,F
K006,P.S. 006,EMS,B,B,A,A,B
K007,P.S. 007 Abraham Lincoln,EMS,A,B,A,B,D
K008,P.S. 008 Robert Fulton,EMS,C,C,A,F,C
K009,P.S. 009 Teunis G. Bergen,EMS,C,C,A,C,B
K010,"Magnet School of Math, Science and Design Technolo",EMS,B,A,A,A,C
K011,P.S. 011 Purvis J. Behan,EMS,B,B,A,B,C
K012,P.S. 012,EMS,C,B,A,D,D
K013,P.S. 013 Roberto Clemente,EMS,C,C,B,B,B
K014,J.H.S. 014 Shell Bank,EMS,A,C,A,B,C
K015,P.S. 015 Patrick F. Daly,EMS,B,A,A,A,A
K016,P.S. 016 Leonard Dunkly,EMS,C,C,A,B,D
K017,P.S. 017 Henry D. Woodworth,EMS,C,A,A,B,B
K018,P.S. 018 Edward Bush,EMS,C,B,B,A,A
K019,P.S. 019 Roberto Clemente,EMS,F,D,B,C,C
K020,P.S. 020 Clinton Hill,EMS,B,C,A,C,B
K021,P.S. 021 Crispus Attucks,EMS,A,A,B,A,B
K022,P.S. 022,EMS,F,C,A,B,D
K023,P.S. 023 Carter G. Woodson,EMS,B,A,A,A,F
K024,P.S. 024,EMS,B,C,A,A,A
K025,P.S. 025 Eubie Blake School,EMS,C,C,A,B,B
K026,P.S. 026 Jesse Owens,EMS,A,C,A,B,A
K027,Agnes Y. Humphrey School for Leadership,EMS,None,None,None,D,C
K028,P.S. 028 The Warren Prep Academy,EMS,D,B,D,B,F
K029,P.S. 029 John M. Harrigan,EMS,C,A,A,C,B
K030,I.S. 30 Mary White Ovington,EMS,B,A,A,A,B
K031,P.S. 031 Samuel F. Dupont,EMS,A,A,A,A,A
K032,P.S. 032 Samuels Mills Sprole,EMS,C,A,A,A,B
K034,P.S. 034 Oliver H. Perry,EMS,A,B,A,A,A
K035,M.S. 035 Stephen Decatur,EMS,A,A,A,A,B
K038,P.S. 038 The Pacific,EMS,C,C,A,D,A
K039,P.S. 039 Henry Bristow,EMS,B,B,A,B,C
K040,P.S. 040 George W. Carver,EMS,A,A,A,B,C
K041,P.S. 041 Francis White,EMS,A,C,A,C,C
K044,P.S. 044 Marcus Garvey,EMS,B,B,A,B,B
K045,P.S. 045 Horace E. Greene,EMS,B,A,A,A,A
K046,P.S. 046 Edward C. Blum,EMS,A,A,A,A,B
K048,P.S. 048 Mapleton,EMS,A,B,A,A,B
K049,J.H.S. 049 William J. Gaynor,EMS,None,None,None,None,None
K050,J.H.S. 050 John D. Wells,EMS,C,B,A,C,A
K051,M.S. 51 William Alexander,EMS,A,A,A,A,B
K052,P.S. 052 Sheepshead Bay,EMS,C,B,A,B,B
K054,P.S. 054 Samuel C. Barnes,EMS,C,C,A,C,C
K055,I.S. 055 Ocean Hill Brownsville,EMS,None,None,None,None,None
K056,P.S. 056 Lewis H. Latimer,EMS,A,B,C,B,D
K057,J.H.S. 057 Whitelaw Reid,EMS,C,C,A,B,C
K058,P.S. 058 The Carroll,EMS,B,A,A,A,D
K059,P.S. 059 William Floyd,EMS,C,C,A,B,D
K061,M.S. 061 Dr. Gladstone H. Atwell,EMS,C,C,A,B,B
K062,J.H.S. 062 Ditmas,EMS,B,A,A,A,B
K065,P.S. 065,EMS,B,A,A,B,B
K066,P.S. 66,EMS,B,A,A,D,A
K067,P.S. 067 Charles A. Dorsey,EMS,D,C,A,D,B
K068,I.S. 068 Isaac Bildersee,EMS,B,C,A,B,C
K069,P.S. 69 Vincent D. Grippo School,EMS,A,A,A,A,B
K071,Juan Morel Campos Secondary School,EMS,C,B,A,B,C
K072,P.S./I.S. 072 Annette P Goldman,EMS,None,None,None,D,C
K073,P.S. 073 Thomas S. Boyland,EMS,C,C,B,D,C
K075,P.S. 075 Mayda Cortiella,EMS,B,C,A,B,A
K078,J.H.S. 078 Roy H. Mann,EMS,C,C,A,C,C
K081,P.S. 081 Thaddeus Stevens,EMS,B,B,A,A,A
K084,P.S. 084 Jose De Diego,EMS,B,C,A,A,D
K086,P.S. 086 The Irvington,EMS,B,C,A,A,B
K088,J.H.S. 088 Peter Rouget,EMS,A,B,A,B,A
K089,P.S. 089 Cypress Hills,EMS,B,B,A,A,B
K090,P.S. 90 Edna Cohen School,EMS,A,B,A,A,C
K091,P.S. 091 The Albany Avenue School,EMS,D,C,A,A,B
K092,P.S. 092 Adrian Hegeman,EMS,C,C,A,B,C
K093,P.S. 093 William H. Prescott,EMS,B,C,A,C,A
K094,P.S. 094 The Henry Longfellow,EMS,B,B,A,A,A
K095,P.S. 095 The Gravesend,EMS,C,C,B,C,B
K096,I.S. 096 Seth Low,EMS,B,B,A,B,C
K097,P.S. 97 The Highlawn,EMS,A,A,A,A,B
K098,I.S. 98 Bay Academy,EMS,A,A,B,B,A
K099,P.S. 099 Isaac Asimov,EMS,A,A,A,C,B
K100,P.S. 100 The Coney Island School,EMS,C,B,A,B,B
K101,P.S. 101 The Verrazano,EMS,B,B,A,A,C
K102,P.S. 102 The Bayview,EMS,B,B,A,A,B
K103,Satellite Three,EMS,D,C,B,B,B
K104,P.S./I.S. 104 The Fort Hamilton School,EMS,B,A,B,B,C
K105,P.S. 105 The Blythebourne,EMS,A,A,A,A,B
K106,P.S. 106 Edward Everett Hale,EMS,C,B,A,A,A
K107,P.S. 107 John W. Kimball,EMS,B,A,A,A,A
K108,P.S. 108 Sal Abbracciamento,EMS,B,B,A,B,C
K109,P.S. 109,EMS,C,B,A,C,B
K110,P.S. 110 The Monitor,EMS,C,C,A,A,B
K112,P.S. 112 Lefferts Park,EMS,A,B,A,A,B
K113,M.S. 113 Ronald Edmonds Learning Center,EMS,D,C,A,B,B
K114,P.S. 114 Ryder Elementary,EMS,C,D,B,B,D
K115,P.S. 115 Daniel Mucatel School,EMS,B,B,A,A,A
K116,P.S. 116 Elizabeth L Farrell,EMS,A,A,A,A,A
K117,J.H.S. 117 Francis Scott Key,EMS,None,None,None,None,None
K119,P.S. 119 Amersfort,EMS,B,B,A,B,B
K120,P.S. 120 Carlos Tapia,EMS,A,C,A,A,B
K121,P.S. 121 Nelson A. Rockefeller,EMS,A,A,A,A,B
K123,P.S. 123 Suydam,EMS,B,C,A,B,D
K124,P.S. 124 Silas B. Dutcher,EMS,B,A,A,A,A
K126,John Ericsson Middle School 126,EMS,D,B,B,D,D
K127,P.S. 127 Mckinley Park,EMS,B,D,B,B,A
K128,P.S. 128 Bensonhurst,EMS,B,B,B,B,B
K130,P.S. 130 The Parkside,EMS,A,B,A,A,B
K131,P.S. 131 Brooklyn,EMS,A,A,A,A,B
K132,P.S. 132 The Conselyea School,EMS,C,B,A,A,A
K133,P.S. 133 William A. Butler,EMS,B,C,A,B,B
K134,P.S. K134,EMS,A,A,A,A,B
K135,P.S. 135 Sheldon A. Brookner,EMS,B,B,A,A,C
K136,I.S. 136 Charles O. Dewey,EMS,B,C,A,B,B
K137,P.S./I.S. 137 Rachel Jean Mitchell,EMS,C,D,B,B,F
K138,P.S. 138 Brooklyn,EMS,B,A,A,A,C
K139,P.S. 139 Alexine A. Fenty,EMS,B,C,A,B,B
K143,M.S. 143 Performing & Fine Arts,EMS,None,None,None,None,None
K145,P.S. 145 Andrew Jackson,EMS,C,B,A,B,C
K146,P.S. 146,EMS,A,B,A,A,C
K147,P.S. 147 Isaac Remsen,EMS,B,A,B,A,A
K149,P.S. 149 Danny Kaye,EMS,C,C,A,B,A
K150,P.S. 150 Christopher,EMS,C,C,A,F,D
K151,P.S. 151 Lyndon B. Johnson,EMS,D,C,A,B,B
K152,School of Science & Technology,EMS,B,C,A,A,B
K153,P.S. 153 Homecrest,EMS,C,B,A,B,C
K154,Magnet School for Science & Technology,EMS,A,C,A,B,D
K155,P.S./ I.S. 155 Nicholas Herkimer,EMS,A,B,A,B,B
K156,P.S. 156 Waverly,EMS,C,C,A,C,C
K157,P.S. 157 Benjamin Franklin,EMS,B,B,A,A,A
K158,P.S. 158 Warwick,EMS,B,C,A,B,C
K159,P.S. 159 Isaac Pitkin,EMS,B,C,A,C,B
K160,P.S. 160 William T. Sampson,EMS,C,B,A,B,C
K161,P.S. 161 The Crown,EMS,D,C,A,C,B
K162,J.H.S. 162 The Willoughby,EMS,C,C,A,B,C
K163,P.S. 163 Bath Beach,EMS,A,A,A,A,C
K164,P.S. 164 Caesar Rodney,EMS,A,A,A,A,A
K165,P.S. 165 Ida Posner,EMS,C,C,B,B,D
K166,J.H.S. 166 George Gershwin,EMS,C,C,B,B,D
K167,P.S. 167 The Parkway,EMS,C,C,A,B,D
K169,P.S. 169 Sunset Park,EMS,C,B,A,B,B
K170,Ralph A. Fabrizio School,EMS,B,B,A,B,C
K171,I.S. 171 Abraham Lincoln,EMS,F,C,B,C,B
K172,P.S. 172 Beacon School of Excellence,EMS,A,A,A,A,A
K174,P.S. 174 Dumont,EMS,C,C,B,B,C
K176,P.S. 176 Ovington,EMS,A,A,A,A,B
K177,P.S. 177 The Marlboro,EMS,B,A,A,B,C
K178,P.S. 178 Saint Clair Mckelway,EMS,C,B,A,D,D
K179,P.S. 179 Kensington,EMS,C,C,A,C,C
K180,The SEEALL Academy,EMS,B,B,A,A,C
K181,P.S. 181 Brooklyn,EMS,B,C,A,B,B
K183,Ps 183 Daniel Chappie James,EMS,None,None,None,None,F
K184,P.S. 184 Newport,EMS,B,C,B,B,B
K185,P.S. 185 Walter Kassenbrock,EMS,C,C,A,B,C
K186,P.S. 186 Dr. Irving A Gladstone,EMS,B,B,A,A,B
K187,I.S. 187,EMS,A,A,A,A,A
K188,P.S. 188 Michael E. Berdy,EMS,A,C,A,A,C
K189,P.S. 189 Lincoln Terrace,EMS,A,B,A,A,A
K190,P.S. 190 Sheffield,EMS,B,A,A,D,D
K191,P.S. 191 Paul Robeson,EMS,B,C,B,B,C
K192,P.S. 192 - The Magnet School for Math and Science ,EMS,A,A,A,A,B
K193,P.S. 193 Gil Hodges,EMS,C,B,A,A,A
K194,P.S. 194 Raoul Wallenberg,EMS,C,C,A,A,C
K195,P.S. 195 Manhattan Beach,EMS,B,A,A,A,B
K196,P.S. 196 Ten Eyck,EMS,C,A,A,A,C
K197,P.S. 197 Brooklyn,EMS,B,A,A,A,C
K198,P.S. 198 Brooklyn,EMS,B,C,A,B,B
K199,P.S. 199 Frederick Wachtel,EMS,B,B,B,A,C
K200,P.S. 200 Benson School,EMS,A,B,A,B,B
K201,J.H.S. 201 The Dyker Heights,EMS,A,A,A,A,B
K202,P.S. 202 Ernest S. Jenkyns,EMS,D,C,A,C,A
K203,P.S. 203 Floyd Bennett,EMS,B,C,A,A,A
K204,P.S. 204 Vince Lombardi,EMS,B,A,A,B,B
K205,P.S. 205 Clarion,EMS,A,B,A,A,C
K206,P.S. 206 Joseph F Lamb,EMS,C,A,A,A,B
K207,P.S. 207 Elizabeth G. Leary,EMS,B,C,A,B,B
K208,P.S. 208 Elsa Ebeling,EMS,B,B,A,A,A
K209,P.S. 209 Margaret Mead,EMS,B,C,A,B,C
K211,I.S. 211 John Wilson,EMS,A,B,A,A,A
K212,P.S. 212 Lady Deborah Moody,EMS,B,B,A,B,B
K213,P.S. 213 New Lots,EMS,D,C,A,B,B
K214,P.S. 214 Michael Friedsam,EMS,B,B,A,C,C
K215,P.S. 215 Morris H. Weiss,EMS,A,C,A,A,C
K216,P.S. 216 Arturo Toscanini,EMS,C,B,A,B,C
K217,P.S. 217 Colonel David Marcus School,EMS,B,B,A,A,B
K218,J.H.S. 218 James P. Sinnott,EMS,B,B,A,B,A
K219,P.S. 219 Kennedy-King,EMS,B,C,A,B,A
K220,J.H.S. 220 John J. Pershing,EMS,C,B,B,B,C
K221,P.S. 221 Toussaint L'Ouverture,EMS,A,C,A,C,B
K222,P.S. 222 Katherine R. Snyder,EMS,B,A,A,A,B
K223,J.H.S. 223 The Montauk,EMS,A,B,A,A,A
K224,P.S. 224 Hale A. Woodruff,EMS,C,B,A,D,C
K225,P.S. K225 - The Eileen E. Zaglin,EMS,B,A,A,C,D
K226,P.S. 226 Alfred De B.Mason,EMS,B,A,A,A,B
K227,J.H.S. 227 Edward B. Shallow,EMS,A,B,A,B,C
K228,I.S. 228 David A. Boody,EMS,C,C,A,B,D
K229,P.S. 229 Dyker,EMS,B,B,A,A,B
K230,P.S. 230 Doris L. Cohen,EMS,C,C,A,B,B
K232,I.S. 232 The Winthrop,EMS,None,None,None,None,None
K233,P.S. 233 Langston Hughes,EMS,C,C,A,C,B
K234,J.H.S. 234 Arthur W. Cunningham,EMS,B,B,A,A,B
K235,P.S. 235 Lenox School,EMS,A,B,A,B,C
K236,P.S. 236 Mill Basin,EMS,C,B,B,A,A
K238,P.S. 238 Anne Sullivan,EMS,B,B,A,B,F
K239,Mark Twain I.S. 239 for the Gifted & Talented,EMS,A,A,A,A,B
K240,Andries Hudde,EMS,C,B,A,B,B
K241,P.S. 241 Emma L. Johnston,EMS,A,C,A,A,B
K243,P.S. 243K- The Weeksville School,EMS,C,C,A,A,B
K244,P.S. 244 Richard R. Green,EMS,A,B,A,A,B
K245,P.S. 245,EMS,B,A,A,B,D
K246,M.S. 246 Walt Whitman,EMS,B,B,A,B,C
K247,P.S. 247 Brooklyn,EMS,A,A,A,A,B
K250,P.S. 250 George H. Lindsay,EMS,B,B,A,B,B
K251,P.S. 251 Paerdegat,EMS,B,C,A,A,C
K252,I.S. 252 Arthur S. Somers,EMS,None,None,None,None,None
K253,P.S. 253,EMS,A,A,A,A,A
K254,P.S. 254 Dag Hammarskjold,EMS,A,A,A,A,B
K255,P.S. 255 Barbara Reing School,EMS,A,A,A,A,A
K256,P.S. 256 Benjamin Banneker,EMS,F,C,A,C,C
K257,P.S. 257 John F. Hylan,EMS,A,A,A,A,A
K258,J.H.S. 258 David Ruggles,EMS,None,None,None,None,None
K259,J.H.S. 259 William Mckinley,EMS,A,A,A,A,C
K260,P.S. 260 Breuckelen,EMS,None,D,B,F,C
K261,P.S. 261 Philip Livingston,EMS,C,B,A,C,C
K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,EMS,A,A,A,A,A
K265,Dr. Susan S. McKinney Secondary School of the Arts,EMS,B,C,A,A,A
K266,M.S. K266 - Park Place Community Middle School,EMS,C,C,A,B,B
K267,"M.S. 267 Math, Science & Technology",EMS,A,B,A,A,F
K268,P.S. 268 Emma Lazarus,EMS,B,C,A,B,C
K269,P.S. 269 Nostrand,EMS,C,C,A,A,B
K270,P.S. 270 Johann DeKalb,EMS,C,A,A,A,F
K271,I.S. 271 John M. Coleman,EMS,None,None,None,None,None
K272,P.S. 272 Curtis Estabrook,EMS,F,C,A,A,F
K273,P.S. 273 Wortman,EMS,C,C,A,A,D
K274,P.S. 274 Kosciusko,EMS,C,A,A,A,C
K276,P.S. 276 Louis Marshall,EMS,B,C,A,A,C
K277,P.S. 277 Gerritsen Beach,EMS,C,A,B,A,C
K278,J.H.S. 278 Marine Park,EMS,D,D,B,C,C
K279,P.S. 279 Herman Schreiber,EMS,C,C,A,B,C
K281,I.S. 281 Joseph B Cavallaro,EMS,A,B,A,B,B
K282,P.S. 282 Park Slope,EMS,C,B,B,B,C
K284,P.S. 284 Lew Wallace,EMS,B,C,A,D,C
K285,I.S. 285 Meyer Levin,EMS,B,C,B,B,C
K287,P.S. 287 Bailey K. Ashford,EMS,B,B,A,C,F
K288,P.S. 288 The Shirley Tanyhill,EMS,B,A,A,A,C
K289,P.S. 289 George V. Brower,EMS,C,B,B,A,B
K290,P.S. 290 Juan Morel Campos,EMS,B,B,A,A,B
K291,J.H.S. 291 Roland Hayes,EMS,C,C,B,B,D
K292,J.H.S. 292 Margaret S. Douglas,EMS,B,C,A,B,B
K295,P.S. 295,EMS,A,A,A,A,A
K296,J.H.S. 296 The Halsey School,EMS,F,C,A,B,F
K297,P.S. 297 Abraham Stockton,EMS,B,C,B,B,C
K298,P.S. 298 Dr. Betty Shabazz,EMS,F,C,A,C,C
K299,P.S. 299 Thomas Warren Field,EMS,D,B,B,B,C
K301,Satellite East Middle School,EMS,B,D,B,B,D
K302,J.H.S. 302 Rafael Cordero,EMS,C,D,B,D,C
K303,I.S. 303 Herbert S. Eisenberg,EMS,A,B,A,A,A
K304,Ps 304 Casimir Pulaski,EMS,None,None,None,None,F
K305,P.S. 305 Dr. Peter Ray,EMS,C,C,A,C,B
K306,P.S. 306 Ethan Allen,EMS,F,B,A,C,C
K307,P.S. 307 Daniel Hale Williams,EMS,C,C,A,B,D
K308,P.S. 308 Clara Cardwell,EMS,D,C,A,B,B
K309,P.S. 309 The George E. Wibecan Preparatory Academy,EMS,C,C,B,B,D
K311,Essence School,EMS,C,B,B,B,C
K312,P.S. 312 Bergen Beach,EMS,C,C,A,A,C
K313,Satellite West Middle School,EMS,A,B,B,B,B
K315,P.S. K315,EMS,B,B,A,B,B
K316,P.S. 316 Elijah Stroud,EMS,C,A,A,B,D
K318,I.S. 318 Eugenio Maria De Hostos,EMS,C,C,A,A,B
K321,P.S. 321 William Penn,EMS,A,A,A,B,B
K323,P.S./I.S. 323,EMS,A,B,A,B,D
K327,P.S. 327 Dr. Rose B. English,EMS,C,C,A,C,B
K328,P.S. 328 Phyllis Wheatley,EMS,D,B,A,B,C
K329,P.S. 329 Surfside,EMS,B,C,A,B,C
K330,The Urban Assembly School for the Urban Environmen,EMS,B,C,A,B,A
K332,P.S. 332 Charles H. Houston,EMS,None,F,C,C,C
K334,Middle School for Academic and Social Excellence,EMS,C,B,C,C,B
K335,P.S. 335 Granville T. Woods,EMS,A,B,A,A,C
K336,Academy of Business and Community Development,EMS,D,D,B,B,C
K340,I.S. 340,EMS,C,B,B,F,D
K345,P.S. 345 Patrolman Robert Bolden,EMS,C,B,A,C,C
K346,P.S. 346 Abe Stark,EMS,C,C,A,B,B
K347,I.S. 347 School of Humanities,EMS,C,C,A,C,B
K349,"I.S. 349 Math, Science & Tech.",EMS,C,C,A,B,B
K352,Ebbets Field Middle School,EMS,B,B,A,B,B
K353,Elijah Stroud Middle School,EMS,B,A,A,A,A
K354,The School of Integrated Learning,EMS,B,A,A,B,B
K355,Williamsburg Collegiate Charter School,EMS,A,A,A,A,A
K356,Achievement First- Crown Heights Charter School,EMS,A,C,A,A,B
K357,Kipp Amp (Always Mentally Prepared) Charter School,EMS,B,C,B,A,A
K358,Achievement First East New York School,EMS,A,C,A,None,None
K359,The Uft Charter School,EMS,C,D,B,C,None
K362,Hellenic Classical Charter School,EMS,B,C,A,F,B
K364,I.S. 364 Gateway,EMS,C,B,A,A,B
K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,EMS,B,None,None,None,None
K375,P.S. 375 Jackie-Robinson School,EMS,A,B,A,B,D
K376,P.S. 376,EMS,C,B,A,A,A
K377,P.S. 377 Alejandrina B. De Gautier,EMS,F,B,A,B,B
K380,P.S. 380 John Wayne Elementary,EMS,A,A,A,A,B
K381,I. S. 381,EMS,C,C,B,B,D
K382,Academy for College Preparation and Career Explora,EMS,B,D,C,A,None
K383,J.H.S. 383 Philippa Schuyler,EMS,B,C,B,B,C
K384,P.S. /I.S. 384 Frances E. Carter,EMS,B,A,A,A,A
K385,"School of Business, Finance and Entrepreneurship",EMS,B,A,A,B,A
K392,I.S. 392,EMS,A,B,A,B,A
K393,Frederick Douglass Academy IV Secondary School,EMS,F,F,C,C,C
K394,M.S. K394,EMS,B,C,A,A,C
K397,P.S. 397 Foster-Laurie,EMS,B,B,A,B,C
K398,P.S. 398 Walter Weaver,EMS,B,B,A,D,B
K399,P.S. 399 Stanley Eugene Clark,EMS,B,A,A,A,A
K409,East New York Family Academy,EMS,A,B,A,A,A
K418,The Children's School,EMS,A,A,None,None,None
K429,Brooklyn School for Global Studies,EMS,B,B,A,C,C
K442,New Horizons School,EMS,B,B,A,B,C
K443,New Voices School of Academic & Creative Arts,EMS,A,A,A,A,A
K447,The Math & Science Exploratory School,EMS,A,A,A,A,A
K448,Brooklyn Secondary School for Collaborative Studie,EMS,A,B,B,A,A
K452,Frederick Douglass Academy VIII Middle School,EMS,B,B,A,F,None
K462,Secondary School for Law,EMS,None,C,A,B,C
K463,Secondary School for Journalism,EMS,None,C,A,A,A
K464,Secondary School for Research,EMS,C,B,A,B,B
K468,Kingsborough Early College School,EMS,B,B,A,A,None
K484,Ronald Edmonds Learning Center II,EMS,A,C,A,A,None
K492,Urban Assembly Academy of Arts and Letters,EMS,B,B,B,A,None
K493,Brooklyn Collegiate: A College Board School,EMS,F,D,B,D,D
K497,School for International Studies,EMS,C,A,A,C,A
K503,PS 503: The School of Discovery,EMS,B,B,A,A,None
K506,P.S. 506: The School of Journalism & Technology,EMS,B,B,A,A,None
K508,Achievement First Endeavor Charter School,EMS,A,C,A,A,None
K513,East New York Preparatory Charter School,EMS,None,None,None,None,None
K517,Leadership Prep Charter School,EMS,B,B,None,None,None
K518,Kappa V,EMS,A,C,A,C,C
K522,Mott Hall IV,EMS,F,C,A,C,C
K527,Urban Assembly Institute of Math and Science for Y,EMS,B,D,C,B,None
K531,"School for Human Rights, The",EMS,C,B,A,B,F
K533,School for Democracy and Leadership,EMS,D,C,B,C,F
K534,Upper School @ P.S. 25,EMS,B,C,B,C,None
K536,Community Roots Charter School,EMS,C,F,None,None,None
K538,Achievement First Bushwick Charter School,EMS,A,B,A,None,None
K543,"Science, Technology and Research Early College Hig",EMS,B,C,B,A,None
K554,All City Leadership Secondary School,EMS,A,C,A,A,C
K555,Brooklyn College Academy,EMS,A,B,B,B,D
K571,M.S. 571,EMS,None,D,B,B,C
K577,Conselyea Preparatory School,EMS,B,B,A,B,A
K581,East Flatbush Community Research School,EMS,D,C,A,None,None
K582,M.S. 582,EMS,D,B,A,D,C
K584,M.S. 584,EMS,C,C,A,B,B
K586,Lyons Community School,EMS,B,C,A,None,None
K587,Middle School for the Arts,EMS,D,C,A,C,C
K588,Middle School for Art and Philosophy,EMS,C,C,A,None,None
K590,Medgar Evers College Preparatory School,EMS,C,B,A,C,C
K592,Khalil Gibran International Academy,EMS,None,C,A,None,None
K593,Excellence Charter School of Bedford Stuyvesant,EMS,A,C,A,A,None
K596,Knowledge and Power Preparatory Academy VII Middle,EMS,F,D,C,None,None
K598,Middle School of Marketing and Legal Studies,EMS,B,C,A,None,None
K608,Kings Collegiate Charter School,EMS,B,A,A,None,None
