District,Material,Primary Disposal Facility,Location,X Coordinate,Y Coordinate
BK05,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
BK08,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
BK06,Paper,Visy,"4435 Victory Blvd SI, NY",928194.1,153188.9
BK07,Paper,Visy,"4435 Victory Blvd SI, NY",928194.1,153188.9
BK09,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
BK10,Paper,Visy,"4435 Victory Blvd SI, NY",928194.1,153188.9
BK11,Paper,Visy,"4435 Victory Blvd SI, NY",928194.1,153188.9
BK12,Paper,Visy,"4435 Victory Blvd SI, NY",928194.1,153188.9
BK13,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
BK14,Paper,Visy,"4435 Victory Blvd SI, NY",928194.1,153188.9
BK15,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
BK16,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
BK17,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
BK18,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
QN01,Paper,Triboro Fibers,"891-899 East 135th St Bronx, NY",1009948,232357.1
QN02,Paper,Rapid Recy,"860 Humboldt St Brooklyn, NY",997954.3,205219.8
QN03,Paper,Rapid Recy,"860 Humboldt St Brooklyn, NY",997954.3,205219.8
QN04,Paper,Rapid Recy,"860 Humboldt St Brooklyn, NY",997954.3,205219.8
QN05,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
QN06,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
QN09,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
QN07,Paper,Lobosco,"31-33 Farrington St Queens, NY",1030521,219301.3
QN08,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
QN10,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
QN11,Paper,Lobosco,"31-33 Farrington St Queens, NY",1030521,219301.3
QN12,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
QN13,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
QN13A,Paper,Lobosco,"31-33 Farrington St Queens, NY",1030521,219301.3
QN14,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
SI01,Paper,Visy,"4435 Victory Blvd SI, NY",928194.1,153188.9
SI02,Paper,Visy,"4435 Victory Blvd SI, NY",928194.1,153188.9
SI03,Paper,Visy,"4435 Victory Blvd SI, NY",928194.1,153188.9
MN01,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
MN02,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
MN03,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
MN04,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
MN05,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
MN06,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
MN07,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
MN08,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
MN09,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
MN10,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
MN11,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
MN12,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
BX01,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
BX02,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
BX03,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
BX04,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
BX05,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
BX06,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
BX07,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
BX08,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
BX09,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
BX10,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
BX11,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
BX12,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
BK01,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
BK02,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
BK03,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
BK04,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
BK05,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
BK08,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
BK06,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
BK07,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
BK09,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
BK10,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
BK11,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
BK12,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
BK13,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
BK14,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
BK15,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
BK16,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
BK17,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
BK18,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
QN01,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
QN02,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
QN03,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
QN04,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
QN05,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
QN06,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
QN09,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
QN07,"Met, Glass, Plastic",Hugo - Bronx,"850 Edgewater Road  Bronx, NY",1016698.8,237283
QN08,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
QN10,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
QN11,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
QN12,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
QN13,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
QN13A,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
QN14,"Met, Glass, Plastic",Hugo - LIC,"30-27 Greenpoint Avenue LIC, NY",999743.4,207922.5
SI01,"Met, Glass, Plastic",Hugo - Jersey ,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
SI02,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
SI03,"Met, Glass, Plastic",Hugo - Jersey,"1 Linden Avenue East Jersey City, NJ",961294.8,194610.3
