BROOKLYN CONDOMINIUM PROPERTY Boro-Block-Lot,BROOKLYN CONDOMINIUM PROPERTY Condo Section,BROOKLYN CONDOMINIUM PROPERTY Address,BROOKLYN CONDOMINIUM PROPERTY Neighborhood,BROOKLYN CONDOMINIUM PROPERTY Building Classification,BROOKLYN CONDOMINIUM PROPERTY Total Units,BROOKLYN CONDOMINIUM PROPERTY Year Built,BROOKLYN CONDOMINIUM PROPERTY Gross SqFt,BROOKLYN CONDOMINIUM PROPERTY Est. Gross Income,BROOKLYN CONDOMINIUM PROPERTY Gross Income per SqFt,BROOKLYN CONDOMINIUM PROPERTY Full Market Value,BROOKLYN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
3-02134-7502,1434-R1,450 KENT AVENUE,WILLIAMSBURG-SOUTH,R9-CONDOPS,140,2003,171432,5028100,29.3,23400000,136,3-00250-0030,182 MONTAGUE STREET,BROOKLYN HEIGHTS,D6-ELEVATOR,187,1999,182000,8212471,45.1,40300000,221,1.55,3-00236-0103,52 CLARK STREET,BROOKLYN HEIGHTS,D5-ELEVATOR,142,1928,79460,2241734,28.2,9290000,117,1.55
3-02134-7503,1649-R1,440 KENT AVENUE,WILLIAMSBURG-SOUTH,R4-ELEVATOR,135,2003,191889,4090500,21.32,17799998,93,3-02305-0018,193 NORTH 9 STREET,WILLIAMSBURG-NORTH,D9-ELEVATOR,68,1930,105718,3527222,33.4,16400000,155,1,3-00171-0001,65 HOYT STREET,DOWNTOWN-FULTON MALL,D1-ELEVATOR,158,2005,195296,3850422,19.72,14400000,74,1.65
3-02137-7502,1033-R1,102 SOUTH 8 STREET,WILLIAMSBURG-SOUTH,R4-ELEVATOR,28,0,59400,1174932,19.78,5100000,86,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,0.1,3-02139-0014,190 SOUTH 8 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,41,1917,25924,540382,20.84,2020000,78,0.15
3-02137-7503,1200-R1,407 BERRY STREET,WILLIAMSBURG-SOUTH,R4-ELEVATOR,12,2004,10001,177717,17.77,702996,70,3-02409-0011,264 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,15836,304835,19.25,646000,40.8,0.45,3-02433-0018,228 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D1-ELEVATOR,30,1920,19422,348814,17.96,1300000,67,0.35
3-02138-7501,393-R2,97 MORTON STREET,WILLIAMSBURG-SOUTH,R2-WALK-UP,20,0,43937,552000,12.56,1899994,43.2,3-02412-0027,367 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,25,1920,28800,547883,19.02,1160000,40.3,0.55,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,531148,20.02,1990000,75,0.35
3-02147-7501,21-R1,131 DIVISION AVENUE,WILLIAMSBURG-SOUTH,R4-ELEVATOR,19,1900,29440,559948,19.02,2220003,75,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,0.2,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,531148,20.02,1990000,75,0.4
3-02147-7502,92-R1,125 DIVISION AVENUE,WILLIAMSBURG-SOUTH,R4-ELEVATOR,18,1900,27024,513996,19.02,2030002,75,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,0.2,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,531148,20.02,1990000,75,0.4
3-02147-7503,444-R1,908 DRIGGS AVENUE,WILLIAMSBURG-SOUTH,R2-WALK-UP,19,1917,21746,397570,18.28,1569998,72,3-02434-0006,242 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,C7-WALK-UP,30,1912,19890,458866,23.07,1900000,96,0.35,3-02432-0040,171 SOUTH 4 STREET,WILLIAMSBURG-SOUTH,C7-WALK-UP,24,1914,14763,289927,19.64,1080000,73,0.3
3-02147-7505,628-R1,134 SOUTH 9 STREET,WILLIAMSBURG-SOUTH,R4-ELEVATOR,36,1997,45801,871135,19.02,3450000,75,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.4,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,0.2
3-02147-7506,656-R1,150 SOUTH 9 STREET,WILLIAMSBURG-SOUTH,R4-ELEVATOR,12,1924,38800,689476,17.77,2730003,70,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,0.2,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,531148,20.02,1990000,75,0.4
