Grade,Family Guide Name,Link,Language
1,2011-2012 NYC Family Guide for First Grade,http://schools.nyc.gov/NR/rdonlyres/334DFC99-2CF7-492B-8701-94C27A97B2AB/0/NYC_1Aug22.pdf,English
2,2011-2012 NYC Family Guide for Second Grade,http://schools.nyc.gov/NR/rdonlyres/C1940A60-85F5-4ACB-8B30-E43C5F923317/0/NYC_2Aug22.pdf,English
3,2011-2012 NYC Family Guide for Third Grade,http://schools.nyc.gov/NR/rdonlyres/743EDD1F-C18A-40D2-9EE4-572B6D6953B2/0/NYC_3Aug22.pdf,English
4,2011-2012 NYC Family Guide for Fourth Grade,http://schools.nyc.gov/NR/rdonlyres/E6451568-FC9A-4CF5-A61E-CD954E3BF42A/0/NYC_4Aug22.pdf,English
5,2011-2012 NYC Family Guide for Fifth Grade,http://schools.nyc.gov/NR/rdonlyres/AD20E0B7-CA61-4F41-8300-60C9C590DA76/0/NYC_5Aug22.pdf,English
6,2011-2012 NYC Family Guide for Sixth Grade,http://schools.nyc.gov/NR/rdonlyres/712DBC6D-7340-451A-9197-5AB9C46F66CF/0/NYC_6Aug16.pdf,English
7,2011-2012 NYC Family Guide for Seventh Grade,http://schools.nyc.gov/NR/rdonlyres/8E7845B5-2B99-4873-935E-7F4AE1E9C776/0/NYC_7Aug16.pdf,English
8,2011-2012 NYC Family Guide for Eighth Grade,http://schools.nyc.gov/NR/rdonlyres/C8AC1F5B-1972-4B86-8587-0B7A729E3B88/0/NYC_8Aug16.pdf,English
9,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/96535444-F751-4E18-ACCB-BDA4A3EA2AC8/0/NYC_9to12Aug16.pdf,English
10,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/96535444-F751-4E18-ACCB-BDA4A3EA2AC8/0/NYC_9to12Aug16.pdf,English
11,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/96535444-F751-4E18-ACCB-BDA4A3EA2AC8/0/NYC_9to12Aug16.pdf,English
12,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/96535444-F751-4E18-ACCB-BDA4A3EA2AC8/0/NYC_9to12Aug16.pdf,English
