Boro,District,CCU,Block,Lot,OwnerType,Status_Date,Address
QUEENS,12,12-05085,10040,53,City,01/27/2012,ADJ. 106-10 REMINGTON STREET betw SHORE AVENUE & 107 AVENUE
QUEENS,12,12-05087,10043,19,City,01/31/2012,AT 144-29 105 AVENUE betw INWOOD STREET & PINEGROVE STREET
QUEENS,12,11-11632,10134,18,Private,01/13/2012,ADJ. 107-17 155 STREET betw 108 AVENUE & 107 AVENUE
QUEENS,12,12-05074,10161,27,City,01/26/2012,ADJ. 104-44 164 STREET betw 107 AVENUE & 104 ROAD
QUEENS,12,12-05084,10162,56,City,01/26/2012,BETWEEN 104-49 & 104-53 164 STREET
QUEENS,12,12-05054,10163,90,Private,01/26/2012,ADJ. 107-02 165 STREET betw 108 AVENUE & 107 AVENUE
QUEENS,12,12-05051,10224,17,Private,01/27/2012,BETWEEN 170-18 & 170-14 LIBERTY AVENUE
QUEENS,12,11-11485,12031,48,Private,01/04/2012,ADJ. 120-27 140 STREET betw 123 AVENUE & 120 AVENUE
QUEENS,12,12-05343,13022,167,City,01/30/2012,ADJ. 136-18 WESTGATE STREET betw 137 AVENUE & 136 AVENUE
QUEENS,13,11-11319,10741,48,Private,01/04/2012,ADJ. 222-17 JAMAICA AVENUE betw 224 STREET & 222 STREET
QUEENS,13,11-11959,13266,39,City,01/05/2012,NEAR 246-19 SUNRISE HWY
QUEENS,14,11-11682,15605,340,Private,01/13/2012,CORNER BEACH    9 STREET & SEAGIRT AVENUE
QUEENS,14,11-11682,15605,350,Private,01/13/2012,CORNER BEACH    9 STREET & SEAGIRT AVENUE
QUEENS,14,11-11682,15605,352,Private,01/13/2012,CORNER BEACH    9 STREET & SEAGIRT AVENUE
QUEENS,14,11-11490,15817,50,Private,01/06/2012,REAR OF 2511 SEAGIRT AVENUE betw BEACH 26 STREET & BEACH 25 STREET
QUEENS,14,11-11903,15819,79,City,01/05/2012,ADJ. 116 BEACH 27 STREET betw SEAGIRT AVENUE & BOARDWALK
QUEENS,14,11-11881,15825,1,City,01/10/2012,OPPOSITE OF 323 BEACH 36 STREET betw BEACH CHANNEL DRIVE & ROCKAWAY BEACH BOULEVARD
QUEENS,14,11-11881,15825,9,City,01/10/2012,OPPOSITE OF 323 BEACH 36 STREET betw BEACH CHANNEL DRIVE & ROCKAWAY BEACH BOULEVARD
QUEENS,14,11-11904,15837,47,City,01/09/2012,OPPOSITE OF 352 BEACH 45 STREET betw BEACH CHANNEL DRIVE & REINHART ROAD
