DBN,School Name,Cohort Year,Demographic,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,2006,English Language Proficient,20,18,s,s,s
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,2007,English Language Proficient,18,15,s,s,s
02M551,NEW YORK HARBOR SCHOOL,2006,English Language Learner,10,7,s,s,s
02M551,NEW YORK HARBOR SCHOOL,2007,English Language Learner,13,7,s,s,s
02M551,NEW YORK HARBOR SCHOOL,2006,English Language Proficient,67,55,7,10.40%,12.70%
02M551,NEW YORK HARBOR SCHOOL,2007,English Language Proficient,77,54,4,5.20%,7.40%
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,2006,English Language Learner,221,102,42,19.00%,41.20%
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,2007,English Language Learner,256,110,61,23.80%,55.50%
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,2006,English Language Proficient,39,16,s,s,s
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,2007,English Language Proficient,99,31,12,12.10%,38.70%
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,2006,English Language Learner,2,1,s,s,s
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,2007,English Language Learner,6,0,s,s,s
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,2006,English Language Proficient,132,86,27,20.50%,31.40%
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,2007,English Language Proficient,120,67,13,10.80%,19.40%
02M586,HARVEY MILK HIGH SCHOOL,2006,English Language Proficient,30,12,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2007,English Language Proficient,31,10,s,s,s
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2006,English Language Learner,11,8,s,s,s
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2007,English Language Learner,9,3,s,s,s
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2006,English Language Proficient,405,357,144,35.60%,40.30%
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2007,English Language Proficient,375,321,165,44.00%,51.40%
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2006,English Language Learner,13,0,s,s,s
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2007,English Language Learner,8,1,s,s,s
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2006,English Language Proficient,160,83,8,5.00%,9.60%
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2007,English Language Proficient,145,69,9,6.20%,13.00%
02M620,NORMAN THOMAS HIGH SCHOOL,2006,English Language Learner,110,37,1,0.90%,2.70%
02M620,NORMAN THOMAS HIGH SCHOOL,2007,English Language Learner,96,26,0,0.00%,0.00%
02M620,NORMAN THOMAS HIGH SCHOOL,2006,English Language Proficient,354,185,15,4.20%,8.10%
02M620,NORMAN THOMAS HIGH SCHOOL,2007,English Language Proficient,456,246,21,4.60%,8.50%
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,2006,English Language Learner,46,13,s,s,s
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,2007,English Language Learner,43,13,s,s,s
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,2006,English Language Proficient,361,189,17,4.70%,9.00%
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,2007,English Language Proficient,358,200,18,5.00%,9.00%
02M630,ART AND DESIGN HIGH SCHOOL,2006,English Language Learner,7,3,s,s,s
02M630,ART AND DESIGN HIGH SCHOOL,2007,English Language Learner,7,0,s,s,s
02M630,ART AND DESIGN HIGH SCHOOL,2006,English Language Proficient,313,213,44,14.10%,20.70%
02M630,ART AND DESIGN HIGH SCHOOL,2007,English Language Proficient,267,201,52,19.50%,25.90%
02M655,LIFE SCIENCES SECONDARY SCHOOL,2006,English Language Learner,4,0,s,s,s
02M655,LIFE SCIENCES SECONDARY SCHOOL,2007,English Language Learner,8,1,s,s,s
02M655,LIFE SCIENCES SECONDARY SCHOOL,2006,English Language Proficient,114,94,11,9.60%,11.70%
02M655,LIFE SCIENCES SECONDARY SCHOOL,2007,English Language Proficient,105,81,16,15.20%,19.80%
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2006,English Language Learner,2,0,s,s,s
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2007,English Language Learner,7,0,s,s,s
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2006,English Language Proficient,72,41,4,5.60%,9.80%
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2007,English Language Proficient,84,25,1,1.20%,4.00%
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",2006,English Language Learner,12,10,s,s,s
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",2007,English Language Learner,20,6,s,s,s
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",2006,English Language Proficient,77,45,3,3.90%,6.70%
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",2007,English Language Proficient,67,36,3,4.50%,8.30%
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,2006,English Language Learner,7,5,s,s,s
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,2007,English Language Learner,5,3,s,s,s
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,2006,English Language Proficient,93,55,5,5.40%,9.10%
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,2007,English Language Proficient,90,65,9,10.00%,13.80%
03M404,INNOVATION DIPLOMA PLUS,2006,English Language Learner,2,1,s,s,s
03M404,INNOVATION DIPLOMA PLUS,2007,English Language Learner,4,2,s,s,s
03M404,INNOVATION DIPLOMA PLUS,2006,English Language Proficient,37,10,s,s,s
03M404,INNOVATION DIPLOMA PLUS,2007,English Language Proficient,127,27,2,1.60%,7.40%
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING ARTS,2006,English Language Learner,4,2,s,s,s
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING ARTS,2007,English Language Learner,5,2,s,s,s
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING ARTS,2006,English Language Proficient,123,69,10,8.10%,14.50%
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING ARTS,2007,English Language Proficient,117,71,8,6.80%,11.30%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2006,English Language Learner,197,60,2,1.00%,3.30%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2007,English Language Learner,174,51,0,0.00%,0.00%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2006,English Language Proficient,324,125,17,5.20%,13.60%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2007,English Language Proficient,278,94,14,5.00%,14.90%
03M485,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC,2006,English Language Learner,1,1,s,s,s
03M485,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC,2006,English Language Proficient,645,626,487,75.50%,77.80%
