QUEENS CONDOMINIUM PROPERTY Boro-Block-Lot,QUEENS CONDOMINIUM PROPERTY Condo Section,QUEENS CONDOMINIUM PROPERTY Address,QUEENS CONDOMINIUM PROPERTY Neighborhood,QUEENS CONDOMINIUM PROPERTY Building Classification,QUEENS CONDOMINIUM PROPERTY Total Units,QUEENS CONDOMINIUM PROPERTY Year Built,QUEENS CONDOMINIUM PROPERTY Gross SqFt,QUEENS CONDOMINIUM PROPERTY Est. Gross Income,QUEENS CONDOMINIUM PROPERTY Gross Income per SqFt,QUEENS CONDOMINIUM PROPERTY Full Market Value,QUEENS CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
4-00047-7502,586-R1,10-40 46 ROAD,LONG ISLAND CITY,R4-ELEVATOR,23,2007,36875,958750,26,3969998,108,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,1.75,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,5.4
4-00057-7501,488-R1,13-15 JACKSON AVENUE,LONG ISLAND CITY,R4-ELEVATOR,54,2006,60623,1697444,28,7030000,116,4-00575-0029,27-37 27 STREET,ASTORIA,D3-ELEVATOR,30,1970,30572,1020478,33.4,4750000,155,2.2,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,0.25
4-00061-7501,607-R1,48-15 11 STREET,LONG ISLAND CITY,R4-ELEVATOR,72,2007,80874,2183598,27,9039997,112,4-00021-0070,47-25 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,495,2007,460000,17060015,37.1,36200000,79,0.45,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,1.85
4-00082-7501,484-R1,27-28 THOMSON AVENUE,LONG ISLAND CITY,R4-ELEVATOR,237,1920,310173,5893287,19,21999999,71,4-00139-0035,43-34 49 STREET,SUNNYSIDE,D1-ELEVATOR,72,1927,53000,991076,18.7,3710000,70,1.35,4-00153-0012,45-35 46 STREET,SUNNYSIDE,D1-ELEVATOR,45,1927,33078,653159,19.75,2440000,74,1.25
4-00134-7501,498-R1,49-07 43 AVENUE,SUNNYSIDE,R4-ELEVATOR,15,2005,15610,359030,23,1490002,95,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,2,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,1.7
4-00158-7501,553-R1,41-32 44 STREET,SUNNYSIDE,R4-ELEVATOR,39,2006,25035,575805,23,2390001,95,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,1.7,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,1.5
4-00159-7501,93-R1,41-21 42 STREET,SUNNYSIDE,R4-ELEVATOR,52,1936,54986,742311,13.5,2310005,42,4-00186-0001,41-43 39 PLACE,SUNNYSIDE,D1-ELEVATOR,84,1939,84000,1186373,14.12,3690000,43.9,0.15,4-00184-0029,41-22 42 STREET,SUNNYSIDE,D1-ELEVATOR,60,1937,61770,888455,14.38,2770000,44.8,0.05
4-00159-7502,92-R1,41-07 42 STREET,SUNNYSIDE,R4-ELEVATOR,60,1936,58926,766038,13,2390006,40.6,4-00160-0009,43-31 45 STREET,SUNNYSIDE,D7-ELEVATOR,95,1931,79830,1069692,13.4,3330000,41.7,0.2,4-00160-0018,43-15 45 STREET,SUNNYSIDE,D1-ELEVATOR,52,1931,43050,628449,14.6,1960000,45.5,0.2
4-00160-7501,308-R1,43-30 BEACH 46 STREET,SUNNYSIDE,R4-ELEVATOR,93,1930,69337,970718,14,3020013,43.6,4-00184-0014,41-19 41 STREET,SUNNYSIDE,D1-ELEVATOR,49,1937,40800,635900,15.59,2150000,53,0.25,4-00189-0019,43-09 40 STREET,SUNNYSIDE,D1-ELEVATOR,77,1932,66714,1084929,16.26,3670000,55,0.25
4-00161-7501,335-R1,43-42 45 STREET,SUNNYSIDE,R9-CONDOPS,88,1936,70260,983640,14,3060000,43.6,4-00160-0018,43-15 45 STREET,SUNNYSIDE,D1-ELEVATOR,52,1931,43050,628449,14.6,1960000,45.5,0.05,4-00158-0038,41-44 44 STREET,SUNNYSIDE,D1-ELEVATOR,94,1930,71490,1070415,14.97,3620000,51,0.1
4-00184-7501,167-R1,41-09 41 STREET,SUNNYSIDE,R4-ELEVATOR,64,1938,59920,868840,14.5,2939998,49.1,4-00184-0029,41-22 42 STREET,SUNNYSIDE,D1-ELEVATOR,60,1937,61770,888455,14.38,2770000,44.8,0,4-00189-0014,43-23 40 STREET,SUNNYSIDE,D1-ELEVATOR,74,1930,52000,922148,17.73,3450000,66,0.1
4-00192-7501,560-R1,41-02 QUEENS BOULEVARD,SUNNYSIDE,R4-ELEVATOR,31,2006,32825,853450,26,3540004,108,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,1.55,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,3.85
