DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,2010-2011 OVERALL GRADE,2010-2011 OVERALL SCORE,2010-2011 ENVIRONMENT CATEGORY SCORE,2010-2011 ENVIRONMENT GRADE,2010-2011 PERFORMANCE CATEGORY SCORE,2010-2011 PERFORMANCE GRADE,2010-2011 PROGRESS CATEGORY SCORE,2010-2011 PROGRESS GRADE,2010-2011 ADDITIONAL CREDIT,2009-10 PROGRESS REPORT GRADE
09X053,9,P.S. 053 Basheer Quisim,Collin Wolfe,EMS,Elementary,62.55,B,47.5,3.8,C,11.2,B,26.0,B,6.5,C
09X055,9,P.S. 055 Benjamin Franklin,Luis Torres,EMS,Elementary,63.48,B,41.0,4.0,C,3.3,D,29.7,B,4.0,C
09X058,9,P.S. 058,Velma Gunn,EMS,Elementary,66.87,D,23.3,1.4,F,4.0,D,16.8,C,1.0,C
09X063,9,P.S. 063 Author's Academy,Reinaldo Diaz-Lens,EMS,Elementary,67.32,C,37.9,7.3,B,15.9,A,11.7,D,3.0,B
09X064,9,P.S. 064 Pura Belpre,Tara Obrien,EMS,Elementary,69.92,D,18.8,6.6,B,1.9,D,10.3,F,0.0,C
09X070,9,P.S. 070 Max Schoenfeld,Kerry Castellano,EMS,Elementary,62.72,C,31.4,5.5,C,3.9,D,21.0,C,1.0,C
09X073,9,P.S. 073 Bronx,Jean Mirvil,EMS,Elementary,64.58,A,57.6,6.7,B,3.8,D,40.1,A,7.0,B
09X088,9,P.S. X088 - S. Silverstein Little Sparrow School,Melinda Hyer,EC,K-3,64.27,B,38.2,8.3,B,13.2,A,12.7,B,4.0,B
09X090,9,P.S. 090 George Meany,Joan Kong,EMS,Elementary,61.31,,,,,,,,,,
09X109,9,P.S. 109 Sedgwick,Amanda Blatter,EMS,Elementary,65.96,B,44.7,9.0,A,10.3,B,22.9,C,2.5,A
09X110,9,P.S. 110 Theodore Schoenfeld,Daisy Perez,EMS,Elementary,64.27,B,42.6,8.3,B,11.1,B,18.1,C,5.0,B
09X114,9,P.S. X114 - Luis Llorens Torres Schools,Olivia Francis-Webber,EMS,Elementary,64.79,F,17.5,6.7,B,1.9,D,8.3,F,0.5,B
09X117,9,I.S. 117 Joseph H. Wade,Delise Jones,EMS,Middle,2.09,C,39.3,6.4,B,6.3,D,25.1,B,1.5,B
09X126,9,P.S. 126 Dr Marjorie H Dunbar,Nadine Kee-Foster,EMS,Elementary,64.36,A,60.5,3.7,D,6.5,C,41.2,A,9.0,B
09X128,9,Mott Hall III,Jorisis Stupart,EMS,Middle,2.82,A,65.7,7.0,B,12.6,B,39.6,A,6.5,A
09X132,9,P.S. 132 Garret A. Morgan,Anissa Chalmers,EMS,Elementary,67.08,C,37.4,4.2,C,2.9,D,27.8,B,2.5,B
09X145,9,J.H.S. 145 Arturo Toscanini,Robert Hannibal,EMS,Middle,2.04,B,53.3,11.4,A,5.9,D,32.0,B,4.0,B
09X163,9,P.S. 163 Arthur A. Schomburg,Dilsia Martinez,EMS,Elementary,67.41,C,27.2,5.1,C,6.0,C,15.5,C,0.5,C
09X166,9,J.H.S. 166 Roberto Clemente,Lauren Reiss,EMS,Middle,2.24,,,,,,,,,,
09X170,9,P.S. 170,Nancy Ramos,EC,K-2,61.09,B,29.9,13.1,A,9.0,B,7.7,C,0.0,B
09X199,9,P.S. 199X - The Shakespeare School,Lilia Navarrete,EMS,Elementary,67.52,A,79.5,6.6,B,12.7,B,51.7,A,8.5,A
09X204,9,P.S. 204 Morris Heights,Marcy Glattstein,EMS,Elementary,63.49,B,44.3,13.4,A,14.0,B,14.8,D,2.0,A
09X215,9,Kappa,Sheri Warren,EMS,Middle,2.88,B,55.0,8.8,A,7.9,C,33.3,B,5.0,B
09X218,9,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,Leticia Rosario,EMS,K-8,61.21,C,41.0,10.8,A,11.4,B,18.3,C,0.5,A
09X219,9,I.S. 219 New Venture School,Dominic Cipollone,EMS,Middle,2.01,C,30.4,3.9,C,5.1,D,20.9,C,0.5,B
09X227,9,Bronx Expeditionary Learning High School,D White,HS,High School,1.65,B,62.5,9.8,B,12.1,C,37.6,B,3.0,C
09X229,9,I.S. 229 Roland Patterson,Ezra Matthias,EMS,Middle,1.85,B,56.9,5.5,C,6.3,D,37.1,A,8.0,B
09X230,9,P.S. 230 Dr Roland N. Patterson,Rowena Penn-Jackson,EMS,Elementary,68.04,C,27.3,3.5,D,3.8,D,17.5,C,2.5,C
09X231,9,Eagle Academy for Young Men,Jonathan Foy,HS,High School,1.91,B,67.0,9.7,B,17.3,B,34.0,C,6.0,B
09X232,9,I.S. 232,Neifi Acosta,EMS,Middle,2.14,A,59.9,7.6,B,8.1,C,38.7,A,5.5,A
09X236,9,P.S. 236 Langston Hughes,Beverly Ellis,EC,K-2,67.56,C,22.1,8.6,B,5.3,C,7.2,C,1.0,B
09X239,9,"Urban Assembly Academy for History and Citizenship for Young Men, The",Avis Terrell,HS,High School,1.27,,,,,,,,,,F
09X241,9,Urban Assembly School for Applied Math and Science,Kenneth Baum,EMS,Middle,2.49,B,44.2,7.8,B,10.2,C,23.7,C,2.5,B
09X241,9,"Urban Assembly School for Applied Math and Science, The",Kenneth Baum,HS,High School,2.41,A,81.9,9.7,B,23.8,A,47.4,A,1.0,
09X250,9,Eximius College Preparatory Academy: A College Boa,Tammy Smith,EMS,Middle,2.44,,,,,,,,,,
09X250,9,Eximius College Preparatory Academy: A College Board School,Tammy Smith,HS,High School,2.10,B,69.5,7.9,C,17.8,A,39.8,B,4.0,B
09X252,9,Mott Hall Bronx High School,David Tinagero,HS,High School,2.20,B,59.7,9.0,B,20.6,A,27.0,D,3.0,A
09X260,9,Bronx Center for Science and Mathematics,Edward Tom,HS,High School,2.78,A,75.0,9.1,B,16.4,B,43.5,A,6.0,B
09X263,9,Validus Preparatory Academy: An Expeditionary Learning School,Brady Smith,HS,High School,1.97,C,54.7,11.4,A,14.2,C,29.1,C,,A
09X276,9,Leadership Institute,Marta Colon,HS,High School,1.60,C,57.4,8.5,C,15.5,B,32.4,C,1.0,D
09X297,9,Morris Academy for Collaborative Studies,Charles Osewalt,HS,High School,1.71,B,67.2,8.2,C,20.1,A,35.9,B,3.0,A
09X303,9,I.S. X303 Leadership & Community Service,Patricia Bentley,EMS,Middle,2.55,C,29.6,8.8,A,2.9,F,16.4,C,1.5,C
09X313,9,I.S. 313 School of Leadership Development,Lauren Wilkins,EMS,Middle,2.08,C,30.7,4.6,C,6.1,D,18.5,C,1.5,B
09X323,9,Bronx Writing Academy,Kamar Samuels,EMS,Middle,2.29,C,30.5,3.5,C,6.4,D,19.6,C,1.0,A
09X324,9,Bronx Early College Academy for Teaching & Learnin,John Barnes,EMS,Middle,2.30,C,26.6,7.5,B,6.5,C,12.6,D,0.0,B
09X324,9,Bronx Early College Academy for Teaching & Learning,John Barnes,HS,High School,2.74,,,,,,,,,,
09X325,9,Urban Science Academy,Patrick Kelly,EMS,Middle,2.20,C,33.8,4.9,C,4.3,D,23.1,C,1.5,B
09X327,9,Comprehensive Model School Project M.S. 327,Manuel Ramirez,EMS,Middle,2.41,B,56.5,7.6,B,12.0,B,30.9,B,6.0,A
09X328,9,New Millennium Business Academy Middle School,Dorald Bastian,EMS,Middle,2.05,D,15.6,3.8,C,5.2,D,5.6,F,1.0,C
09X329,9,DreamYard Preparatory School,Rod Bowen,HS,High School,1.76,D,40.8,6.0,D,7.9,F,25.9,D,1.0,D
09X339,9,I.S. 339,Jason Levy,EMS,Middle,2.03,D,19.2,3.9,C,3.7,D,11.6,D,0.0,B
09X365,9,Academy for Language and Technology,Arisleyda Urena,HS,High School,2.20,A,74.4,11.9,A,15.9,B,43.5,A,3.0,
09X403,9,Bronx International High School,Joaquin Vega,HS,High School,1.77,A,76.3,9.5,B,13.1,C,50.7,A,3.0,A
09X404,9,School for Excellence,Carmen Bardeguez Brown,HS,High School,1.65,B,65.5,7.8,C,13.7,C,41.0,B,3.0,B
09X412,9,Bronx High School of Business,Enrique Lizardi,HS,High School,1.57,C,53.1,7.9,C,12.1,C,33.1,C,,C
09X413,9,Bronx High School for Medical Science,William Quintana,EMS,Middle,2.57,B,45.2,9.4,A,8.4,C,24.4,C,3.0,B
09X413,9,Bronx High School for Medical Science,William Quintana,HS,High School,2.70,C,54.1,10.8,A,14.9,B,28.4,C,,B
09X414,9,Jonathan Levin High School for Media and Communications,Nasib Hoxha,HS,High School,1.54,C,49.6,9.1,B,10.5,D,29.0,C,1.0,C
09X443,9,THE FAMILY SCHOOL,Pamela Lee,EC,K-3,65.97,D,14.7,6.3,C,1.2,F,4.1,F,3.0,
09X454,9,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,Dr. Patrick Awosogba,EMS,Middle,2.22,A,71.7,9.8,A,9.5,C,44.9,A,7.5,
09X457,9,SHERIDAN ACADEMY FOR YOUNG LEADERS,Lisette Febus,EC,K-3,62.95,C,18.3,10.1,A,2.9,F,5.3,C,0.0,
09X505,9,"Bronx School for Law, Government and Justice",Meisha Ross-Porter,EMS,Middle,2.67,C,40.3,8.1,B,7.7,C,18.5,C,6.0,C
09X505,9,"Bronx School for Law, Government and Justice",Meisha Ross-Porter,HS,High School,2.30,C,55.5,9.8,B,13.2,C,29.5,C,3.0,B
09X517,9,Frederick Douglass Academy III Secondary School,Rahesha Amon,EMS,Middle,2.51,,,,,,,,,,C
09X517,9,Frederick Douglass Academy III Secondary School,Rahesha Amon,HS,High School,1.88,B,67.5,8.1,C,19.0,A,34.3,C,6.0,B
09X525,9,Bronx Leadership Academy High School,"Kenneth Gaskins,jr.",HS,High School,1.90,B,62.8,10.0,B,14.4,C,33.4,C,5.0,B
09X543,9,High School for Violin and Dance,Franklin Sim,HS,High School,1.79,A,73.8,8.0,C,21.0,A,40.8,B,4.0,A
10X003,10,P.S. 3 Raul Julia Micro Society,Denise Brown,EMS,K-8,62.92,B,48.6,3.4,D,9.9,C,29.8,B,5.5,A
10X007,10,P.S. 007 Kingsbridge,Frank Patterson,EMS,Elementary,57.65,A,66.8,11.4,A,8.3,C,42.1,A,5.0,C
10X008,10,P.S. 008 Issac Varian,Rosa Maria Peralta,EMS,Elementary,58.75,B,42.6,4.5,C,9.8,C,27.8,B,0.5,B
10X009,10,P.S. 9 Ryer Avenue Elementary School,Jacqueline Bailey,EMS,Elementary,64.76,C,35.0,5.6,C,7.0,C,20.3,C,2.0,C
10X015,10,P.S. X015 Institute for Environmental Learning,Tara Edmonds,EMS,K-8,60.32,A,64.3,13.0,A,14.4,A,32.4,B,4.5,A
10X020,10,P.S. 20 P.O.George J. Werdan III,Carol Carlsen,EMS,K-8,59.31,C,37.5,6.4,B,9.4,C,21.2,C,0.5,B
10X023,10,P.S. 023 The New Children's School,Shirley Torres,EC,K-2,69.16,B,29.9,7.6,B,6.7,C,10.5,B,5.0,C
10X024,10,P.S. 024 Spuyten Duyvil,Donna Connelly,EMS,Elementary,24.77,B,45.0,3.0,D,10.0,C,27.0,B,5.0,C
10X032,10,P.S. 032 Belmont,Esther Schwartz,EMS,Elementary,65.11,B,43.2,9.4,A,14.2,A,10.6,F,9.0,A
10X033,10,P.S. 033 Timothy Dwight,Lynette Santos,EMS,Elementary,64.27,C,40.0,7.9,B,5.9,C,23.7,C,2.5,A
10X037,10,P.S. X037 - Multiple Intelligence School,Kenneth Petriccione,EMS,K-8,60.73,C,31.6,5.3,C,8.4,C,15.9,C,2.0,B
10X045,10,Thomas C. Giordano Middle School 45,Annamaria Giordano,EMS,Middle,2.50,C,40.4,5.7,C,7.0,C,24.2,C,3.5,C
10X046,10,P.S. 046 Edgar Allan Poe,Jennifer Alexander-Ade,EMS,Elementary,64.55,C,35.1,4.9,C,5.3,D,23.9,C,1.0,C
10X051,10,P.S. 051 Bronx New School,Paul Smith,EMS,Elementary,56.43,A,72.0,10.5,A,9.7,C,47.8,A,4.0,B
10X054,10,P.S. / I.S. 54,Maribelle Nunez-Pardo,EMS,Elementary,66.74,D,22.6,2.1,F,5.2,D,14.3,D,1.0,C
10X056,10,P.S. 056 Norwood Heights,Priscilla Sheeran,EMS,Elementary,50.49,A,67.1,10.1,A,8.5,C,42.5,A,6.0,A
10X059,10,P.S. 059 The Community School of Technology,Christine Mchugh,EMS,Elementary,66.27,B,41.6,6.8,B,7.7,C,23.1,C,4.0,B
10X079,10,P.S. 079 Creston,Angelyn Donald,EMS,Middle,2.07,,,,,,,,,,
10X080,10,J.H.S. 080 The Mosholu Parkway,Lovey Mazique-Rivera,EMS,Middle,2.10,C,31.2,2.5,D,5.6,D,21.6,C,1.5,B
10X081,10,P.S. 081 Robert J. Christen,Melodie Mashel,EMS,Elementary,34.92,C,36.0,7.9,B,8.5,C,17.1,C,2.5,C
10X085,10,P.S. 085 Great Expectations,Ted Husted,EMS,Elementary,67.25,C,26.3,4.4,C,2.1,D,19.8,C,0.0,C
10X086,10,P.S. 086 Kingsbridge Heights,Sheldon Benardo,EMS,Elementary,62.16,A,61.7,12.5,A,10.7,B,31.5,B,7.0,A
10X091,10,P.S. 091 Bronx,Meridith Struhl Nasjlett,EMS,Elementary,63.55,C,40.2,2.5,F,7.0,C,30.7,B,0.0,B
10X094,10,P.S. 094 Kings College School,Diane Daprocida,EMS,Elementary,59.42,C,39.9,4.8,C,5.2,D,27.4,B,2.5,C
10X095,10,P.S. 095 Sheila Mencher,Serge Marshall Davis,EMS,K-8,54.73,C,38.2,1.5,F,7.7,C,24.0,C,5.0,B
10X118,10,J.H.S. 118 William W. Niles,Elizabeth Lawrence,EMS,Middle,2.84,C,28.9,4.9,C,8.0,C,16.0,C,0.0,C
10X141,10,Riverdale / Kingsbridge Academy (Middle School / H,Lori O'Mara,EMS,Middle,2.78,C,35.5,2.9,D,9.9,C,20.7,C,2.0,D
10X141,10,Riverdale / Kingsbridge Academy (Middle School / High School 141),Lori O'mara,HS,High School,2.38,A,73.9,6.5,D,21.4,A,40.0,B,6.0,A
10X159,10,P.S. 159 Luis Munoz Marin Biling,Luis Liz,EMS,Elementary,69.46,C,31.6,9.5,A,8.9,C,13.2,D,0.0,B
10X205,10,P.S. 205 Fiorello Laguardia,Carol Rosado,EMS,Elementary,61.78,B,46.0,9.5,A,13.9,B,17.1,C,5.5,A
10X206,10,I.S. 206 Ann Mersereau,David Neering,EMS,Middle,2.37,C,41.1,7.8,B,7.1,C,22.7,C,3.5,B
10X207,10,P.S. 207,Maria Rosado,EC,K-2,59.62,C,26.7,8.7,B,7.8,B,8.1,C,2.0,C
10X209,10,P.S. 209,Anne Keegan,EC,K-2,66.93,B,37.9,14.3,A,10.1,B,10.4,B,3.0,A
10X213,10,Bronx Engineering and Technology Academy,Karalyne Sperling,HS,High School,2.04,C,57.3,7.7,C,16.7,B,25.9,D,7.0,A
10X225,10,Theatre Arts Production Company School,Lynn Passarella,EMS,Middle,2.49,C,29.6,6.6,B,7.1,C,15.9,C,0.0,B
10X226,10,P.S. 226,Gloria Darden,EMS,Elementary,67.99,C,39.9,8.1,B,5.0,D,25.3,B,1.5,D
10X228,10,Jonas Bronck Academy,Donalda Chumney,EMS,Middle,2.42,B,47.2,12.7,A,11.2,B,21.3,C,2.0,A
10X237,10,"The Marie Curie School for Medicine, Nursing, and Health Professions",Rodney Fisher,HS,High School,2.22,B,58.4,6.8,D,16.5,B,35.0,B,,A
10X243,10,West Bronx Academy for the Future,Wilper Morales,EMS,Middle,2.34,C,39.7,9.6,A,9.2,C,18.9,C,2.0,C
10X243,10,West Bronx Academy for the Future,Wilper Morales,HS,High School,1.95,C,53.8,8.9,B,10.0,D,31.9,C,3.0,C
10X244,10,The New School for Leadership and Journalism,Dolores Peterson,EMS,Middle,2.15,A,69.5,11.2,A,11.9,B,38.9,A,7.5,B
10X246,10,P.S. 246 Poe Center,Beverly Miller,EMS,Elementary,65.57,B,40.8,7.8,B,6.0,C,24.5,B,2.5,C
10X254,10,I.S. 254,Wilford Hemans,EMS,Middle,2.06,C,36.6,3.6,C,8.6,C,21.4,C,3.0,A
10X268,10,Kingsbridge International High School,Ronald Newlon,HS,High School,1.73,B,69.6,8.9,B,15.5,B,43.2,A,2.0,B
10X279,10,"P.S. 279 Captain Manuel Rivera, Jr.",James Waslawski,EMS,K-8,64.33,B,47.6,8.8,A,7.0,C,28.8,B,3.0,B
10X280,10,P.S./M.S. 280 Mosholu Parkway,James Weeks,EMS,K-8,56.89,B,44.3,8.6,A,12.0,B,22.7,C,1.0,A
10X284,10,Bronx School of Law and Finance,Evan Schwartz,HS,High School,2.23,B,58.6,6.7,D,12.6,C,36.3,B,3.0,B
10X291,10,P.S. 291,Carlos Velez,EMS,Elementary,67.27,B,41.2,11.8,A,13.4,B,16.0,C,0.0,B
10X306,10,P.S. 306,Darryl Harrington,EMS,Elementary,61.00,D,24.9,5.5,C,4.0,D,14.9,D,0.5,C
10X307,10,P.S. X307 - Eames Place,Luisa Fuentes,EMS,Elementary,59.62,A,57.5,13.8,A,18.6,A,24.6,B,0.5,A
10X308,10,Bronx Dance Academy School,Sandra Sanchez,EMS,Middle,2.22,B,48.5,8.9,A,8.6,C,25.5,B,5.5,B
10X310,10,P.S. 310 Marble Hill,Elizabeth Cardona,EMS,Elementary,59.51,D,25.2,6.1,B,6.6,C,12.0,D,0.5,A
10X315,10,P.S. 315 Lab School,Elsie Cardona-Berardinelli,EMS,K-8,61.52,A,64.2,11.2,A,14.6,A,33.4,B,5.0,A
10X331,10,The Bronx School of Science Inquiry and Investigat,Serapha Cruz,EMS,Middle,2.16,B,43.3,9.5,A,6.4,D,24.4,C,3.0,B
10X340,10,P.S. 340,Nelly Maldonado,EMS,Elementary,61.26,C,31.7,11.5,A,6.5,C,13.7,D,0.0,B
10X342,10,International School for Liberal Arts,Migdalia Carrillo,EMS,Middle,2.15,A,73.6,10.4,A,4.5,D,51.7,A,7.0,B
10X342,10,International School for Liberal Arts,Migdalia Carrillo,HS,High School,2.11,C,56.0,10.7,A,17.3,B,26.0,D,2.0,B
10X344,10,Ampark Neighborhood,Elizabeth Lopez-Towey,EMS,Elementary,29.86,C,22.1,4.9,C,7.3,C,9.9,F,0.0,
10X360,10,P.S. 360,Nancy Rodriguez-Lewis,EMS,Elementary,62.69,C,33.1,5.5,C,6.2,C,19.4,C,2.0,B
10X363,10,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,Angelo Ledda,EMS,Middle,2.07,,,,,,,,,,
10X368,10,In-Tech Academy (M.S. / High School 368),Yvette Allen,EMS,Middle,2.38,B,48.7,7.8,B,9.6,C,27.3,B,4.0,B
10X368,10,In-Tech Academy (M.S. / High School 368),Yvette Allen,HS,High School,2.57,C,57.2,8.1,C,11.1,D,33.0,C,5.0,B
10X374,10,Knowledge and Power Preparatory Academy International High School (Kappa),Panorea Panagiosoulis,HS,High School,2.48,A,78.4,12.1,A,22.7,A,39.6,B,4.0,
10X382,10,"Elementary School for Math, Science, and Technolog",Avon Connell-Cowell,EMS,Elementary,63.68,B,46.5,9.7,A,4.0,D,29.3,B,3.5,C
10X386,10,School for Environmental Citizenship,Heather Dawe,EMS,Elementary,64.67,F,16.6,6.0,B,4.4,D,3.6,F,2.5,F
10X390,10,M.S. 390,Robert Mercedes,EMS,Middle,2.29,B,45.9,8.8,A,7.2,C,27.4,B,2.5,C
10X391,10,The Angelo Patri Middle School,Graciela Abadia,EMS,Middle,1.96,C,40.7,7.7,B,5.0,D,27.0,B,1.0,B
10X396,10,P.S. 396,Nicole Tine,EMS,Elementary,62.52,B,41.2,8.3,B,11.2,B,21.2,C,0.5,B
10X397,10,English Language Learners and International Support Preparatory Academy (ELLIS),Norma Vega,HS,High School,1.32,,,,,,,,,,
10X399,10,M.S. 399,"Outerbridge, Kim",EMS,Middle,2.02,,,,,,,,,,
10X433,10,High School for Teaching and the Professions,Gary Prince,HS,High School,1.80,B,69.6,9.5,B,15.6,B,42.5,A,2.0,A
10X434,10,Belmont Preparatory High School,Stephen Joseph Gumbs,HS,High School,1.88,A,70.9,7.8,C,18.1,A,41.0,B,4.0,A
10X437,10,Fordham High School for the Arts,Iris Blige,HS,High School,1.76,A,77.6,11.4,A,22.9,A,39.3,B,4.0,A
10X438,10,Fordham Leadership Academy for Business and Technology,Richard Bost,HS,High School,1.80,D,40.6,4.7,F,7.8,F,27.1,D,1.0,C
10X439,10,Bronx High School for Law and Community Service,Michael Barakat,HS,High School,1.78,B,58.6,7.4,C,12.8,C,32.4,C,6.0,D
10X440,10,DeWitt Clinton High School,Geraldine Ambrosio,HS,High School,2.08,F,39.4,3.7,F,11.8,C,21.9,F,2.0,C
10X442,10,"Celia Cruz Bronx High School of Music, The","William Rodriguez, Ed.D.",HS,High School,2.59,C,54.8,7.9,C,15.1,B,31.8,C,,B
10X445,10,Bronx High School of Science,Valerie Reidy,HS,High School,3.94,A,74.7,7.9,C,23.0,A,43.8,A,,A
10X447,10,CRESTON ACADEMY,Pamela Edwards,EMS,Middle,2.09,C,38.4,9.7,A,7.5,C,17.7,C,3.5,
10X459,10,EAST FORDHAM ACADEMY FOR THE ARTS,Tanicia Williams,EMS,Middle,2.10,A,60.8,8.1,B,8.2,C,37.5,A,7.0,
10X475,10,John F. Kennedy High School,Lisa Luft,HS,High School,1.59,,,,,,,,,,D
10X477,10,Marble Hill High School for International Studies,Kirsten Larson,HS,High School,2.49,A,88.7,10.9,A,18.9,A,50.9,A,8.0,A
10X503,10,Walton Yabc,Keesha Lindsay,YABC,YABC,,C,49.7,8.4,B,13.3,B,28,C,,B
10X504,10,Kennedy Yabc,Frank Parrino,YABC,YABC,,D,42.1,3.9,F,11.8,C,22.4,D,4.0,B
10X546,10,Bronx Theatre High School,Deborah Effinger,HS,High School,2.16,C,55.9,11.4,A,11.8,C,29.7,C,3.0,C
10X549,10,Discovery High School,Rolando Rivera,HS,High School,1.65,A,84.2,10.6,A,19.2,A,45.4,A,9.0,A
10X660,10,Grace Dodge Career and Technical Education High School,Roberto Hernandez,HS,High School,1.61,F,39.9,8.6,C,6.5,F,24.8,D,,D
10X667,10,Grace Dodge Yabc,Patricia Squire,YABC,YABC,,D,41.1,10.7,B,12.4,C,16,F,2.0,D
10X696,10,High School of American Studies at Lehman College,Mr. Alessandro Weiss,HS,High School,3.82,A,76.3,12.3,A,21.7,A,42.3,A,,A
11X016,11,P.S. 016 Wakefield,Yvonne Williams,EMS,Elementary,56.76,B,40.7,3.1,D,5.3,D,30.8,B,1.5,C
11X019,11,P.S. 019 Judith K. Weiss,Timothy P. Sullivan,EMS,K-8,24.80,B,53.0,7.5,B,8.1,C,32.4,B,5.0,C
11X021,11,P.S. 021 Philip H. Sheridan,Joyce Coleman,EMS,Elementary,58.08,C,27.1,3.4,D,3.6,D,18.1,C,2.0,C
11X041,11,P.S. 041 Gun Hill Road,Erika Tobia,EMS,Elementary,61.49,A,77.6,8.3,B,10.9,B,46.9,A,11.5,A
11X068,11,P.S. 068 Bronx,Catherine Helfrich,EMS,Elementary,61.72,B,48.0,5.9,C,9.0,C,27.0,B,6.0,B
11X076,11,P.S. 076 The Bennington School,Louise Sedotto,EMS,Elementary,54.28,B,44.9,5.0,C,7.8,C,27.6,B,4.5,A
11X078,11,P.S. 078 Anne Hutchinson,Claudina Skerritt,EMS,Elementary,58.84,B,49.3,5.3,C,5.8,C,33.2,B,5.0,C
11X083,11,P.S. 083 Donald Hertz,Benjamin Soccodato,EMS,K-8,42.99,B,48.4,7.6,B,9.3,C,29.0,B,2.5,C
11X087,11,P.S. 087 Bronx,Donna Anaman,EMS,Elementary,55.57,C,29.7,2.7,D,4.0,D,23.0,C,0.0,C
11X089,11,P.S. 089 Bronx,Ralph Martinez,EMS,K-8,53.70,C,35.9,2.5,D,5.0,D,25.9,B,2.5,C
11X096,11,P.S. 096 Richard Rodgers,Marta Garcia,EMS,Elementary,50.84,B,47.7,7.0,B,12.7,B,25.0,B,3.0,B
11X097,11,P.S. 097 Bronx,Katheleen Bornkamp,EMS,Elementary,49.19,A,70.1,5.1,C,9.6,C,46.4,A,9.0,B
11X103,11,P.S. 103 Hector Fontanez,Farid Reyes,EMS,Elementary,57.41,B,49.2,5.5,C,6.0,C,32.7,B,5.0,B
11X105,11,P.S. 105 Sen Abraham Bernstein,Mr. Christopher Eustace,EMS,Elementary,55.65,C,32.8,6.4,B,6.9,C,17.0,C,2.5,B
11X106,11,P.S. 106 Parkchester,Eugenia Montalvo,EMS,Elementary,46.48,B,46.9,7.4,B,9.4,C,26.1,B,4.0,B
11X108,11,P.S. 108 Philip J. Abinanti,Charles Sperrazza,EMS,Elementary,35.15,C,38.6,3.9,C,8.3,C,22.9,C,3.5,C
11X111,11,P.S. 111 Seton Falls,Ava Fullenweider,EMS,Elementary,61.86,C,26.0,1.8,F,3.5,D,19.1,C,1.5,C
11X112,11,P.S. 112 Bronxwood,Susan Barnes,EMS,Elementary,63.21,D,18.3,5.7,C,2.6,D,8.5,F,1.5,A
11X121,11,P.S. 121 Throop,Rachel Donnelly,EMS,Elementary,50.52,C,31.2,10.0,A,7.1,C,13.5,D,0.5,B
11X127,11,J.H.S. 127 The Castle Hill,Harry Sherman,EMS,Middle,2.58,C,31.3,5.7,C,5.4,D,17.1,C,3.0,B
11X142,11,MS 142 John Philip Sousa,Casimiro Cibelli,EMS,Middle,2.25,C,35.7,3.3,D,4.8,D,25.6,B,2.0,C
11X144,11,J.H.S. 144 Michelangelo,Pauline Mattis,EMS,Middle,2.33,C,33.5,2.5,D,6.4,D,24.0,C,0.5,C
11X153,11,P.S. 153 Helen Keller,Veronica Goka,EMS,Elementary,47.32,A,71.6,7.6,B,12.8,B,43.2,A,8.0,B
11X160,11,P.S. 160 Walt Disney,Lori Baker,EMS,Elementary,52.49,C,35.0,3.8,C,6.4,C,24.8,B,0.0,C
11X175,11,P.S. 175 City Island,Amy Lipson,EMS,K-8,21.56,C,27.8,5.4,C,8.7,C,13.2,D,0.5,C
11X178,11,P.S. 178 - Dr. Selman Waksman,Evelyn Fulton,EMS,Elementary,51.82,B,54.3,4.9,C,5.0,D,39.9,A,4.5,C
11X180,11,M.S. 180 Dr. Daniel Hale Williams,Frank Uzzo,EMS,Middle,2.69,C,39.2,11.0,A,8.9,C,17.2,C,2.0,B
11X181,11,I.S. 181 Pablo Casals,Christopher Warnock,EMS,Middle,2.70,B,51.2,8.5,B,11.0,B,26.2,B,5.5,B
11X189,11,Cornerstone Academy for Social Action,Malissa Mootoo,EMS,Elementary,59.14,C,40.1,2.3,F,6.1,C,28.7,B,3.0,F
11X194,11,PS/MS 194,Rosa Sifuentes-Rosado,EMS,K-8,50.90,C,37.8,7.0,B,7.5,C,22.3,C,1.0,B
11X249,11,Bronx Health Sciences High School,Miriam Rivas,HS,High School,2.29,A,83.3,10.5,A,23.5,A,46.3,A,3.0,A
11X253,11,Bronx High School for Writing and Communication Arts,Steven Chernigoff,HS,High School,1.85,C,49.5,7.6,C,10.3,D,29.5,C,2.0,C
11X265,11,Bronx Lab School,Christophe Lagares,HS,High School,2.19,C,52.7,7.9,C,15.9,B,27.9,D,1.0,B
11X270,11,Academy for Scholarship and Entrepreneurship: A Co,Zenobia White,EMS,Middle,2.49,D,18.7,4.0,C,3.7,D,9.5,D,1.5,C
11X270,11,Academy for Scholarship and Entrepreneurship: A College Board School,Zenobia White,HS,High School,1.92,D,46.8,6.6,D,11.7,C,26.5,D,2.0,C
11X272,11,Globe School for Environmental Research,Matthew Angell,EMS,Middle,2.25,C,33.8,2.2,D,6.5,C,24.0,C,1.0,D
11X275,11,High School of Computers and Technology,Bruce Abramowitz,HS,High School,2.08,A,84.2,9.8,B,21.4,A,41.0,B,12.0,A
