ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
586,K894,,1495 HERKIMER STREET CONSOLIDATED LOCATION,,1495 HERKIMER STREET,BROOKLYN,23,360,1495 HERKIMER STREET CONSOLIDATED LOCATION,2,EBC/ENY High School for Public Safety & Law | Aspirations Diploma Plus High School | 1495 HERKIMER STREET CONSOLIDATED LOCATION,0,2,5,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
587,K902,13K266,M.S. K266 - Park Place Community Middle School,K266,62 PARK PLACE,BROOKLYN,13,196,62 PARK PLACE CONSOLIDATED LOCATION,2,M.S. K266 - Park Place Community Middle School | P.S. K077 | 62 PARK PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
588,K902,75K077,P.S. K077,K077,62 PARK PLACE,BROOKLYN,13,278,62 PARK PLACE CONSOLIDATED LOCATION,2,M.S. K266 - Park Place Community Middle School | P.S. K077 | 62 PARK PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
589,K902,,62 PARK PLACE CONSOLIDATED LOCATION,,62 PARK PLACE,BROOKLYN,13,474,62 PARK PLACE CONSOLIDATED LOCATION,2,M.S. K266 - Park Place Community Middle School | P.S. K077 | 62 PARK PLACE CONSOLIDATED LOCATION,0,5,0,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
590,K906,13K509,Freedom Academy High School,K509,116 NASSAU STREET,BROOKLYN,13,261,,1,Freedom Academy High School,2,3,6,1,1,3C,251-500,0.37,1.2,1.51,0.22,0.15
591,K907,17K568,Brownsville Academy High School,K568,1150 EAST NEW YORK AVENUE,BROOKLYN,17,185,,1,Brownsville Academy High School,1,2,5,1,0,2C,1-250,0.29,0.94,1.17,0.17,0.12
592,K909,13K499,ACORN Community High School,K499,561 GRAND AVENUE,BROOKLYN,13,744,,1,ACORN Community High School,1,12,22,1,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
593,K913,32K545,EBC High School for Public Service–Bushwick,K545,1155 DEKALB AVENUE,BROOKLYN,32,675,,1,EBC High School for Public Service–Bushwick,1,0,1,1,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
594,K914,13K670,Benjamin Banneker Academy,K670,71-77 CLINTON AVENUE,BROOKLYN,13,832,,1,Benjamin Banneker Academy,0,3,3,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
595,K932,79K952,Suspension Center School - Belmont Academy [HS],K952,619 BELMONT AVENUE,BROOKLYN,19,43,,1,Suspension Center School - Belmont Academy [HS],0,0,3,0,0,2C,1-250,0.29,0.94,1.17,0.17,0.12
596,K940,20K030,I.S. 30 Mary White Ovington,K030,415 OVINGTON AVENUE,BROOKLYN,20,340,,1,I.S. 30 Mary White Ovington,0,0,1,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
597,K971,20K310,P.S. 310,K310,6214 4TH AVENUE,BROOKLYN,20,128,6214 4TH AVENUE CONSOLIDATED LOCATION,2,P.S. 310 | P.S. 971 | 6214 4TH AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
598,K971,20K971,P.S. 971,K971,6214 4TH AVENUE,BROOKLYN,20,128,6214 4TH AVENUE CONSOLIDATED LOCATION,2,P.S. 310 | P.S. 971 | 6214 4TH AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
599,K971,,6214 4TH AVENUE CONSOLIDATED LOCATION,,6214 4TH AVENUE,BROOKLYN,20,256,6214 4TH AVENUE CONSOLIDATED LOCATION,2,P.S. 310 | P.S. 971 | 6214 4TH AVENUE CONSOLIDATED LOCATION,1,0,0,0,1,3C,251-500,0.37,1.2,1.51,0.22,0.15
600,K987,16K498,Brooklyn High School for Law and Technology,K498,1396 BROADWAY,BROOKLYN,16,413,,1,Brooklyn High School for Law and Technology,0,4,7,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
601,K989,20K264,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,K264,415 89 STREET,BROOKLYN,20,74,,1,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,N/A,N/A,N/A,N/A,N/A,2C,1-250,0.29,0.94,1.17,0.17,0.12
602,K994,13K595,Bedford Academy High School,K595,1119 BEDFORD AVENUE,BROOKLYN,13,363,,1,Bedford Academy High School,0,2,2,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
