BN,SCHOOL NAME,PROGRESS REPORT TYPE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
K250,P.S. 250 George H. Lindsay,EMS,B,A,B,B
K251,P.S. 251 Paerdegat,EMS,C,A,A,C
K252,I.S. 252 Arthur S. Somers,EMS,None,None,None,None
K253,P.S. 253,EMS,A,A,A,A
K254,P.S. 254 Dag Hammarskjold,EMS,A,A,A,B
K255,P.S. 255 Barbara Reing School,EMS,A,A,A,A
K256,P.S. 256 Benjamin Banneker,EMS,C,A,C,C
K257,P.S. 257 John F. Hylan,EMS,A,A,A,A
K258,J.H.S. 258 David Ruggles,EMS,None,None,None,None
K259,J.H.S. 259 William Mckinley,EMS,A,A,A,C
K260,P.S. 260 Breuckelen,EMS,D,B,F,C
K261,P.S. 261 Philip Livingston,EMS,B,A,C,C
K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,EMS,A,A,A,A
K265,Dr. Susan S. McKinney Secondary School of the Arts,EMS,C,A,A,A
K265,Dr. Susan S. McKinney Secondary School of the Arts,HS,A,B,A,B
K266,M.S. K266 - Park Place Community Middle School,EMS,C,A,B,B
K267,"M.S. 267 Math, Science & Technology",EMS,B,A,A,F
K268,P.S. 268 Emma Lazarus,EMS,C,A,B,C
K269,P.S. 269 Nostrand,EMS,C,A,A,B
K270,P.S. 270 Johann DeKalb,EMS,A,A,A,F
K271,I.S. 271 John M. Coleman,EMS,None,None,None,None
K272,P.S. 272 Curtis Estabrook,EMS,C,A,A,F
K273,P.S. 273 Wortman,EMS,C,A,A,D
K274,P.S. 274 Kosciusko,EMS,A,A,A,C
K276,P.S. 276 Louis Marshall,EMS,C,A,A,C
K277,P.S. 277 Gerritsen Beach,EMS,A,B,A,C
K278,J.H.S. 278 Marine Park,EMS,D,B,C,C
K279,P.S. 279 Herman Schreiber,EMS,C,A,B,C
K281,I.S. 281 Joseph B Cavallaro,EMS,B,A,B,B
K282,P.S. 282 Park Slope,EMS,B,B,B,C
K284,P.S. 284 Lew Wallace,EMS,C,A,D,C
K285,I.S. 285 Meyer Levin,EMS,C,B,B,C
K287,P.S. 287 Bailey K. Ashford,EMS,B,A,C,F
K288,P.S. 288 The Shirley Tanyhill,EMS,A,A,A,C
K289,P.S. 289 George V. Brower,EMS,B,B,A,B
K290,P.S. 290 Juan Morel Campos,EMS,B,A,A,B
K291,J.H.S. 291 Roland Hayes,EMS,C,B,B,D
K292,J.H.S. 292 Margaret S. Douglas,EMS,C,A,B,B
K295,P.S. 295,EMS,A,A,A,A
K296,J.H.S. 296 The Halsey School,EMS,C,A,B,F
K297,P.S. 297 Abraham Stockton,EMS,C,B,B,C
