BROOKLYN CONDOMINIUM PROPERTY Boro-Block-Lot,BROOKLYN CONDOMINIUM PROPERTY Condo Section,BROOKLYN CONDOMINIUM PROPERTY Address,BROOKLYN CONDOMINIUM PROPERTY Neighborhood,BROOKLYN CONDOMINIUM PROPERTY Building Classification,BROOKLYN CONDOMINIUM PROPERTY Total Units,BROOKLYN CONDOMINIUM PROPERTY Year Built,BROOKLYN CONDOMINIUM PROPERTY Gross SqFt,BROOKLYN CONDOMINIUM PROPERTY Est. Gross Income,BROOKLYN CONDOMINIUM PROPERTY Gross Income per SqFt,BROOKLYN CONDOMINIUM PROPERTY Full Market Value,BROOKLYN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
3-02240-7516,1137-R1,5 UNKNOWN,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,2002,28727,488359,17,1930000,67,3-03063-0017,258 BUSHWICK AVENUE,WILLIAMSBURG-EAST,D7-ELEVATOR,22,1930,27000,492600,18.24,1950000,72,0.8,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,390959,15.15,1120000,43.4,0.5
3-02240-7518,1104-R1,13 LORIMER STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,2003,16524,352800,21.35,1530000,93,3-03044-0026,171 MESEROLE STREET,WILLIAMSBURG-EAST,C1-WALK-UP,39,1930,17240,386541,22.42,1680000,97,0.75,3-03044-0029,165 MESEROLE STREET,WILLIAMSBURG-EAST,C1-WALK-UP,39,1930,17460,386540,22.14,1680000,96,0.75
3-02241-7528,1235-R1,115 LORIMER STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2004,25452,432684,17,1710000,67,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,340909,16.8,798000,39.3,0.5,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.5
3-02241-7529,1237-R1,119 LORIMER STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2004,26950,458150,17,1809998,67,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,340909,16.8,798000,39.3,0.5,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.5
3-02241-7530,1242-R1,146 MIDDLETON STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2004,23692,383099,16.17,1519996,64,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,340909,16.8,798000,39.3,0.5,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.5
3-02241-7531,1246-R1,150 MIDDLETON STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2004,25452,411558,16.17,1630003,64,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,340909,16.8,798000,39.3,0.5,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.5
3-02242-7503,1815-R1,218 MIDDLETON STREET,WILLIAMSBURG-EAST,R4-ELEVATOR,18,2005,32189,557835,17.33,2210003,69,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,0.6,,,,,,,,,,,,
3-02244-7501,663-R1,2 LEE AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,115,1998,200632,3310428,16.5,13100031,65,3-02488-0001,1092 MANHATTAN AVENUE,GREENPOINT,C1-WALK-UP,26,1931,19500,476808,24.45,2070000,106,2.45,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,0.9
3-02250-7501,873-R1,165 HARRISON AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,32,2000,39000,828750,21.25,3600000,92,3-03232-0074,1251 DE KALB AVENUE,BUSHWICK,D1-ELEVATOR,28,2005,21240,484272,22.8,2100000,99,1.2,,,,,,,,,,,,
3-02251-7502,1699-R1,37 THROOP AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,18,2006,23938,550574,23,2449996,102,3-02418-0040,145 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D1-ELEVATOR,66,2005,59983,1600166,26.7,3750000,63,1,,,,,,,,,,,,
3-02251-7503,1705-R1,41 THROOP AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,17,2006,22389,537336,24,2329988,104,3-03232-0074,1251 DE KALB AVENUE,BUSHWICK,D1-ELEVATOR,28,2005,21240,484272,22.8,2100000,99,1.15,3-02732-0005,68 RICHARDSON STREET,WILLIAMSBURG-EAST,D2-ELEVATOR,25,1920,32532,896436,27.6,4290000,132,1.05
