NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
JAMAICA HILLS            ,03 THREE FAMILY HOMES                      ,3,$740000.00,$908529.00,$992793.00,$992793.00
KEW GARDENS              ,01 ONE FAMILY HOMES                        ,30,$325000.00,$786489.00,$639150.00,$3000000.00
KEW GARDENS              ,02 TWO FAMILY HOMES                        ,10,$563000.00,$756399.00,$730000.00,$995292.00
KEW GARDENS              ,03 THREE FAMILY HOMES                      ,8,$550000.00,$853000.00,$890000.00,$999000.00
LAURELTON                ,01 ONE FAMILY HOMES                        ,178,$165000.00,$431991.00,$447000.00,$726500.00
LAURELTON                ,02 TWO FAMILY HOMES                        ,63,$185000.00,$534222.00,$551200.00,$695000.00
LAURELTON                ,03 THREE FAMILY HOMES                      ,3,$578000.00,$639667.00,$626000.00,$715000.00
LITTLE NECK              ,01 ONE FAMILY HOMES                        ,104,$155000.00,$702766.00,$680000.00,$2150000.00
LITTLE NECK              ,02 TWO FAMILY HOMES                        ,12,$710000.00,$901811.00,$916425.00,$1240228.00
LITTLE NECK              ,03 THREE FAMILY HOMES                      ,3,$682000.00,$754000.00,$700000.00,$880000.00
LONG ISLAND CITY         ,01 ONE FAMILY HOMES                        ,13,$286850.00,$792450.00,$610000.00,$2900000.00
LONG ISLAND CITY         ,02 TWO FAMILY HOMES                        ,29,$200000.00,$780481.00,$750000.00,$1525000.00
LONG ISLAND CITY         ,03 THREE FAMILY HOMES                      ,15,$325000.00,$793100.00,$800000.00,$1130000.00
MASPETH                  ,01 ONE FAMILY HOMES                        ,113,$167500.00,$517591.00,$515000.00,$1007106.00
MASPETH                  ,02 TWO FAMILY HOMES                        ,122,$170000.00,$603605.00,$617500.00,$900000.00
MASPETH                  ,03 THREE FAMILY HOMES                      ,34,$200800.00,$772789.00,$767500.00,$1950000.00
MIDDLE VILLAGE           ,01 ONE FAMILY HOMES                        ,156,$198894.00,$534953.00,$525500.00,$1250000.00
MIDDLE VILLAGE           ,02 TWO FAMILY HOMES                        ,96,$150000.00,$634446.00,$640000.00,$977520.00
MIDDLE VILLAGE           ,03 THREE FAMILY HOMES                      ,27,$180000.00,$772913.00,$820000.00,$1235000.00
NEPONSIT                 ,01 ONE FAMILY HOMES                        ,9,$400000.00,$1361556.00,$1180000.00,$4425000.00
NEPONSIT                 ,02 TWO FAMILY HOMES                        ,2,$825000.00,$900000.00,$900000.00,$975000.00
OAKLAND GARDENS          ,01 ONE FAMILY HOMES                        ,84,$214000.00,$689140.00,$666833.00,$1350000.00
OAKLAND GARDENS          ,02 TWO FAMILY HOMES                        ,7,$400000.00,$764714.00,$830000.00,$988000.00
OAKLAND GARDENS          ,03 THREE FAMILY HOMES                      ,4,$403000.00,$712750.00,$786500.00,$875000.00
OZONE PARK               ,01 ONE FAMILY HOMES                        ,107,$165000.00,$446744.00,$440000.00,$800000.00
OZONE PARK               ,02 TWO FAMILY HOMES                        ,188,$215000.00,$578846.00,$580450.00,$865512.00
OZONE PARK               ,03 THREE FAMILY HOMES                      ,31,$167000.00,$688531.00,$675000.00,$900000.00
QUEENS VILLAGE           ,01 ONE FAMILY HOMES                        ,313,$157500.00,$450858.00,$455000.00,$820000.00
QUEENS VILLAGE           ,02 TWO FAMILY HOMES                        ,97,$177333.00,$557359.00,$550000.00,$875000.00
QUEENS VILLAGE           ,03 THREE FAMILY HOMES                      ,6,$556000.00,$650167.00,$655000.00,$730000.00
REGO PARK                ,01 ONE FAMILY HOMES                        ,78,$268750.00,$662685.00,$605500.00,$1350000.00
REGO PARK                ,02 TWO FAMILY HOMES                        ,25,$400000.00,$750500.00,$750000.00,$980000.00
REGO PARK                ,03 THREE FAMILY HOMES                      ,10,$655000.00,$805500.00,$812500.00,$970000.00
