NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
GRAVESEND                ,02 TWO FAMILY HOMES                        ,95,$160000.00,$612629.00,$625000.00,$1150000.00
GRAVESEND                ,03 THREE FAMILY HOMES                      ,48,$160000.00,$763134.00,$760000.00,$1322503.00
GREENPOINT               ,01 ONE FAMILY HOMES                        ,5,$307500.00,$695500.00,$700000.00,$1100000.00
GREENPOINT               ,02 TWO FAMILY HOMES                        ,27,$315500.00,$771449.00,$740000.00,$1475000.00
GREENPOINT               ,03 THREE FAMILY HOMES                      ,20,$365000.00,$787883.00,$832500.00,$1075000.00
KENSINGTON               ,01 ONE FAMILY HOMES                        ,8,$357500.00,$647063.00,$675000.00,$805000.00
KENSINGTON               ,02 TWO FAMILY HOMES                        ,21,$300000.00,$706548.00,$715000.00,$1375000.00
KENSINGTON               ,03 THREE FAMILY HOMES                      ,3,$326666.00,$587222.00,$625000.00,$810000.00
MADISON                  ,01 ONE FAMILY HOMES                        ,77,$200000.00,$667750.00,$610000.00,$1450000.00
MADISON                  ,02 TWO FAMILY HOMES                        ,39,$175000.00,$672343.00,$694250.00,$1325000.00
MADISON                  ,03 THREE FAMILY HOMES                      ,5,$495500.00,$891800.00,$813500.00,$1400000.00
MANHATTAN BEACH          ,01 ONE FAMILY HOMES                        ,30,$180000.00,$1101833.00,$872500.00,$3500000.00
MANHATTAN BEACH          ,02 TWO FAMILY HOMES                        ,12,$650000.00,$1310833.00,$1017500.00,$3050000.00
MARINE PARK              ,01 ONE FAMILY HOMES                        ,136,$200000.00,$468321.00,$458750.00,$800000.00
MARINE PARK              ,02 TWO FAMILY HOMES                        ,41,$242000.00,$539875.00,$542500.00,$815000.00
MARINE PARK              ,03 THREE FAMILY HOMES                      ,2,$722500.00,$773750.00,$773750.00,$825000.00
MIDWOOD                  ,01 ONE FAMILY HOMES                        ,79,$281125.00,$850667.00,$730500.00,$2600000.00
MIDWOOD                  ,02 TWO FAMILY HOMES                        ,40,$320000.00,$723890.00,$660000.00,$1650000.00
MIDWOOD                  ,03 THREE FAMILY HOMES                      ,7,$465000.00,$892001.00,$865000.00,$1550000.00
MILL BASIN               ,01 ONE FAMILY HOMES                        ,38,$295000.00,$956631.00,$885000.00,$2600000.00
MILL BASIN               ,02 TWO FAMILY HOMES                        ,16,$325000.00,$695910.00,$706500.00,$890000.00
NAVY YARD                ,01 ONE FAMILY HOMES                        ,1,$710000.00,$710000.00,$710000.00,$710000.00
NAVY YARD                ,02 TWO FAMILY HOMES                        ,1,$721439.00,$721439.00,$721439.00,$721439.00
OCEAN HILL               ,01 ONE FAMILY HOMES                        ,9,$160000.00,$364461.00,$300000.00,$828300.00
OCEAN HILL               ,02 TWO FAMILY HOMES                        ,91,$150000.00,$471732.00,$475000.00,$760000.00
OCEAN HILL               ,03 THREE FAMILY HOMES                      ,85,$157500.00,$538332.00,$568727.00,$825000.00
OCEAN PARKWAY-NORTH      ,01 ONE FAMILY HOMES                        ,59,$230000.00,$896905.00,$659200.00,$3600000.00
OCEAN PARKWAY-NORTH      ,02 TWO FAMILY HOMES                        ,54,$400000.00,$925391.00,$770000.00,$3200000.00
OCEAN PARKWAY-NORTH      ,03 THREE FAMILY HOMES                      ,14,$150000.00,$741071.00,$770000.00,$1750000.00
OCEAN PARKWAY-SOUTH      ,01 ONE FAMILY HOMES                        ,28,$285500.00,$983625.00,$840000.00,$3015000.00
OCEAN PARKWAY-SOUTH      ,02 TWO FAMILY HOMES                        ,53,$150000.00,$820731.00,$675000.00,$3300000.00
OCEAN PARKWAY-SOUTH      ,03 THREE FAMILY HOMES                      ,12,$495000.00,$812041.00,$833824.00,$999900.00
OLD MILL BASIN           ,01 ONE FAMILY HOMES                        ,61,$230000.00,$415595.00,$425000.00,$718500.00
OLD MILL BASIN           ,02 TWO FAMILY HOMES                        ,39,$415000.00,$567080.00,$535000.00,$835000.00
OLD MILL BASIN           ,03 THREE FAMILY HOMES                      ,3,$565000.00,$651833.00,$600000.00,$790500.00
PARK SLOPE               ,01 ONE FAMILY HOMES                        ,11,$1550000.00,$3152182.00,$2599000.00,$8450000.00
PARK SLOPE               ,02 TWO FAMILY HOMES                        ,34,$225000.00,$1792960.00,$1801250.00,$3755000.00
PARK SLOPE               ,03 THREE FAMILY HOMES                      ,27,$820500.00,$1551540.00,$1500000.00,$2730000.00
PARK SLOPE SOUTH         ,01 ONE FAMILY HOMES                        ,3,$755000.00,$953333.00,$955000.00,$1150000.00
PARK SLOPE SOUTH         ,02 TWO FAMILY HOMES                        ,30,$489980.00,$1128925.00,$1097500.00,$1995000.00
PARK SLOPE SOUTH         ,03 THREE FAMILY HOMES                      ,5,$935000.00,$1359800.00,$1269000.00,$1995000.00
PROSPECT HEIGHTS         ,01 ONE FAMILY HOMES                        ,3,$420916.00,$1280972.00,$1602000.00,$1820000.00
PROSPECT HEIGHTS         ,02 TWO FAMILY HOMES                        ,6,$275000.00,$1031833.00,$928000.00,$2250000.00
PROSPECT HEIGHTS         ,03 THREE FAMILY HOMES                      ,6,$800000.00,$1648333.00,$1762500.00,$2400000.00
RED HOOK                 ,01 ONE FAMILY HOMES                        ,2,$700000.00,$875000.00,$875000.00,$1050000.00
RED HOOK                 ,02 TWO FAMILY HOMES                        ,7,$695000.00,$855000.00,$755000.00,$1265000.00
RED HOOK                 ,03 THREE FAMILY HOMES                      ,3,$750000.00,$878333.00,$910000.00,$975000.00
SEAGATE                  ,01 ONE FAMILY HOMES                        ,10,$255000.00,$482950.00,$422500.00,$765000.00
SEAGATE                  ,02 TWO FAMILY HOMES                        ,7,$325000.00,$677143.00,$725000.00,$895000.00
SEAGATE                  ,03 THREE FAMILY HOMES                      ,5,$399000.00,$567800.00,$550000.00,$767000.00
SHEEPSHEAD BAY           ,01 ONE FAMILY HOMES                        ,56,$263000.00,$518976.00,$498975.00,$1200000.00
SHEEPSHEAD BAY           ,02 TWO FAMILY HOMES                        ,77,$240000.00,$596367.00,$600000.00,$960000.00
SHEEPSHEAD BAY           ,03 THREE FAMILY HOMES                      ,12,$675000.00,$787208.00,$810000.00,$862500.00
SPRING CREEK             ,01 ONE FAMILY HOMES                        ,19,$205116.00,$207865.00,$205118.00,$231222.00
SUNSET PARK              ,01 ONE FAMILY HOMES                        ,26,$340000.00,$658321.00,$635000.00,$1109000.00
SUNSET PARK              ,02 TWO FAMILY HOMES                        ,136,$165000.00,$704119.00,$741500.00,$1300000.00
SUNSET PARK              ,03 THREE FAMILY HOMES                      ,52,$210000.00,$744207.00,$764000.00,$1050000.00
WILLIAMSBURG-CENTRAL     ,01 ONE FAMILY HOMES                        ,1,$550000.00,$550000.00,$550000.00,$550000.00
WILLIAMSBURG-CENTRAL     ,02 TWO FAMILY HOMES                        ,2,$492750.00,$641375.00,$641375.00,$790000.00
WILLIAMSBURG-CENTRAL     ,03 THREE FAMILY HOMES                      ,6,$400000.00,$624998.00,$550000.00,$999990.00
WILLIAMSBURG-EAST        ,01 ONE FAMILY HOMES                        ,6,$360000.00,$810000.00,$787500.00,$1280000.00
WILLIAMSBURG-EAST        ,02 TWO FAMILY HOMES                        ,29,$162000.00,$782103.00,$785000.00,$1350000.00
WILLIAMSBURG-EAST        ,03 THREE FAMILY HOMES                      ,10,$160000.00,$572500.00,$477500.00,$999999.00
WILLIAMSBURG-NORTH       ,02 TWO FAMILY HOMES                        ,15,$210000.00,$846642.00,$899000.00,$1499000.00
WILLIAMSBURG-NORTH       ,03 THREE FAMILY HOMES                      ,2,$999000.00,$1174500.00,$1174500.00,$1350000.00
WILLIAMSBURG-SOUTH       ,02 TWO FAMILY HOMES                        ,2,$599900.00,$973950.00,$973950.00,$1348000.00
WILLIAMSBURG-SOUTH       ,03 THREE FAMILY HOMES                      ,5,$420000.00,$1113000.00,$1235000.00,$1485000.00
WINDSOR TERRACE          ,01 ONE FAMILY HOMES                        ,16,$652000.00,$954750.00,$822500.00,$1497000.00
WINDSOR TERRACE          ,02 TWO FAMILY HOMES                        ,20,$200000.00,$884368.00,$861500.00,$1490000.00
WINDSOR TERRACE          ,03 THREE FAMILY HOMES                      ,9,$399000.00,$841300.00,$860000.00,$1330000.00
WYCKOFF HEIGHTS          ,01 ONE FAMILY HOMES                        ,1,$465000.00,$465000.00,$465000.00,$465000.00
WYCKOFF HEIGHTS          ,02 TWO FAMILY HOMES                        ,8,$445266.00,$547200.00,$505417.00,$750000.00
WYCKOFF HEIGHTS          ,03 THREE FAMILY HOMES                      ,9,$150000.00,$483767.00,$523500.00,$669500.00
