DBN,DISTRICT,SCHOOL,PRINCIPAL,2007-08 SCHOOL SUPPORT ORGANIZATION,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,OVERALL GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,ENVIRONMENT GRADE,PERFORMANCE CATEGORY SCORE,PERFORMANCE GRADE,PROGRESS CATEGORY SCORE,PROGRESS GRADE,ADDITIONAL CREDIT,2006-07 PROGRESS REPORT GRADE,2007-08 QUALITY REVIEW SCORE,2006-07 FEDERAL ACCOUNTABILITY STATUS
31R027,31,I.S. 027 ANNING S. PRALL,Tracey Kornish,LLSO,ESMS,Middle School,3.14,C,44.6,7.2,B,13.6,C,23.8,C,0,C,Proficient,In Corrective Action
31R029,31,P.S. 029 BARDWELL,Mrs. Linda Manfredi,ICI,ESMS,Elementary School,26.18,A,66.4,11.4,A,17.9,A,35.6,A,1.5,A,Well Developed,In Good Standing
31R030,31,P.S. 030 WESTERLEIGH,Mrs. Denise N. Spina,ESO,ESMS,Elementary School,20.66,C,34.7,6,C,11.8,B,16.1,C,0.75,C,Proficient,In Good Standing
31R031,31,P.S. 031 WILLIAM T. DAVIS,Patricia Covington,ESO,ESMS,Elementary School,59.54,A,60.1,9.3,A,13.2,B,33.1,A,4.5,D,Proficient,In Good Standing
31R032,31,P.S. 032 THE GIFFORD SCHOOL,Nancy Spataro,ESO,ESMS,Elementary School,14.30,C,41.2,6,C,13.9,B,20.5,C,0.75,B,Well Developed,In Good Standing
31R034,31,I.S. 034 TOTTENVILLE,Jeff Preston,ICI,ESMS,Middle School,3.51,B,64.5,10.7,A,17.5,B,32.5,B,3.75,D,Well Developed,In Good Standing
31R035,31,P.S. 35 THE CLOVE VALLEY SCHOOL,Melissa Longobardi,ESO,ESMS,Elementary School,25.38,C,44.7,8.6,B,17.7,A,18.4,C,0,F,Proficient,In Good Standing
31R036,31,P.S. 036 J. C. DRUMGOOLE,Barbara Bellafatto,ICI,ESMS,Elementary School,12.72,C,43.3,7.2,B,10.2,C,25.9,B,0,F,Proficient,In Good Standing
31R038,31,P.S. 038 GEORGE CROMWELL,Everlidys Robles,ICI,ESMS,Elementary School,36.67,B,53.7,7.1,B,12.2,B,30.6,B,3.75,C,Well Developed,In Good Standing
31R039,31,P.S. 39 FRANCIS J. MURPHY JR.,Mr. Robert E. Corso,CEI-PEA,ESMS,Elementary School,29.70,B,53.6,9.6,A,16.9,A,26.3,B,0.75,B,Well Developed,In Good Standing
31R041,31,P.S. 041 NEW DORP,Elise Feldman,ICI,ESMS,Elementary School,27.20,B,53.5,6,C,11.3,C,34.7,A,1.5,D,Well Developed,In Good Standing
31R042,31,P.S. 042 ELTINGVILLE,Brian Sharkey,ICI,ESMS,Elementary School,15.22,A,60.9,9.7,A,13.3,B,37.9,A,0,C,Well Developed,In Good Standing
31R044,31,P.S. 044 THOMAS C. BROWN,Rhonda Whitfield,ICI,ESMS,Elementary School,61.22,B,48.7,6.3,C,8.8,C,30.6,B,3,D,Proficient,In Need of Improvement - Year 2
31R045,31,P.S. 045 JOHN TYLER,Teresa Caccavale,ICI,ESMS,Elementary School,34.55,C,43.1,4.9,C,13,B,25.2,B,0,C,Well Developed,In Good Standing
31R046,31,P.S. 046 ALBERT V. MANISCALCO,Andrea Maffeo,ICI,ESMS,Elementary School,38.47,B,54.2,11.6,A,10.8,C,30.3,B,1.5,F,Well Developed,In Good Standing
31R047,31,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,Aimee Horowitz,ESO,HS,High School,2.82,,,,,,,,,5,,Well Developed,In Good Standing
31R048,31,P.S. 048 WILLIAM C. WILCOX,Jacqueline Mammolito,ESO,ESMS,Elementary School,21.92,A,67.1,10.8,A,19.6,A,36.7,A,0,B,Well Developed,In Good Standing
31R049,31,I.S. 49 BERTA A. DREYFUS,Linda Hill,KLSO,ESMS,Middle School,3.04,B,62.4,5.3,C,14.5,B,36.6,A,6,C,Proficient,Restructuring - Year 3
31R050,31,P.S. 050 FRANK HANKINSON,Sharon Toby Fine,ICI,ESMS,Elementary School,18.14,A,61.7,6.7,B,10.9,C,43.3,A,0.75,F,Proficient,In Good Standing
31R051,31,I.S. 051 EDWIN MARKHAM,Emma Della Rocca,KLSO,ESMS,Middle School,3.15,B,49.7,6.4,C,13.5,C,27.5,B,2.25,C,Proficient,In Corrective Action
31R052,31,P.S. 052 JOHN C. THOMPSON,Ms. Evelyn Mastroianni,ICI,ESMS,Elementary School,27.52,F,28.1,6.5,B,6.1,D,15.5,C,0,C,Well Developed,In Good Standing
31R053,31,P.S. 053 BAY TERRACE,Annette Esposito,ESO,ESMS,Elementary School,14.92,B,48.9,9.1,B,15.7,A,24.1,B,0,C,Well Developed,In Good Standing
31R054,31,P.S. 054 CHARLES W. LENG,Anna Castley,ESO,ESMS,Elementary School,25.56,B,46.5,8,B,16.1,A,20.9,C,1.5,B,Well Developed,In Good Standing
31R055,31,P.S. 055 HENRY M. BOEHM,Kathleen Schultz,ICI,ESMS,Elementary School,12.12,B,59,7.4,B,13.2,B,37.6,A,0.75,D,Well Developed,In Good Standing
