DBN,School Name,Cohort Year,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,2006,100,60,5,5.00%,8.30%
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,2007,95,68,9,9.50%,13.20%
03M404,INNOVATION DIPLOMA PLUS,2006,39,11,s,s,s
03M404,INNOVATION DIPLOMA PLUS,2007,131,29,2,1.50%,6.90%
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING ARTS,2006,127,71,11,8.70%,15.50%
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING ARTS,2007,122,73,8,6.60%,11.00%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2006,521,185,19,3.60%,10.30%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2007,452,145,14,3.10%,9.70%
03M485,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC,2006,646,627,487,75.40%,77.70%
03M485,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC,2007,601,586,508,84.50%,86.70%
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",2006,107,81,10,9.30%,12.30%
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",2007,102,71,17,16.70%,23.90%
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2006,137,86,17,12.40%,19.80%
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2007,142,101,18,12.70%,17.80%
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,2006,200,55,4,2.00%,7.30%
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,2007,238,59,7,2.90%,11.90%
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,2006,90,84,68,75.60%,81.00%
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,2007,112,97,60,53.60%,61.90%
03M860,FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL,2006,54,40,6,11.10%,15.00%
03M860,FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL,2007,64,42,9,14.10%,21.40%
04M099,JULIA DE BURGOS EDUCATION COMPLEX,2006,1,0,s,s,s
04M117,TITO PUENTE EDUCATION COMPLEX,2006,1,0,s,s,s
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,2006,76,50,3,3.90%,6.00%
04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS,2006,381,334,212,55.60%,63.50%
04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS,2007,388,344,211,54.40%,61.30%
04M495,PARK EAST HIGH SCHOOL,2006,92,53,5,5.40%,9.40%
04M495,PARK EAST HIGH SCHOOL,2007,84,60,7,8.30%,11.70%
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,2006,55,55,23,41.80%,41.80%
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,2007,64,63,19,29.70%,30.20%
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY SCHOOL,2006,75,31,3,4.00%,9.70%
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY SCHOOL,2007,98,42,2,2.00%,4.80%
