DISTRICT###,PROGRAM,GRADE OR SERVICE CATEGORY##,CORE COURSE(High Schools only),AVERAGE CLASS SIZE
21,GENERAL EDUCATION,12,ENGLISH,30.1
21,GENERAL EDUCATION,12,MATH   ,28.6
21,GENERAL EDUCATION,12,SOCIAL STUDIES,30.6
21,GENERAL EDUCATION,12,SCIENCE,29.2
21,SPECIAL CLASS - Grades K-9#,12:1           ,,10.2
21,SPECIAL CLASS - Grades K-9#,12:1:1         ,,9.6
21,SPECIAL CLASS - High School,Mainstream,ENGLISH,25.7
21,SPECIAL CLASS - High School,Mainstream,MATH   ,23.4
21,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,25.1
21,SPECIAL CLASS - High School,Mainstream,SCIENCE,24.4
21,SPECIAL CLASS - High School,Self-Contained,ENGLISH,13.3
21,SPECIAL CLASS - High School,Self-Contained,MATH   ,13.7
21,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.3
21,SPECIAL CLASS - High School,Self-Contained,SCIENCE,14.8
21,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,18
21,COLLABORATIVE TEAM TEACHING    ,1,,19.7
21,COLLABORATIVE TEAM TEACHING    ,2,,20
21,COLLABORATIVE TEAM TEACHING    ,3,,19.8
21,COLLABORATIVE TEAM TEACHING    ,4,,24.3
21,COLLABORATIVE TEAM TEACHING    ,5,,23
21,COLLABORATIVE TEAM TEACHING    ,6,,25.7
21,COLLABORATIVE TEAM TEACHING    ,7,,26.6
21,COLLABORATIVE TEAM TEACHING    ,8,,24.8
21,GIFTED & TALENTED    ,Kindergarten             ,,17
21,GIFTED & TALENTED    ,1,,20.5
21,GIFTED & TALENTED    ,2,,19.5
21,GIFTED & TALENTED    ,3,,23.3
21,GIFTED & TALENTED    ,4,,22.3
21,GIFTED & TALENTED    ,5,,25.6
21,GIFTED & TALENTED    ,6,,30.4
21,GIFTED & TALENTED    ,7,,31
21,GIFTED & TALENTED    ,8,,30.7
22,GENERAL EDUCATION ,Kindergarten             ,,20.7
22,GENERAL EDUCATION ,1,,22.3
22,GENERAL EDUCATION ,2,,21.1
22,GENERAL EDUCATION ,3,,20.9
22,GENERAL EDUCATION ,4,,24.5
22,GENERAL EDUCATION ,5,,25.1
22,GENERAL EDUCATION ,6,,28.5
22,GENERAL EDUCATION ,7,,29.3
22,GENERAL EDUCATION ,8,,27.6
22,GENERAL EDUCATION,9,ENGLISH,29.3
22,GENERAL EDUCATION,9,MATH   ,29.6
22,GENERAL EDUCATION,9,SOCIAL STUDIES,30.1
22,GENERAL EDUCATION,9,SCIENCE,30
22,GENERAL EDUCATION,10,ENGLISH,30.3
22,GENERAL EDUCATION,10,MATH   ,30.7
22,GENERAL EDUCATION,10,SOCIAL STUDIES,30.7
22,GENERAL EDUCATION,10,SCIENCE,30
22,GENERAL EDUCATION,11,ENGLISH,30.6
22,GENERAL EDUCATION,11,MATH   ,31.3
22,GENERAL EDUCATION,11,SOCIAL STUDIES,31
22,GENERAL EDUCATION,11,SCIENCE,30
22,GENERAL EDUCATION,12,ENGLISH,30.4
22,GENERAL EDUCATION,12,MATH   ,29.6
22,GENERAL EDUCATION,12,SOCIAL STUDIES,29.9
22,GENERAL EDUCATION,12,SCIENCE,28.1
22,SPECIAL CLASS - Grades K-9#,12:1           ,,12.1
22,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.6
22,SPECIAL CLASS - High School,Mainstream,ENGLISH,15.6
22,SPECIAL CLASS - High School,Mainstream,MATH   ,32.2
22,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,27
22,SPECIAL CLASS - High School,Mainstream,SCIENCE,20.7
22,SPECIAL CLASS - High School,Self-Contained,ENGLISH,13.6
22,SPECIAL CLASS - High School,Self-Contained,MATH   ,12
22,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.4
22,SPECIAL CLASS - High School,Self-Contained,SCIENCE,13.7
22,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,19.3
22,COLLABORATIVE TEAM TEACHING    ,1,,20.8
22,COLLABORATIVE TEAM TEACHING    ,2,,21.2
22,COLLABORATIVE TEAM TEACHING    ,3,,21.7
22,COLLABORATIVE TEAM TEACHING    ,4,,23.4
22,COLLABORATIVE TEAM TEACHING    ,5,,25.7
22,COLLABORATIVE TEAM TEACHING    ,6,,27.5
22,COLLABORATIVE TEAM TEACHING    ,7,,27.7
22,COLLABORATIVE TEAM TEACHING    ,8,,27.7
22,GIFTED & TALENTED    ,Kindergarten             ,,21.3
22,GIFTED & TALENTED    ,1,,24
22,GIFTED & TALENTED    ,2,,24.1
22,GIFTED & TALENTED    ,3,,23.8
22,GIFTED & TALENTED    ,4,,25.9
22,GIFTED & TALENTED    ,5,,29
22,GIFTED & TALENTED    ,6,,28.1
22,GIFTED & TALENTED    ,7,,29.3
22,GIFTED & TALENTED    ,8,,29
23,GENERAL EDUCATION ,Kindergarten             ,,19.2
23,GENERAL EDUCATION ,1,,21.6
23,GENERAL EDUCATION ,2,,20.4
23,GENERAL EDUCATION ,3,,21.5
23,GENERAL EDUCATION ,4,,22.1
23,GENERAL EDUCATION ,5,,25.2
23,GENERAL EDUCATION ,6,,23.3
23,GENERAL EDUCATION ,7,,23.9
23,GENERAL EDUCATION ,8,,24
23,GENERAL EDUCATION,9,ENGLISH,26
23,GENERAL EDUCATION,9,MATH   ,26.1
23,GENERAL EDUCATION,9,SOCIAL STUDIES,27.5
23,GENERAL EDUCATION,9,SCIENCE,25.3
23,GENERAL EDUCATION,10,ENGLISH,26.8
23,GENERAL EDUCATION,10,MATH   ,25.6
23,GENERAL EDUCATION,10,SOCIAL STUDIES,27.4
23,GENERAL EDUCATION,10,SCIENCE,27.2
23,GENERAL EDUCATION,11,ENGLISH,26.1
23,GENERAL EDUCATION,11,MATH   ,26.2
23,GENERAL EDUCATION,11,SOCIAL STUDIES,26.5
23,GENERAL EDUCATION,11,SCIENCE,26.1
23,GENERAL EDUCATION,12,ENGLISH,29.1
23,GENERAL EDUCATION,12,MATH   ,23.2
23,GENERAL EDUCATION,12,SOCIAL STUDIES,28.9
23,GENERAL EDUCATION,12,SCIENCE,29.9
23,SPECIAL CLASS - Grades K-9#,12:1           ,,10.6
23,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.6
23,SPECIAL CLASS - High School,Mainstream,ENGLISH,28.5
23,SPECIAL CLASS - High School,Mainstream,MATH   ,23.7
23,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,28.8
23,SPECIAL CLASS - High School,Mainstream,SCIENCE,26.8
23,SPECIAL CLASS - High School,Self-Contained,ENGLISH,9
23,SPECIAL CLASS - High School,Self-Contained,MATH   ,10.6
23,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,9.8
23,SPECIAL CLASS - High School,Self-Contained,SCIENCE,11.1
23,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,18
23,COLLABORATIVE TEAM TEACHING    ,1,,23
23,COLLABORATIVE TEAM TEACHING    ,2,,18
23,COLLABORATIVE TEAM TEACHING    ,3,,23
23,COLLABORATIVE TEAM TEACHING    ,5,,19.5
23,COLLABORATIVE TEAM TEACHING    ,6,,24.3
23,COLLABORATIVE TEAM TEACHING    ,7,,21.5
23,COLLABORATIVE TEAM TEACHING    ,8,,19
23,GIFTED & TALENTED    ,Kindergarten             ,,21.5
23,GIFTED & TALENTED    ,1,,20.5
23,GIFTED & TALENTED    ,6,,23.8
23,GIFTED & TALENTED    ,7,,29
23,GIFTED & TALENTED    ,8,,23.3
24,GENERAL EDUCATION ,Kindergarten             ,,21.8
24,GENERAL EDUCATION ,1,,21.4
24,GENERAL EDUCATION ,2,,22.3
24,GENERAL EDUCATION ,3,,22.3
24,GENERAL EDUCATION ,4,,26.2
24,GENERAL EDUCATION ,5,,26.5
24,GENERAL EDUCATION ,6,,26.7
24,GENERAL EDUCATION ,7,,27.6
24,GENERAL EDUCATION ,8,,27.1
24,GENERAL EDUCATION,9,ENGLISH,27.6
24,GENERAL EDUCATION,9,MATH   ,26.9
24,GENERAL EDUCATION,9,SOCIAL STUDIES,29.3
24,GENERAL EDUCATION,9,SCIENCE,28.8
24,GENERAL EDUCATION,10,ENGLISH,28.8
24,GENERAL EDUCATION,10,MATH   ,28.9
24,GENERAL EDUCATION,10,SOCIAL STUDIES,30.1
24,GENERAL EDUCATION,10,SCIENCE,28.9
24,GENERAL EDUCATION,11,ENGLISH,29.1
24,GENERAL EDUCATION,11,MATH   ,29
24,GENERAL EDUCATION,11,SOCIAL STUDIES,29.8
24,GENERAL EDUCATION,11,SCIENCE,28.9
24,GENERAL EDUCATION,12,ENGLISH,28.7
24,GENERAL EDUCATION,12,MATH   ,27.1
24,GENERAL EDUCATION,12,SOCIAL STUDIES,27.8
24,GENERAL EDUCATION,12,SCIENCE,28.3
24,SPECIAL CLASS - Grades K-9#,12:1           ,,9.7
24,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.5
24,SPECIAL CLASS - High School,Mainstream,ENGLISH,25.3
24,SPECIAL CLASS - High School,Mainstream,MATH   ,28.6
24,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,25.3
24,SPECIAL CLASS - High School,Mainstream,SCIENCE,27.9
24,SPECIAL CLASS - High School,Self-Contained,ENGLISH,12.3
24,SPECIAL CLASS - High School,Self-Contained,MATH   ,13.5
24,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.2
24,SPECIAL CLASS - High School,Self-Contained,SCIENCE,12.6
24,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,21.8
24,COLLABORATIVE TEAM TEACHING    ,1,,21.8
24,COLLABORATIVE TEAM TEACHING    ,2,,22.9
24,COLLABORATIVE TEAM TEACHING    ,3,,25.1
24,COLLABORATIVE TEAM TEACHING    ,4,,24.5
24,COLLABORATIVE TEAM TEACHING    ,5,,25.3
24,COLLABORATIVE TEAM TEACHING    ,6,,27
24,COLLABORATIVE TEAM TEACHING    ,7,,27
24,COLLABORATIVE TEAM TEACHING    ,8,,26.6
24,GIFTED & TALENTED    ,1,,22.7
24,GIFTED & TALENTED    ,2,,19
24,GIFTED & TALENTED    ,3,,23
24,GIFTED & TALENTED    ,4,,17.5
25,GENERAL EDUCATION ,Kindergarten             ,,21.8
25,GENERAL EDUCATION ,1,,20.9
25,GENERAL EDUCATION ,2,,21.1
25,GENERAL EDUCATION ,3,,21.6
25,GENERAL EDUCATION ,4,,24.6
25,GENERAL EDUCATION ,5,,25.2
25,GENERAL EDUCATION ,6,,27.1
25,GENERAL EDUCATION ,7,,26.6
25,GENERAL EDUCATION ,8,,28.4
25,GENERAL EDUCATION ,09#           ,,25.6
25,GENERAL EDUCATION,9,ENGLISH,29.3
25,GENERAL EDUCATION,9,MATH   ,28.9
25,GENERAL EDUCATION,9,SOCIAL STUDIES,28.8
25,GENERAL EDUCATION,9,SCIENCE,29.5
25,GENERAL EDUCATION,10,ENGLISH,29.8
25,GENERAL EDUCATION,10,MATH   ,28.8
25,GENERAL EDUCATION,10,SOCIAL STUDIES,28.7
25,GENERAL EDUCATION,10,SCIENCE,29
25,GENERAL EDUCATION,11,ENGLISH,29.4
25,GENERAL EDUCATION,11,MATH   ,29.5
25,GENERAL EDUCATION,11,SOCIAL STUDIES,29.4
25,GENERAL EDUCATION,11,SCIENCE,29.5
25,GENERAL EDUCATION,12,ENGLISH,28.8
25,GENERAL EDUCATION,12,MATH   ,28.6
25,GENERAL EDUCATION,12,SOCIAL STUDIES,30
25,GENERAL EDUCATION,12,SCIENCE,28.5
25,SPECIAL CLASS - Grades K-9#,12:1           ,,10.9
25,SPECIAL CLASS - Grades K-9#,12:1:1         ,,9.4
25,SPECIAL CLASS - High School,Mainstream,ENGLISH,22.6
25,SPECIAL CLASS - High School,Mainstream,MATH   ,29.6
25,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,25.4
25,SPECIAL CLASS - High School,Mainstream,SCIENCE,24.8
25,SPECIAL CLASS - High School,Self-Contained,ENGLISH,11.9
25,SPECIAL CLASS - High School,Self-Contained,MATH   ,14
25,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.7
25,SPECIAL CLASS - High School,Self-Contained,SCIENCE,12.8
25,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,20
25,COLLABORATIVE TEAM TEACHING    ,1,,20.7
25,COLLABORATIVE TEAM TEACHING    ,2,,21.3
25,COLLABORATIVE TEAM TEACHING    ,3,,22.9
25,COLLABORATIVE TEAM TEACHING    ,4,,24.1
25,COLLABORATIVE TEAM TEACHING    ,5,,23.4
25,COLLABORATIVE TEAM TEACHING    ,6,,23.9
25,COLLABORATIVE TEAM TEACHING    ,7,,24.4
25,COLLABORATIVE TEAM TEACHING    ,8,,25
25,GIFTED & TALENTED    ,1,,27
25,GIFTED & TALENTED    ,2,,27
25,GIFTED & TALENTED    ,3,,27.5
25,GIFTED & TALENTED    ,4,,30
25,GIFTED & TALENTED    ,5,,31.5
25,GIFTED & TALENTED    ,6,,30.5
25,GIFTED & TALENTED    ,7,,32.1
25,GIFTED & TALENTED    ,8,,32.4
26,GENERAL EDUCATION ,Kindergarten             ,,19.8
26,GENERAL EDUCATION ,1,,19.6
26,GENERAL EDUCATION ,2,,21.3
26,GENERAL EDUCATION ,3,,23.1
26,GENERAL EDUCATION ,4,,27.8
26,GENERAL EDUCATION ,5,,28.1
26,GENERAL EDUCATION ,6,,30.4
26,GENERAL EDUCATION ,7,,32.8
26,GENERAL EDUCATION ,8,,33
26,GENERAL EDUCATION,9,ENGLISH,29.7
26,GENERAL EDUCATION,9,MATH   ,31
26,GENERAL EDUCATION,9,SOCIAL STUDIES,31.7
26,GENERAL EDUCATION,9,SCIENCE,31.9
26,GENERAL EDUCATION,10,ENGLISH,31.6
26,GENERAL EDUCATION,10,MATH   ,31.2
26,GENERAL EDUCATION,10,SOCIAL STUDIES,31.8
26,GENERAL EDUCATION,10,SCIENCE,31.9
26,GENERAL EDUCATION,11,ENGLISH,31.5
26,GENERAL EDUCATION,11,MATH   ,30.9
26,GENERAL EDUCATION,11,SOCIAL STUDIES,32.5
26,GENERAL EDUCATION,11,SCIENCE,31.6
26,GENERAL EDUCATION,12,ENGLISH,30.9
26,GENERAL EDUCATION,12,MATH   ,30.3
26,GENERAL EDUCATION,12,SOCIAL STUDIES,32
26,GENERAL EDUCATION,12,SCIENCE,30.9
26,SPECIAL CLASS - Grades K-9#,12:1           ,,10.2
26,SPECIAL CLASS - Grades K-9#,12:1:1         ,,8.7
26,SPECIAL CLASS - High School,Mainstream,ENGLISH,29.3
26,SPECIAL CLASS - High School,Mainstream,MATH   ,31.4
26,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,31.8
26,SPECIAL CLASS - High School,Mainstream,SCIENCE,30
26,SPECIAL CLASS - High School,Self-Contained,ENGLISH,12.7
26,SPECIAL CLASS - High School,Self-Contained,MATH   ,13.5
26,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.3
26,SPECIAL CLASS - High School,Self-Contained,SCIENCE,13.7
26,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,15.4
26,COLLABORATIVE TEAM TEACHING    ,1,,18.5
26,COLLABORATIVE TEAM TEACHING    ,2,,19.7
26,COLLABORATIVE TEAM TEACHING    ,3,,21.8
26,COLLABORATIVE TEAM TEACHING    ,4,,25
26,COLLABORATIVE TEAM TEACHING    ,5,,25
26,COLLABORATIVE TEAM TEACHING    ,6,,22.5
26,GIFTED & TALENTED    ,1,,24
26,GIFTED & TALENTED    ,2,,25
26,GIFTED & TALENTED    ,3,,22
26,GIFTED & TALENTED    ,4,,21.5
26,GIFTED & TALENTED    ,5,,22.5
26,GIFTED & TALENTED    ,6,,32
26,GIFTED & TALENTED    ,7,,32
26,GIFTED & TALENTED    ,8,,33
27,GENERAL EDUCATION ,Kindergarten             ,,21.9
27,GENERAL EDUCATION ,1,,21.6
27,GENERAL EDUCATION ,2,,21
27,GENERAL EDUCATION ,3,,20.6
27,GENERAL EDUCATION ,4,,23.3
27,GENERAL EDUCATION ,5,,25.9
27,GENERAL EDUCATION ,6,,26
27,GENERAL EDUCATION ,7,,28.2
27,GENERAL EDUCATION ,8,,28.4
27,GENERAL EDUCATION,9,ENGLISH,28.6
27,GENERAL EDUCATION,9,MATH   ,28.3
27,GENERAL EDUCATION,9,SOCIAL STUDIES,29.1
27,GENERAL EDUCATION,9,SCIENCE,29.4
27,GENERAL EDUCATION,10,ENGLISH,29.9
27,GENERAL EDUCATION,10,MATH   ,28.1
27,GENERAL EDUCATION,10,SOCIAL STUDIES,30.1
27,GENERAL EDUCATION,10,SCIENCE,30
27,GENERAL EDUCATION,11,ENGLISH,29.6
27,GENERAL EDUCATION,11,MATH   ,29.2
27,GENERAL EDUCATION,11,SOCIAL STUDIES,29.8
27,GENERAL EDUCATION,11,SCIENCE,30.1
27,GENERAL EDUCATION,12,ENGLISH,29.8
27,GENERAL EDUCATION,12,MATH   ,27.6
27,GENERAL EDUCATION,12,SOCIAL STUDIES,29.6
27,GENERAL EDUCATION,12,SCIENCE,30.2
27,SPECIAL CLASS - Grades K-9#,12:1           ,,10.7
27,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.1
27,SPECIAL CLASS - High School,Mainstream,ENGLISH,30.3
27,SPECIAL CLASS - High School,Mainstream,MATH   ,27.6
27,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,30.3
27,SPECIAL CLASS - High School,Mainstream,SCIENCE,27.3
27,SPECIAL CLASS - High School,Self-Contained,ENGLISH,12.2
27,SPECIAL CLASS - High School,Self-Contained,MATH   ,12.6
27,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.3
27,SPECIAL CLASS - High School,Self-Contained,SCIENCE,12.6
27,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,21.5
27,COLLABORATIVE TEAM TEACHING    ,1,,21
27,COLLABORATIVE TEAM TEACHING    ,2,,21.4
27,COLLABORATIVE TEAM TEACHING    ,3,,21.5
27,COLLABORATIVE TEAM TEACHING    ,4,,26.5
27,COLLABORATIVE TEAM TEACHING    ,5,,25.4
27,COLLABORATIVE TEAM TEACHING    ,6,,23.7
27,COLLABORATIVE TEAM TEACHING    ,7,,26
27,COLLABORATIVE TEAM TEACHING    ,8,,24.5
27,GIFTED & TALENTED    ,Kindergarten             ,,19.7
27,GIFTED & TALENTED    ,1,,23.1
27,GIFTED & TALENTED    ,2,,21.3
27,GIFTED & TALENTED    ,3,,25.7
27,GIFTED & TALENTED    ,4,,24.5
27,GIFTED & TALENTED    ,5,,28.8
27,GIFTED & TALENTED    ,6,,27.9
27,GIFTED & TALENTED    ,7,,29.4
27,GIFTED & TALENTED    ,8,,27.1
28,GENERAL EDUCATION ,Kindergarten             ,,21.5
28,GENERAL EDUCATION ,1,,22.5
28,GENERAL EDUCATION ,2,,21.1
28,GENERAL EDUCATION ,3,,20.9
28,GENERAL EDUCATION ,4,,25.3
28,GENERAL EDUCATION ,5,,25.5
28,GENERAL EDUCATION ,6,,26.1
28,GENERAL EDUCATION ,7,,26.9
28,GENERAL EDUCATION ,8,,28.6
28,GENERAL EDUCATION ,09#           ,,28.5
28,GENERAL EDUCATION,9,ENGLISH,30.1
28,GENERAL EDUCATION,9,MATH   ,29
28,GENERAL EDUCATION,9,SOCIAL STUDIES,30.4
28,GENERAL EDUCATION,9,SCIENCE,31.3
28,GENERAL EDUCATION,10,ENGLISH,30.2
28,GENERAL EDUCATION,10,MATH   ,29.8
28,GENERAL EDUCATION,10,SOCIAL STUDIES,30.8
28,GENERAL EDUCATION,10,SCIENCE,31.1
28,GENERAL EDUCATION,11,ENGLISH,29.9
28,GENERAL EDUCATION,11,MATH   ,29.2
28,GENERAL EDUCATION,11,SOCIAL STUDIES,30.1
28,GENERAL EDUCATION,11,SCIENCE,30.4
28,GENERAL EDUCATION,12,ENGLISH,29.8
28,GENERAL EDUCATION,12,MATH   ,27.8
28,GENERAL EDUCATION,12,SOCIAL STUDIES,29.9
28,GENERAL EDUCATION,12,SCIENCE,29.8
28,SPECIAL CLASS - Grades K-9#,12:1           ,,10.2
28,SPECIAL CLASS - Grades K-9#,12:1:1         ,,9.8
28,SPECIAL CLASS - High School,Mainstream,ENGLISH,30.7
28,SPECIAL CLASS - High School,Mainstream,MATH   ,31.5
28,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,32
28,SPECIAL CLASS - High School,Mainstream,SCIENCE,31
28,SPECIAL CLASS - High School,Self-Contained,ENGLISH,12.8
28,SPECIAL CLASS - High School,Self-Contained,MATH   ,12.8
28,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.1
28,SPECIAL CLASS - High School,Self-Contained,SCIENCE,13.7
28,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,20.6
28,COLLABORATIVE TEAM TEACHING    ,1,,22.3
28,COLLABORATIVE TEAM TEACHING    ,2,,19.6
28,COLLABORATIVE TEAM TEACHING    ,3,,20.6
28,COLLABORATIVE TEAM TEACHING    ,4,,21.8
28,COLLABORATIVE TEAM TEACHING    ,5,,18
28,COLLABORATIVE TEAM TEACHING    ,7,,23.5
28,COLLABORATIVE TEAM TEACHING    ,8,,22
29,GENERAL EDUCATION ,Kindergarten             ,,21.7
29,GENERAL EDUCATION ,1,,21.5
29,GENERAL EDUCATION ,2,,22.3
29,GENERAL EDUCATION ,3,,22
29,GENERAL EDUCATION ,4,,26.1
29,GENERAL EDUCATION ,5,,26.9
29,GENERAL EDUCATION ,6,,26.2
29,GENERAL EDUCATION ,7,,28
29,GENERAL EDUCATION ,8,,28.6
29,GENERAL EDUCATION ,09#           ,,17
29,GENERAL EDUCATION,9,ENGLISH,24.7
29,GENERAL EDUCATION,9,MATH   ,25
29,GENERAL EDUCATION,9,SOCIAL STUDIES,27.4
29,GENERAL EDUCATION,9,SCIENCE,25.8
29,GENERAL EDUCATION,10,ENGLISH,27.1
29,GENERAL EDUCATION,10,MATH   ,27.7
29,GENERAL EDUCATION,10,SOCIAL STUDIES,27.3
29,GENERAL EDUCATION,10,SCIENCE,27.4
29,GENERAL EDUCATION,11,ENGLISH,27.2
29,GENERAL EDUCATION,11,MATH   ,27.3
29,GENERAL EDUCATION,11,SOCIAL STUDIES,27.5
29,GENERAL EDUCATION,11,SCIENCE,27.4
29,GENERAL EDUCATION,12,ENGLISH,28
29,GENERAL EDUCATION,12,MATH   ,26.9
29,GENERAL EDUCATION,12,SOCIAL STUDIES,25.4
29,GENERAL EDUCATION,12,SCIENCE,28.2
29,SPECIAL CLASS - Grades K-9#,12:1           ,,9.7
29,SPECIAL CLASS - Grades K-9#,12:1:1         ,,8.8
29,SPECIAL CLASS - High School,Mainstream,ENGLISH,26.1
29,SPECIAL CLASS - High School,Mainstream,MATH   ,29
29,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,28.4
29,SPECIAL CLASS - High School,Mainstream,SCIENCE,28.4
29,SPECIAL CLASS - High School,Self-Contained,ENGLISH,7.8
29,SPECIAL CLASS - High School,Self-Contained,MATH   ,7.2
29,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,7
29,SPECIAL CLASS - High School,Self-Contained,SCIENCE,7.3
29,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,20.7
29,COLLABORATIVE TEAM TEACHING    ,1,,18.1
29,COLLABORATIVE TEAM TEACHING    ,2,,18.8
29,COLLABORATIVE TEAM TEACHING    ,3,,19.8
29,COLLABORATIVE TEAM TEACHING    ,4,,22.2
29,COLLABORATIVE TEAM TEACHING    ,5,,23.8
29,COLLABORATIVE TEAM TEACHING    ,6,,22.7
29,COLLABORATIVE TEAM TEACHING    ,7,,23.3
29,COLLABORATIVE TEAM TEACHING    ,8,,24.5
30,GENERAL EDUCATION ,Kindergarten             ,,21.7
30,GENERAL EDUCATION ,1,,21.7
30,GENERAL EDUCATION ,2,,21.6
30,GENERAL EDUCATION ,3,,22.2
30,GENERAL EDUCATION ,4,,24.8
30,GENERAL EDUCATION ,5,,25.4
30,GENERAL EDUCATION ,6,,26.2
30,GENERAL EDUCATION ,7,,27
30,GENERAL EDUCATION ,8,,26.8
30,GENERAL EDUCATION,9,ENGLISH,29.1
30,GENERAL EDUCATION,9,MATH   ,28
30,GENERAL EDUCATION,9,SOCIAL STUDIES,29.3
30,GENERAL EDUCATION,9,SCIENCE,28.7
30,GENERAL EDUCATION,10,ENGLISH,28.9
30,GENERAL EDUCATION,10,MATH   ,27.9
30,GENERAL EDUCATION,10,SOCIAL STUDIES,29.8
30,GENERAL EDUCATION,10,SCIENCE,29.3
30,GENERAL EDUCATION,11,ENGLISH,28.6
30,GENERAL EDUCATION,11,MATH   ,27.8
30,GENERAL EDUCATION,11,SOCIAL STUDIES,28.8
30,GENERAL EDUCATION,11,SCIENCE,28.9
30,GENERAL EDUCATION,12,ENGLISH,29.6
30,GENERAL EDUCATION,12,MATH   ,28.6
30,GENERAL EDUCATION,12,SOCIAL STUDIES,29.7
30,GENERAL EDUCATION,12,SCIENCE,28.8
30,SPECIAL CLASS - Grades K-9#,12:1           ,,10.4
30,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10
30,SPECIAL CLASS - High School,Mainstream,ENGLISH,27.7
30,SPECIAL CLASS - High School,Mainstream,MATH   ,27.9
30,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,25
30,SPECIAL CLASS - High School,Mainstream,SCIENCE,28.4
30,SPECIAL CLASS - High School,Self-Contained,ENGLISH,11.8
30,SPECIAL CLASS - High School,Self-Contained,MATH   ,13.2
30,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.6
30,SPECIAL CLASS - High School,Self-Contained,SCIENCE,14.3
30,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,20.1
30,COLLABORATIVE TEAM TEACHING    ,1,,20.8
30,COLLABORATIVE TEAM TEACHING    ,2,,22.7
30,COLLABORATIVE TEAM TEACHING    ,3,,21.1
30,COLLABORATIVE TEAM TEACHING    ,4,,22.4
30,COLLABORATIVE TEAM TEACHING    ,5,,24.6
30,COLLABORATIVE TEAM TEACHING    ,6,,24.7
30,COLLABORATIVE TEAM TEACHING    ,7,,27.9
30,COLLABORATIVE TEAM TEACHING    ,8,,25.4
30,GIFTED & TALENTED    ,2,,24
30,GIFTED & TALENTED    ,3,,24
30,GIFTED & TALENTED    ,4,,26
30,GIFTED & TALENTED    ,5,,26.7
30,GIFTED & TALENTED    ,6,,27.7
30,GIFTED & TALENTED    ,7,,33
30,GIFTED & TALENTED    ,8,,28.3
31,GENERAL EDUCATION ,Kindergarten             ,,21
31,GENERAL EDUCATION ,1,,21.3
31,GENERAL EDUCATION ,2,,20.6
31,GENERAL EDUCATION ,3,,21.4
31,GENERAL EDUCATION ,4,,25.7
31,GENERAL EDUCATION ,5,,27.2
31,GENERAL EDUCATION ,6,,30.4
31,GENERAL EDUCATION ,7,,30.3
31,GENERAL EDUCATION ,8,,30.9
31,GENERAL EDUCATION,9,ENGLISH,28.2
31,GENERAL EDUCATION,9,MATH   ,27.7
31,GENERAL EDUCATION,9,SOCIAL STUDIES,29.7
31,GENERAL EDUCATION,9,SCIENCE,28.9
31,GENERAL EDUCATION,10,ENGLISH,28.6
31,GENERAL EDUCATION,10,MATH   ,28.5
31,GENERAL EDUCATION,10,SOCIAL STUDIES,29.8
31,GENERAL EDUCATION,10,SCIENCE,30
31,GENERAL EDUCATION,11,ENGLISH,30
31,GENERAL EDUCATION,11,MATH   ,29.4
31,GENERAL EDUCATION,11,SOCIAL STUDIES,29.4
31,GENERAL EDUCATION,11,SCIENCE,30.1
31,GENERAL EDUCATION,12,ENGLISH,29.1
